MaxReturn,ExplainedVariance,LossAfter,AverageReturn,AverageDiscountedReturn,MeanKLBefore,MeanKL,MinReturn,StdReturn,Perplexity,NumTrajs,Iteration,LossBefore,dLoss,Entropy
6,5.41725619918e-09,-0.0528559614862,0.870762711864,0.870762711864,0.0,0.00673576868285,0,1.27651250054,11.146394133,472,0,-7.5253378842e-16,0.0528559614862,2.41111604946
5,0.0998556343129,-0.0558262200163,1.11062906725,1.11062906725,-3.71303359697e-20,0.00668652477779,0,1.29353298641,11.0158905532,461,1,-1.83420923959e-17,0.0558262200163,2.39933882612
6,0.125891091273,-0.0580532969651,1.27922077922,1.27922077922,0.0,0.00678480407393,0,1.44822665069,10.850874171,462,2,1.69031455499e-17,0.0580532969651,2.38424564549
6,0.0747848169642,-0.0558330554451,1.59955257271,1.59955257271,0.0,0.00677712434825,0,1.50711950282,10.6979333537,447,3,-1.13797860024e-17,0.0558330554451,2.3700505783
7,0.0785121792015,-0.0514353321001,1.78414096916,1.78414096916,-1.00882431832e-20,0.00645838692212,0,1.59628272408,10.3853907773,454,4,-2.8198889027e-17,0.0514353321001,2.34040008563
6,0.161127651599,-0.0523358888997,1.95227272727,1.95227272727,0.0,0.00649301254497,0,1.58830793848,10.1082319562,440,5,-1.02038479786e-17,0.0523358888997,2.31335013704
7,0.149742433892,-0.051040691851,2.20925110132,2.20925110132,0.0,0.00640041282876,0,1.68376619581,9.77544866446,454,6,-3.58977659636e-17,0.051040691851,2.279874004
6,0.195107536078,-0.0538888480183,2.28929384966,2.28929384966,0.0,0.00670099835534,0,1.53639201134,9.55924403406,439,7,-7.99948408103e-17,0.0538888480183,2.257508648
7,0.240642423889,-0.0499453028764,2.61348314607,2.61348314607,0.0,0.00650125336888,0,1.56328600985,9.1833531273,445,8,-2.10664818923e-17,0.0499453028764,2.21739240235
7,0.272018028288,-0.0506601737958,2.72160356347,2.72160356347,-1.94017342012e-20,0.00678902318707,0,1.52791431376,8.88876214882,449,9,-1.15605537947e-16,0.0506601737958,2.18478779898
