MaxReturn,ExplainedVariance,LossAfter,AverageReturn,AverageDiscountedReturn,MeanKLBefore,MeanKL,MinReturn,StdReturn,Perplexity,NumTrajs,Iteration,LossBefore,dLoss,Entropy
8,0.570437921241,-0.0531899148933,4.77477477477,4.77477477477,0.0,0.00987498839053,0,1.50185881634,4.20116909016,444,33,7.60502771868e-18,0.0531899148933,1.43536284136
8,0.551424701818,-0.052551551295,4.7668161435,4.7668161435,0.0,0.00996056422321,0,1.55016914955,4.00054772994,446,34,-4.51097423373e-17,0.052551551295,1.38643128423
8,0.561698209771,-0.0433287881176,4.85426008969,4.85426008969,0.0,0.0063987558267,0,1.52374840636,3.92128530893,446,35,3.30126286683e-18,0.0433287881176,1.36641948499
8,0.593864366449,-0.0440509739054,4.8202247191,4.8202247191,-2.82502992307e-20,0.00642543203586,0,1.47763702764,3.80159369775,445,36,1.69266694582e-18,0.0440509739054,1.33542037295
8,0.624364847361,-0.0518873604493,4.97945205479,4.97945205479,0.0,0.0099182134025,0,1.4002731864,3.70670437497,438,37,-3.16018538845e-17,0.0518873604493,1.31014317321
8,0.578829722497,-0.0523975506657,4.95918367347,4.95918367347,2.38463620601e-20,0.00989632214546,0,1.47946281399,3.60591512824,441,38,-2.46962882259e-18,0.0523975506657,1.28257558824
9,0.602110104563,-0.0419627250571,5.09297052154,5.09297052154,-1.38893367594e-20,0.00644071699044,0,1.48093569782,3.54221595242,441,39,-3.27384117873e-17,0.0419627250571,1.26475250657
8,0.640715446039,-0.0400089894381,5.12183908046,5.12183908046,0.0,0.0064205559583,0,1.3983097586,3.42733033993,435,40,2.21933638106e-17,0.0400089894381,1.23178163157
8,0.617637044186,-0.0530593768649,4.99542334096,4.99542334096,-1.7918051111e-20,0.00993719050048,0,1.42227365489,3.4109728411,437,41,-1.35692384411e-17,0.0530593768649,1.22699754125
8,0.606535413931,-0.0548015572801,5.0,5.0,0.0,0.00977020357248,1,1.45539747773,3.40372626934,440,42,1.79586749864e-17,0.0548015572801,1.22487079306
8,0.619307900737,-0.051681007557,4.97272727273,4.97272727273,0.0,0.00995994166873,0,1.47067758601,3.30105128374,440,43,-4.86034667452e-17,0.051681007557,1.19424098857
8,0.64692491809,-0.0510580118249,4.95033860045,4.95033860045,2.21907024865e-21,0.00984847881536,1,1.40854170238,3.24887974085,443,44,-1.48316472547e-17,0.0510580118249,1.1783102418
8,0.591703919661,-0.044962097583,5.10681818182,5.10681818182,-6.30385365799e-20,0.00640389377585,0,1.48934056904,3.15757133968,440,45,4.16091318159e-17,0.044962097583,1.14980316871
8,0.619909708317,-0.0526666861075,5.13409090909,5.13409090909,-7.44464314968e-20,0.00993839699491,0,1.43897741182,3.12432105699,440,46,-3.82931210693e-18,0.0526666861075,1.13921699782
8,0.581524547406,-0.0410014448673,5.05466970387,5.05466970387,1.93275040705e-21,0.00649717325498,0,1.53522640262,3.08894682436,439,47,-1.80366149964e-18,0.0410014448673,1.12783019927
9,0.675047012187,-0.0539096360668,5.24884792627,5.24884792627,0.0,0.00993811547244,1,1.38883336644,3.0080877922,434,48,-5.49848479012e-18,0.0539096360668,1.1013045919
9,0.646561679116,-0.0480429927803,5.25917431193,5.25917431193,0.0,0.00989537020016,0,1.40584730952,2.97336074817,436,49,-3.2339954622e-17,0.0480429927803,1.08969287812
