AverageReturn,Perplexity,LossAfter,MeanKLBefore,ExplainedVariance,MeanKL,NumTrajs,StdReturn,Entropy,AverageDiscountedReturn,MaxReturn,Iteration,LossBefore,MinReturn,dLoss
1.26688102894,10.8138250909,-0.052216283138,2.10009831218e-20,6.11571937537e-09,0.00903771600165,311,1.38067609446,2.38082541651,1.26688102894,6,0,-1.40429255368e-16,0,0.052216283138
1.62619808307,10.5864026958,-0.057019634865,0.0,0.0699102517076,0.00983350970445,313,1.57178108179,2.35957041313,1.62619808307,8,1,-1.04919127415e-16,0,0.057019634865
2.00315457413,10.3337013037,-0.0428075938604,0.0,0.115623907719,0.00640377434994,317,1.55346041469,2.33541052522,2.00315457413,6,2,-9.60477161668e-18,0,0.0428075938604
1.97798742138,10.1933982251,-0.0401500243988,0.0,0.132044815984,0.00667379054389,318,1.55693408604,2.32174027791,1.97798742138,6,3,-5.98600787479e-17,0,0.0401500243988
1.99698795181,10.0117844413,-0.0384438236726,3.16173321664e-20,0.110497118272,0.00650758711295,332,1.57254014061,2.30376284331,1.99698795181,6,4,4.0132968387e-17,0,0.0384438236726
1.94886363636,9.85745063119,-0.0383057409082,0.0,0.113483561784,0.006821556229,352,1.54577829163,2.28822757851,1.94886363636,7,5,9.66736116752e-17,0,0.0383057409082
2.20648967552,9.72955072689,-0.041680374929,0.0,0.155512211039,0.00663275783458,339,1.68766627955,2.27516772112,2.20648967552,7,6,1.95399252334e-17,0,0.041680374929
2.21428571429,9.54128532296,-0.0409112670294,0.0,0.133735495873,0.00654574264474,350,1.60439447539,2.25562820625,2.21428571429,6,7,9.63330697904e-18,0,0.0409112670294
2.22033898305,9.41785164016,-0.0510518179588,0.0,0.12740846743,0.0098862126447,354,1.61631299002,2.2426069989,2.22033898305,7,8,-3.13082892944e-17,0,0.0510518179588
2.45689655172,9.33516057579,-0.0390706829616,1.10255343216e-20,0.180048957628,0.00654306290929,348,1.76683482848,2.23378797832,2.45689655172,7,9,2.63930417516e-17,0,0.0390706829616
2.50285714286,9.1995862427,-0.038533297656,0.0,0.210395175,0.00668797293775,350,1.68140854461,2.21915850942,2.50285714286,7,10,-6.77208358662e-17,0,0.038533297656
2.41736694678,9.1380480253,-0.0394162279147,4.51795062919e-20,0.18082914222,0.00674421504478,357,1.669307984,2.21244679869,2.41736694678,7,11,5.51374785603e-17,0,0.0394162279147
2.54572271386,9.06961403607,-0.0405211197926,1.93043750519e-20,0.181713203097,0.00681722849649,339,1.71238874533,2.20492970932,2.54572271386,7,12,5.90491026344e-17,0,0.0405211197926
2.35511363636,8.77926614859,-0.0396403212472,0.0,0.168632221351,0.00674717448913,352,1.7077786571,2.17239282199,2.35511363636,7,13,-9.37908888018e-17,0,0.0396403212472
2.48433048433,8.71429987085,-0.0373900562331,0.0,0.207221230264,0.00692483088555,351,1.63095397744,2.16496533964,2.48433048433,7,14,-4.91273688397e-17,0,0.0373900562331
2.72413793103,8.53717993832,-0.0379390209908,-1.73698713244e-20,0.204344238022,0.00641666900166,348,1.72666481498,2.14443073527,2.72413793103,8,15,2.14899742357e-17,0,0.0379390209908
2.69827586207,8.39315276689,-0.0395037225441,0.0,0.215835832912,0.00690795039182,348,1.7870213494,2.12741622664,2.69827586207,8,16,3.13879236732e-17,0,0.0395037225441
2.81818181818,8.31375531703,-0.0487707416907,0.0,0.224609171497,0.00981095510177,352,1.87565415586,2.11791141016,2.81818181818,8,17,2.38459490804e-17,0,0.0487707416907
2.7884057971,8.14203026685,-0.0401865623845,-9.87048949658e-21,0.208707313654,0.00651759204465,345,1.72244654379,2.09703956745,2.7884057971,8,18,5.45275495998e-17,0,0.0401865623845
2.86819484241,7.9368591164,-0.0398233536464,0.0,0.237016732125,0.00666983168133,349,1.71119436058,2.07151761972,2.86819484241,7,19,8.20539364018e-18,0,0.0398233536464
2.87826086957,7.74827350367,-0.041343051783,0.0,0.229509718825,0.00661716406083,345,1.77656806142,2.04747004483,2.87826086957,8,20,3.67442824892e-17,0,0.041343051783
2.91228070175,7.69114170488,-0.0399302569882,0.0,0.22705192374,0.0064661409215,342,1.79616910489,2.04006923867,2.91228070175,8,21,-8.50708392619e-18,0,0.0399302569882
3.03539823009,7.47575090172,-0.0385053404349,0.0,0.262216398728,0.00656432138272,339,1.74948388617,2.01166456931,3.03539823009,9,22,-1.63259932532e-17,0,0.0385053404349
2.97134670487,7.36989130621,-0.0394862505826,0.0,0.243217420978,0.00661334351247,349,1.71435325091,1.99740295795,2.97134670487,8,23,7.17492012049e-17,0,0.0394862505826
3.06686046512,7.12234057373,-0.0381535455479,-2.68041580347e-20,0.232240284215,0.00655839511663,344,1.83273068704,1.96323640367,3.06686046512,7,24,8.53378316907e-18,0,0.0381535455479
2.85507246377,7.07032027286,-0.0493920739163,-2.63295834201e-20,0.247074109158,0.00987911017401,345,1.66006252998,1.95590577915,2.85507246377,8,25,1.02836454118e-16,0,0.0493920739163
3.26253687316,6.7672845565,-0.0485555458397,0.0,0.322496427278,0.00999740459562,339,1.77796594056,1.91209990698,3.26253687316,8,26,5.01820807131e-17,0,0.0485555458397
3.08720930233,6.59345206468,-0.0397129224267,-1.84264283345e-20,0.301886314903,0.00644482108243,344,1.70275402856,1.88607704515,3.08720930233,8,27,-6.49819204949e-18,0,0.0397129224267
3.22222222222,6.52052994524,-0.041156728542,0.0,0.331123072168,0.00647118393646,342,1.72453155866,1.87495565258,3.22222222222,9,28,-9.51718615249e-18,0,0.041156728542
