LossAfter,MaxReturn,MinReturn,NumTrajs,StdReturn,Perplexity,dLoss,Iteration,AverageDiscountedReturn,MeanKL,ExplainedVariance,AverageReturn,MeanKLBefore,LossBefore,Entropy
-0.0455638508379,6,0,457,1.36507598032,11.2294016102,0.0455638508379,0,1.13566739606,0.00648684909684,5.49218082124e-09,1.13566739606,0.0,1.07500865796e-16,2.4185354824
-0.0527670025159,6,0,474,1.38988392137,11.1412685975,0.0527670025159,1,1.18565400844,0.00703010988572,0.127407419559,1.18565400844,0.0,-1.83836475112e-17,2.41065610571
-0.0487377812462,6,0,462,1.55507693553,10.9399915845,0.0487377812462,2,1.52380952381,0.00662673628658,0.120009101254,1.52380952381,4.28619964874e-20,1.48306945861e-17,2.39242502775
-0.0497559334388,6,0,462,1.48694209551,10.7404949719,0.0497559334388,3,1.49350649351,0.00655663351372,0.0782944498866,1.49350649351,0.0,6.01717576315e-17,2.37402117479
-0.0486672892778,6,0,450,1.62331926376,10.5109476428,0.0486672892778,4,1.82888888889,0.00643155032975,0.0802778154027,1.82888888889,0.0,-3.28739201444e-17,2.35241734665
-0.0572713871806,7,0,451,1.58934423993,10.2239147125,0.0572713871806,5,2.11308203991,0.00949841272003,0.136347891017,2.11308203991,0.0,1.25551044389e-16,2.3247295557
-0.0491477487959,8,0,445,1.57864808668,9.90594714375,0.0491477487959,6,2.40224719101,0.00664643406371,0.193787907176,2.40224719101,-5.01432069862e-21,4.66221559929e-17,2.29313529837
-0.0507207152316,7,0,451,1.51022037507,9.66534954924,0.0507207152316,7,2.48337028825,0.0066066162776,0.234530123154,2.48337028825,-1.99051403532e-20,-1.28753682436e-17,2.26854727851
-0.0509469827954,8,0,440,1.52552490628,9.32300938126,0.0509469827954,8,2.85681818182,0.00686384195817,0.297323376264,2.85681818182,-3.06880004558e-20,9.48055616534e-18,2.23248547156
-0.0593664368098,8,0,446,1.52471808133,8.99710953767,0.0593664368098,9,2.93049327354,0.00999472850767,0.289075175662,2.93049327354,2.31757808836e-20,-2.85525521939e-18,2.19690336327
-0.0483574146661,9,0,449,1.59975419861,8.54860646743,0.0483574146661,10,3.15590200445,0.00692755685262,0.349990204426,3.15590200445,0.0,3.74790431351e-17,2.1457682834
-0.0464327902588,8,0,440,1.47931851353,8.34945944648,0.0464327902588,11,3.23409090909,0.00649487192745,0.388079875094,3.23409090909,0.0,-2.44188018413e-18,2.12219679982
-0.0461682758739,7,0,444,1.54194097613,7.94754608725,0.0461682758739,12,3.32657657658,0.00651017893025,0.346448861144,3.32657657658,3.73548077958e-20,2.77625023877e-17,2.07286321275
-0.0580184882519,8,0,450,1.56363141753,7.72456151932,0.0580184882519,13,3.42888888889,0.00996582847835,0.360425469532,3.42888888889,-9.61633404818e-21,-6.48763167102e-17,2.04440505992
-0.0464798242769,7,0,449,1.5305902892,7.37791803632,0.0464798242769,14,3.61915367483,0.00658836708633,0.403305429856,3.61915367483,0.0,-1.90958360236e-17,1.99849148991
-0.0437997986197,8,0,446,1.51403742242,7.13698680419,0.0437997986197,15,3.7466367713,0.00647294388241,0.445073197471,3.7466367713,6.68049680664e-20,-3.68300471587e-17,1.96529067106
-0.0465381339564,7,0,444,1.55931346608,6.911384871,0.0465381339564,16,3.72972972973,0.00661491013885,0.413306680496,3.72972972973,0.0,1.66450228579e-19,1.93317003318
-0.0427538730942,8,0,447,1.50890169628,6.62400134951,0.0427538730942,17,3.84116331096,0.00641095509418,0.4377615922,3.84116331096,0.0,2.16493489802e-18,1.89069962081
-0.045375044081,8,0,449,1.45860179924,6.48700375524,0.045375044081,18,3.90868596882,0.00648464755505,0.472324483215,3.90868596882,0.0,4.20627161401e-17,1.86980075312
-0.0442202212991,8,0,447,1.53411133566,6.39908150451,0.0442202212991,19,3.95302013423,0.00661898697052,0.456398069894,3.95302013423,0.0,-5.39298740598e-17,1.85615446515
-0.0535454969206,8,0,453,1.57777200557,6.08002926945,0.0535454969206,20,4.02649006623,0.00998347294633,0.487382764397,4.02649006623,0.0,-2.38973635822e-17,1.80500951002
-0.0409933395975,7,0,449,1.45359756065,5.83978727566,0.0409933395975,21,4.13585746102,0.00648080284346,0.513378386704,4.13585746102,0.0,-2.70481621442e-18,1.76469437078
-0.0420307310628,8,0,445,1.53957350587,5.57288365855,0.0420307310628,22,4.33258426966,0.00651833310303,0.502292521977,4.33258426966,0.0,3.46771309541e-17,1.71791263246
-0.0420782344705,8,0,451,1.47818920915,5.46203359994,0.0420782344705,23,4.27272727273,0.00645732722863,0.527889234769,4.27272727273,-6.43608991453e-21,6.25867806349e-18,1.69782117461
-0.0415922829817,8,0,444,1.52905868196,5.2308747484,0.0415922829817,24,4.41891891892,0.00657174639769,0.529600787012,4.41891891892,1.22309890918e-20,-6.79613114294e-17,1.65457852
-0.0525605483989,8,0,450,1.6064392032,5.15323152332,0.0525605483989,25,4.41555555556,0.00998019527146,0.467649960199,4.41555555556,3.60868227423e-21,-9.47109689254e-18,1.63962399815
-0.0526510963781,8,0,445,1.42056246873,4.86381178431,0.0526510963781,26,4.55280898876,0.00985121650432,0.566591069364,4.55280898876,5.15128832922e-20,2.97465404248e-17,1.58182244825
-0.0516151496156,8,0,453,1.56695266447,4.67620399522,0.0516151496156,27,4.60485651214,0.00983250174316,0.527667213999,4.60485651214,1.17519515993e-21,-2.84971103449e-17,1.54248666867
-0.0399746134882,8,0,449,1.51370345783,4.52569813274,0.0399746134882,28,4.61024498886,0.00641788566707,0.542428715327,4.61024498886,0.0,4.72579940642e-17,1.50977184873
