Entropy,dLoss,AverageReturn,Iteration,LossBefore,NumTrajs,MaxReturn,MinReturn,Perplexity,AverageDiscountedReturn,LossAfter,MeanKLBefore,StdReturn,ExplainedVariance,MeanKL
2.93442659341,0.0658633863787,1.68316831683,0,1.15642468052e-17,202,8,0,18.810713855,1.68316831683,-0.0658633863787,3.45855737294e-19,1.80993240435,2.62568433662e-09,0.00976560181431
2.92794460359,0.071717134825,1.68224299065,1,-3.83897896704e-18,214,9,0,18.689177324,1.68224299065,-0.071717134825,5.97776120189e-18,1.75135798227,-0.139035795498,0.009626047555
2.92303308489,0.0690957195174,1.83181818182,2,1.9159812178e-17,220,8,0,18.5976101311,1.83181818182,-0.0690957195174,-1.3800372389e-18,1.96419920385,-0.298358741949,0.00948575826168
2.91737847302,0.0707195240326,1.82629107981,3,-5.19949835473e-17,213,9,0,18.4927446304,1.82629107981,-0.0707195240326,4.15136279851e-19,1.95317578154,-0.332048799274,0.00951779815434
2.9041419702,0.0605775004376,1.78139534884,4,1.274844212e-18,215,7,0,18.2495782505,1.78139534884,-0.0605775004376,1.56379731525e-19,1.73168231336,-0.171665291193,0.00677281118488
2.89843191299,0.0728302160841,2.12019230769,5,1.32083519051e-16,208,10,0,18.1456690607,2.12019230769,-0.0728302160841,-4.62586365399e-19,2.01436570508,-0.169231457551,0.00993204597799
2.89314814553,0.0695564038993,1.94607843137,6,-2.89310733373e-17,204,7,0,18.0500444167,1.94607843137,-0.0695564038993,-2.9222933755e-18,1.75511418368,-0.160101059563,0.00973265919947
2.88603274404,0.065655187944,2.28431372549,7,8.34190018253e-17,204,10,0,17.9220669492,2.28431372549,-0.065655187944,2.36606167651e-18,1.987102783,-0.146167583968,0.00646944668709
2.87539433426,0.0589547102138,2.78571428571,8,-6.7833133231e-17,196,9,0,17.7324152418,2.78571428571,-0.0589547102138,6.63602364074e-19,2.12492496866,-0.318160532665,0.00642152793343
2.86623881303,0.068472103584,2.34433962264,9,-1.46270985703e-17,212,8,0,17.5708066717,2.34433962264,-0.068472103584,-3.77670945009e-19,1.91550674061,-0.305164001979,0.00987334629371
