AverageDiscountedReturn,Entropy,Iteration,LossAfter,MinReturn,LossBefore,MaxReturn,MeanKL,Perplexity,StdReturn,dLoss,ExplainedVariance,AverageReturn,NumTrajs,MeanKLBefore
0.144970414201,2.3203474303,0,-0.130613289906,0,3.01602732133e-16,4,0.0787244728019,10.1792102579,0.521423999534,0.130613289906,1.60095080526e-08,0.144970414201,338,0.0
0.732522796353,2.33414527176,1,-0.141074288789,0,1.0902489972e-17,6,0.0663240254195,10.3206348204,1.30052830752,0.141074288789,-0.0869163582109,0.732522796353,329,0.0
1.63141025641,2.31910142841,2,-0.171350939935,0,-2.31988967845e-17,8,0.0970003813308,10.1665348411,1.72334292342,0.171350939935,0.0143510386577,1.63141025641,312,0.0
2.08238636364,2.2255718351,3,-0.149445222001,0,7.06530749387e-18,8,0.0987984597304,9.25877578335,1.69274084785,0.149445222001,0.0767208028403,2.08238636364,352,0.0
2.1862745098,2.10424052817,4,-0.121030717881,0,7.92639857496e-17,8,0.0920875849674,8.20087231233,1.78353247279,0.121030717881,0.113734659662,2.1862745098,408,-1.34630431422e-20
2.33419689119,2.0413772759,5,-0.13286856959,0,4.15813866901e-18,7,0.0991885365701,7.70120858702,1.83791995027,0.13286856959,0.136280066495,2.33419689119,386,0.0
2.56467661692,1.93598025425,6,-0.139513416514,0,2.40973270073e-17,7,0.0975641302509,6.93083470676,1.80023382116,0.139513416514,0.150837863926,2.56467661692,402,0.0
2.63797468354,1.87256646501,7,-0.126448145661,0,1.10190467029e-16,8,0.092105968081,6.50496977162,1.82751846672,0.126448145661,0.227698473854,2.63797468354,395,0.0
2.66137566138,1.82771653918,8,-0.131310487268,0,-1.39436250034e-17,7,0.0972515399483,6.21966806259,1.75831816337,0.131310487268,0.193486300003,2.66137566138,378,0.0
2.60913705584,1.77470312116,9,-0.115961898284,0,1.79126325286e-17,7,0.0687702215629,5.89852972767,1.64934005153,0.115961898284,0.214838997546,2.60913705584,394,7.22591450308e-21
2.71657754011,1.74365678263,10,-0.12690179833,0,-2.13162820728e-17,8,0.0929291778416,5.7182155082,1.74279051181,0.12690179833,0.177884112112,2.71657754011,374,0.0
2.76329787234,1.69448350066,11,-0.115845824346,0,-4.86901006804e-17,7,0.0658802268704,5.44383350255,1.72276181551,0.115845824346,0.23669811141,2.76329787234,376,0.0
3.09703504043,1.61804135577,12,-0.120142557841,0,-8.39516226559e-18,9,0.0646737167976,5.04320279662,1.83004774991,0.120142557841,0.282580089117,3.09703504043,371,0.0
3.04825737265,1.60589100436,13,-0.129339116556,0,-7.64629387154e-17,8,0.0943282305213,4.98229687387,1.84167670959,0.129339116556,0.240642323111,3.04825737265,373,0.0
3.0189701897,1.58790687293,14,-0.11940602726,0,1.44184808393e-17,9,0.0667437695404,4.89349549333,1.65185877782,0.11940602726,0.235202867704,3.0189701897,369,0.0
3.26849315068,1.53253503455,15,-0.157439157698,0,7.9836262445e-18,8,0.0996134091784,4.62989891176,1.83995806327,0.157439157698,0.303201421242,3.26849315068,365,0.0
3.35042735043,1.5240642826,16,-0.145402922745,0,7.52137982912e-17,9,0.0939940580722,4.59084582456,1.82097422025,0.145402922745,0.261577391814,3.35042735043,351,0.0
3.29943502825,1.49479862193,17,-0.139712736785,0,-4.31383509068e-17,8,0.091308656879,4.45843863066,1.71258212472,0.139712736785,0.308439537398,3.29943502825,354,0.0
3.40229885057,1.43995876027,18,-0.160779579541,0,-1.78473274131e-17,8,0.0955380281519,4.22052176025,1.74994101782,0.160779579541,0.316459911452,3.40229885057,348,3.36176634866e-20
3.3908045977,1.40579009308,19,-0.136474930093,0,2.54946266774e-17,9,0.0982681260292,4.07874805916,1.70433066944,0.136474930093,0.290062136889,3.3908045977,348,0.0
3.53079178886,1.35380233548,20,-0.142939440841,0,3.2136575563e-17,8,0.0977013265641,3.8721206769,1.78863034004,0.142939440841,0.295867784235,3.53079178886,341,0.0
3.64411764706,1.32347349841,21,-0.127842280683,0,-3.27377014386e-17,8,0.0952661317423,3.75644675419,1.80190931032,0.127842280683,0.362187245362,3.64411764706,340,0.0
3.74698795181,1.28523201418,22,-0.147260506472,0,-4.98977417988e-17,8,0.0956901813243,3.61550670872,1.70995225392,0.147260506472,0.39832569471,3.74698795181,332,0.0
3.73573573574,1.24310805506,23,-0.159572064914,0,1.00909859576e-16,9,0.0944285856089,3.46637040961,1.86861605478,0.159572064914,0.330149211112,3.73573573574,333,0.0
3.92537313433,1.17080787952,24,-0.149167841776,0,3.90475047324e-17,8,0.0969632402455,3.22459667212,1.71310517435,0.149167841776,0.34654936392,3.92537313433,335,-1.76640510203e-20
3.81424148607,1.19476816822,25,-0.139452578453,0,-1.39402066435e-17,8,0.0953811182181,3.30279198959,1.73727526703,0.139452578453,0.34928694426,3.81424148607,323,0.0
3.82317073171,1.14930043647,26,-0.142030684823,0,-3.22913443444e-17,8,0.0915268530706,3.15598432573,1.76149872306,0.142030684823,0.340029244226,3.82317073171,328,0.0
3.8501529052,1.13084331698,27,-0.147545053011,0,-1.61250628639e-17,8,0.0938086881364,3.09826822091,1.66971356876,0.147545053011,0.378154999419,3.8501529052,327,0.0
3.87741935484,1.1565309968,28,-0.155127345604,0,-3.1732535277e-17,9,0.0928378238508,3.178886559,1.67461303713,0.155127345604,0.387820214127,3.87741935484,310,0.0
3.8427672956,1.15654429893,29,-0.123829138806,0,3.76132794271e-17,9,0.0648559591071,3.17892884525,1.61180624955,0.123829138806,0.412077040111,3.8427672956,318,-6.91974319122e-20
