Perplexity,AverageReturn,LossBefore,dLoss,Iteration,AverageDiscountedReturn,LossAfter,MeanKL,StdReturn,NumTrajs,MaxReturn,Entropy,MeanKLBefore,ExplainedVariance,MinReturn
11.2056268118,1.10169491525,-2.30785426039e-16,0.0147734927195,0,1.10169491525,-0.0147734927195,0.000645512277524,1.31090491781,295,6,2.41641604606,0.0,6.104208361e-09,0
11.2205847251,1.22448979592,-4.16576313512e-17,0.0162535951491,1,1.22448979592,-0.0162535951491,0.000646730423787,1.35423708154,294,5,2.41775001327,0.0,0.0774569293173,0
11.1862886643,1.14965986395,2.16385297153e-18,0.0201448698997,2,1.14965986395,-0.0201448698997,0.000986745712049,1.33173581932,294,6,2.41468880192,0.0,0.0911934287769,0
11.1300666415,1.35616438356,-5.09429018781e-17,0.0155822884037,3,1.35616438356,-0.0155822884037,0.000642653877175,1.41295244192,292,6,2.40965015283,0.0,0.084130618166,0
11.0995889492,1.40202702703,-1.08638898066e-16,0.0187856117001,4,1.40202702703,-0.0187856117001,0.000986848874985,1.46485722921,296,5,2.40690807603,0.0,0.0971325845584,0
11.0651393356,1.51155115512,1.68669564961e-17,0.0197042664202,5,1.51155115512,-0.0197042664202,0.000987596495031,1.45074189619,303,6,2.40379956589,0.0,0.119096477674,0
11.0117177421,1.69899665552,2.13162820728e-17,0.0149658365045,6,1.69899665552,-0.0149658365045,0.00064291595491,1.59735326551,299,6,2.3989599551,0.0,0.0783830209103,0
10.9630379301,1.55910543131,-5.9646731998e-17,0.0181648538998,7,1.55910543131,-0.0181648538998,0.000995546408045,1.49028434956,313,6,2.39452942652,0.0,0.0724979899613,0
10.880038343,1.72115384615,3.27711420166e-17,0.0143605633176,8,1.72115384615,-0.0143605633176,0.000644903912109,1.53666762398,312,6,2.38692976559,4.73355284308e-20,0.106017464379,0
10.8626701826,1.65384615385,-1.44506540112e-16,0.0139291905189,9,1.65384615385,-0.0139291905189,0.000646370726996,1.44627659054,312,6,2.38533215746,0.0,0.0793370688509,0
10.7934431134,1.91373801917,-5.02481179309e-17,0.017071459158,10,1.91373801917,-0.017071459158,0.000985489588774,1.62711737356,313,7,2.37893883063,0.0,0.123099107969,0
10.7315213303,1.93811074919,8.75182035601e-18,0.013677941268,11,1.93811074919,-0.013677941268,0.000640915037817,1.55026960378,307,6,2.37318532948,-2.02326977606e-20,0.0740930103156,0
10.7306286446,1.82634730539,3.1708789304e-18,0.0158333008271,12,1.82634730539,-0.0158333008271,0.000995881832013,1.54757695843,334,6,2.37310214249,7.79056807272e-20,0.140857416929,0
10.6291852288,2.08463949843,3.61728533441e-17,0.013817893168,13,2.08463949843,-0.013817893168,0.000648829871597,1.65969624968,319,7,2.36360354113,-2.04762876981e-20,0.127757093502,0
10.5993741888,1.9756097561,4.64204748972e-18,0.0163058245073,14,1.9756097561,-0.0163058245073,0.000999721347576,1.62469967023,328,8,2.36079496058,0.0,0.0639991191358,0
10.5421685612,1.96319018405,-8.75682522917e-17,0.0141444760006,15,1.96319018405,-0.0141444760006,0.000657361840601,1.57000086183,326,7,2.35538326779,0.0,0.122652525778,0
10.5329674232,1.97247706422,-3.11149501811e-17,0.0124130833681,16,1.97247706422,-0.0124130833681,0.00064717988357,1.55898529453,327,7,2.35451009302,-8.16312979935e-21,0.113786604157,0
10.4718028503,2.0,-1.31660619794e-17,0.0126288899468,17,2.0,-0.0126288899468,0.000646967514953,1.60890913,333,7,2.34868620206,4.34652304894e-20,0.104220057222,0
10.4017488558,2.1094224924,2.29667859152e-17,0.0129850755863,18,2.1094224924,-0.0129850755863,0.000642039649969,1.5633149938,329,6,2.34197395122,1.37466793043e-20,0.130647400576,0
10.3409813674,2.15243902439,-3.30298271416e-17,0.0125700942114,19,2.15243902439,-0.0125700942114,0.000652839305582,1.56015365173,328,7,2.33611477438,0.0,0.150221796466,0
10.2559866737,2.16913946588,-2.22155544023e-17,0.0129014277019,20,2.16913946588,-0.0129014277019,0.000648611699782,1.5950210462,337,6,2.32786160081,6.78362021227e-20,0.149255498516,0
10.2406350492,2.15568862275,-6.81336268985e-17,0.0132990449853,21,2.15568862275,-0.0132990449853,0.000649635243748,1.70759503783,334,7,2.32636363421,0.0,0.126831636637,0
10.2014236977,2.28779069767,4.81520850825e-17,0.0125536536258,22,2.28779069767,-0.0125536536258,0.000657633150789,1.6761916283,344,7,2.32252728876,4.16487504232e-20,0.179525329467,0
10.0737750121,2.29289940828,8.20949326228e-18,0.0131197758002,23,2.29289940828,-0.0131197758002,0.000654334318724,1.70797204793,338,7,2.30993551355,-1.58075962856e-21,0.178988124126,0
10.1158947466,2.21828908555,-3.80964309697e-17,0.0129140947488,24,2.21828908555,-0.0129140947488,0.000662150699891,1.6418625725,339,7,2.31410792411,0.0,0.124661612651,0
10.0143991844,2.29117647059,5.08944645779e-17,0.0132406945482,25,2.29117647059,-0.0132406945482,0.000658853513971,1.71170153512,340,7,2.30402397574,0.0,0.138599687054,0
9.99923019433,2.29117647059,-6.03104661553e-17,0.012217453482,26,2.29117647059,-0.012217453482,0.000648286881041,1.7013606401,340,8,2.30250810946,0.0,0.162810376287,0
9.92468573403,2.28611898017,3.94724382037e-17,0.0128111786044,27,2.28611898017,-0.0128111786044,0.000649365074536,1.81908514737,353,7,2.29502516199,-1.25317904293e-20,0.10326639738,0
