MeanKL,AverageDiscountedReturn,Iteration,Perplexity,MaxReturn,LossAfter,ExplainedVariance,MeanKLBefore,LossBefore,MinReturn,AverageReturn,dLoss,Entropy,StdReturn,NumTrajs
0.00704841228757,4.13732394366,0,11.1573098597,222,-0.0523193450468,4.54527526728e-11,1.35968492972e-20,-4.00083426999e-16,0,4.13732394366,0.0523193450468,2.4120948759,16.5550345908,284
0.00667757100244,4.94244604317,1,11.1189390727,122,-0.0509895077965,-0.110012244773,0.0,-5.1555981706e-18,0,4.94244604317,0.0509895077965,2.40864987714,16.9846607835,278
0.00720363987668,5.62323943662,2,11.0886302375,123,-0.0499866425664,-0.0239007005286,0.0,-8.63784006175e-17,0,5.62323943662,0.0499866425664,2.40592028043,18.1648056459,284
0.00683232993072,5.52097902098,3,10.9992630416,133,-0.0457120143478,-0.170861197936,0.0,2.76932657677e-18,0,5.52097902098,0.0457120143478,2.39782827434,15.7867535565,286
0.00683063529506,7.32517482517,4,10.8370333827,123,-0.051191819079,-0.0114042960484,-7.94861115944e-21,4.45420479028e-17,0,7.32517482517,0.051191819079,2.38296928537,19.5117643141,286
0.00972845089458,9.88851351351,5,10.7190044757,223,-0.05327874384,0.0206802455981,0.0,5.17991278689e-17,0,9.88851351351,0.05327874384,2.37201828525,26.8276103832,296
0.0066713203622,8.70431893688,6,10.5910834837,223,-0.0447226411949,0.0428268129617,0.0,1.84207407673e-17,0,8.70431893688,0.0447226411949,2.36001246634,23.7154143619,301
0.00656114241829,11.8443708609,7,10.4820152806,133,-0.0444477638374,0.0827271080091,0.0,1.41205277245e-17,0,11.8443708609,0.0444477638374,2.34966095817,28.9064307696,302
0.00988553132509,10.4129032258,8,10.2876068083,133,-0.0546666744729,-0.0181670192867,0.0,7.7997731177e-18,0,10.4129032258,0.0546666744729,2.33093994828,25.2519656461,310
0.00655083601199,15.6967741935,9,10.1554230699,223,-0.0443449523361,0.0640288422892,0.0,-1.90244941704e-17,0,15.6967741935,0.0443449523361,2.3180078554,33.9781474734,310
0.00645689011571,17.4736842105,10,9.933842277,233,-0.0422250193257,0.0348468843368,1.9374357973e-20,-7.22961709918e-17,0,17.4736842105,0.0422250193257,2.29594733947,38.6691341907,323
0.00644186049827,19.1708860759,11,9.82674675471,233,-0.041693628102,0.0902284959678,0.0,4.0714649017e-17,0,19.1708860759,0.041693628102,2.28510792869,41.8369640084,316
0.00643828882003,19.6982248521,12,9.66365215552,233,-0.0378712130366,0.0356408932177,0.0,-1.75517276371e-17,0,19.6982248521,0.0378712130366,2.2683716467,39.7860855124,338
0.0095309337663,14.2580645161,13,9.58909929177,133,-0.0465333729503,-0.0308181519963,0.0,-1.94094934375e-18,0,14.2580645161,0.0465333729503,2.26062696288,30.9050807885,341
0.0067196447076,16.6355932203,14,9.36629460978,133,-0.0407395151485,0.0182094927161,0.0,1.11991566764e-16,0,16.6355932203,0.0407395151485,2.23711756551,34.0259120072,354
0.00993117779396,16.3788300836,15,9.17355375907,233,-0.0449180626714,0.0620821543204,0.0,-4.6733095091e-17,0,16.3788300836,0.0449180626714,2.21632475308,35.1988572518,359
0.0099049455982,21.4094707521,16,8.82949412796,233,-0.0466321258489,0.103513229488,0.0,1.7663897499e-17,0,21.4094707521,0.0466321258489,2.17809772282,44.2987077598,359
0.00658235569068,18.861971831,17,8.89466592382,133,-0.0411239936031,0.016197974733,0.0,-6.34346296311e-18,0,18.861971831,0.0411239936031,2.18545176266,36.2098047814,355
0.00976913301941,19.1612021858,18,8.7042963766,233,-0.0496759716874,0.0338721300462,1.15997010944e-20,4.47585538296e-17,0,19.1612021858,0.0496759716874,2.16381674015,38.7266407319,366
0.00645437699463,14.8777173913,19,8.61498377225,233,-0.0398568345017,-0.0395157037017,-7.0810589345e-21,-6.30462888206e-18,0,14.8777173913,0.0398568345017,2.15350298632,33.5540405007,368
0.00973492397365,20.7362637363,20,8.42855038994,233,-0.0533270689675,0.0517057657217,-1.66701951165e-20,1.22799911462e-16,0,20.7362637363,0.0533270689675,2.13162479874,41.2567237716,364
0.00666206181695,20.9866666667,21,8.42847544347,233,-0.0393842255416,0.0279554385316,0.0,1.412103892e-16,0,20.9866666667,0.0393842255416,2.13161590672,41.0984811831,375
0.0066063106505,21.1219512195,22,8.50468018626,333,-0.0377293169286,0.0482999267344,0.0,1.52904967463e-17,0,21.1219512195,0.0377293169286,2.14061662211,43.1564090583,369
0.00979017202529,22.3661202186,23,8.34626708883,233,-0.0489084276622,-0.0249247945373,0.0,3.96052580356e-17,0,22.3661202186,0.0489084276622,2.12181438367,42.6166973835,366
0.00983626699619,21.832884097,24,8.17247088745,233,-0.0440354957484,0.0262480859105,0.0,-4.54068742656e-17,0,21.832884097,0.0440354957484,2.10077129735,42.6026472108,371
0.00946802414305,20.1401098901,25,8.04408378717,233,-0.0467121522101,-0.0102402512277,0.0,-5.44852208638e-18,0,20.1401098901,0.0467121522101,2.08493688796,42.8720897963,364
0.00647028973687,18.8867924528,26,8.08617008588,233,-0.0393219443576,-0.0160660033343,0.0,-6.20704254087e-17,0,18.8867924528,0.0393219443576,2.09015520561,38.3303573498,371
0.00643136773674,21.4523160763,27,8.10614987931,233,-0.0410575683587,0.0935467801535,-6.47625073788e-21,1.13334690154e-17,0,21.4523160763,0.0410575683587,2.09262301796,41.8705321105,367
0.00999002162921,21.1924119241,28,8.08902678728,333,-0.0492155679698,0.0268995316973,0.0,-4.2707281102e-17,0,21.1924119241,0.0492155679698,2.0905084256,48.2656756275,369
