LossAfter,AverageDiscountedReturn,dLoss,MeanKL,Entropy,StdReturn,AverageReturn,ExplainedVariance,MaxReturn,Perplexity,LossBefore,MinReturn,MeanKLBefore,Iteration,NumTrajs
-0.0501685867044,0.898515936495,0.0501685867044,0.00648323260373,2.43755611015,1.27039716796,0.921397379913,6.39683983561e-09,6,11.445036129,-4.11952634287e-16,0,0.0,0,458
-0.0620956769634,0.986755977683,0.0620956769634,0.00956387382379,2.4294021745,1.33565126976,1.01495726496,0.133734718438,6,11.3520934801,-3.06939936084e-17,0,0.0,1,468
-0.0499094313922,1.22224774886,0.0499094313922,0.0066762216126,2.41649179135,1.45784495378,1.2652173913,0.100593286304,7,11.2064756175,9.04169400359e-18,0,0.0,2,460
-0.0561112822381,1.40396702456,0.0561112822381,0.00721256110711,2.39966679467,1.46630771534,1.46412556054,0.00440513263688,6,11.0195040114,2.40779618466e-17,0,0.0,3,446
-0.0518353793867,1.66285132835,0.0518353793867,0.00652173101396,2.3715923587,1.56914697279,1.73333333333,0.0902776125925,7,10.7144399392,6.5782790686e-17,0,0.0,4,450
-0.0540543310353,1.98221532678,0.0540543310353,0.0067130135441,2.34264778207,1.71095969253,2.06997742664,0.111548648852,8,10.408760237,-3.08625946761e-17,0,1.11041360169e-20,5,443
-0.0529618087226,2.31474981408,0.0529618087226,0.00672373217201,2.305300945,1.70309553082,2.42533936652,0.151640315231,7,10.0271954327,1.69694428339e-17,0,0.0,6,442
-0.0544033275509,2.28448653236,0.0544033275509,0.00665402652273,2.26945660139,1.66974299977,2.38766519824,0.188069725499,7,9.67414246994,-5.33761069531e-18,0,0.0,7,454
-0.050877186282,2.78342526683,0.050877186282,0.00664727743922,2.22596356877,1.59433762676,2.91517857143,0.251095172948,7,9.26240346813,9.27960024331e-18,0,0.0,8,448
-0.0531617025593,2.79100176388,0.0531617025593,0.00681280000712,2.20303044071,1.63125374629,2.9153674833,0.286339389769,8,9.05240475056,-6.80593306263e-17,0,0.0,9,449
-0.051096711194,2.8759757083,0.051096711194,0.00684264477773,2.15610067169,1.58493402334,3.00437636761,0.252960652835,7,8.63739188162,-7.93412756229e-18,0,0.0,10,457
-0.0473426724849,3.0658734029,0.0473426724849,0.00678537821739,2.11417887671,1.54836350552,3.20805369128,0.331975365569,7,8.28278178802,3.97596715832e-17,0,1.25246126505e-20,11,447
-0.0485291319253,3.25985393751,0.0485291319253,0.00672483362142,2.06792525371,1.62693986777,3.41333333333,0.347137955622,8,7.90839816522,-5.45545404833e-18,0,0.0,12,450
-0.0440101350159,3.41779526614,0.0440101350159,0.00656909176941,2.02990010515,1.6181040826,3.57683741648,0.374535033326,8,7.61332578878,6.96213338861e-17,0,9.65466071671e-21,13,449
-0.0467396956237,3.57599576995,0.0467396956237,0.00649958003539,1.99175702511,1.5337370866,3.74382022472,0.40931119862,8,7.3283986375,4.69475238072e-17,0,0.0,14,445
-0.0452817842077,3.64629434274,0.0452817842077,0.00664095096458,1.94375773291,1.62921261288,3.81637168142,0.391302774251,8,6.98494929049,-1.59798950574e-16,0,0.0,15,452
-0.0437345030888,3.70684787107,0.0437345030888,0.00653263751066,1.92274787762,1.53335055852,3.87637969095,0.398640949208,8,6.83972740396,1.74831726613e-17,0,0.0,16,453
-0.0574656790071,3.87617368341,0.0574656790071,0.0099843077677,1.87939505702,1.65812938618,4.05309734513,0.422998593548,8,6.5495415643,-1.97015333038e-18,0,-1.47980197941e-20,17,452
-0.0450397590668,3.91691892671,0.0450397590668,0.00648660636924,1.82754277128,1.46734159555,4.09555555556,0.475482388353,8,6.21858737781,-2.02615701994e-17,0,0.0,18,450
-0.0551624491532,4.12506088439,0.0551624491532,0.00996187539511,1.77648631236,1.50627610814,4.3140311804,0.497591646257,8,5.90905731756,-6.78007264414e-17,0,0.0,19,449
-0.0430335193883,4.00406570871,0.0430335193883,0.00645284868062,1.75737716614,1.62462758614,4.18805309735,0.469267812483,8,5.79721231193,-8.12169138773e-17,0,0.0,20,452
-0.0438398360508,4.08952340703,0.0438398360508,0.0064044912923,1.70664931636,1.6203050737,4.27074235808,0.465199081202,8,5.51046667926,3.72200674256e-17,0,0.0,21,458
-0.0442196433033,4.23022658454,0.0442196433033,0.00646481667813,1.6653118793,1.5390697848,4.42444444444,0.502616356679,8,5.28732199891,3.51203597142e-17,0,0.0,22,450
-0.0416340600462,4.27386471681,0.0416340600462,0.00646813994964,1.62795960157,1.45152056895,4.46563192905,0.549843280117,8,5.09347139765,-2.102653079e-17,1,0.0,23,451
-0.0524211942563,4.34600248387,0.0524211942563,0.00987191840776,1.57676471042,1.48153460579,4.54424778761,0.532864497978,8,4.83927400456,1.44884104714e-17,0,0.0,24,452
-0.0408551348366,4.37098889895,0.0408551348366,0.00647805624853,1.56183175011,1.58544582041,4.56703296703,0.504262811344,8,4.767546205,4.45863792107e-17,0,0.0,25,455
-0.0404487115268,4.35107018767,0.0404487115268,0.00646055192264,1.51532256538,1.51968695895,4.54266958425,0.519571046055,8,4.5508888493,3.01350213632e-17,0,-9.63876305439e-21,26,457
-0.0506822098102,4.37716434902,0.0506822098102,0.00996241571106,1.48579371104,1.58182534601,4.57768052516,0.50122471005,8,4.4184710106,1.84250959348e-17,0,-7.66635943697e-21,27,457
-0.042015465533,4.51068478631,0.042015465533,0.00642490298606,1.44488048915,1.54124965735,4.71179039301,0.527056425386,8,4.24134522575,-8.58012928836e-17,0,0.0,28,458
