StdReturn,LossAfter,MaxReturn,ExplainedVariance,MeanKL,MinReturn,AverageReturn,LossBefore,dLoss,Iteration,Entropy,AverageDiscountedReturn,MeanKLBefore,Perplexity,NumTrajs
1.56404003636,-0.0479301636071,9,3.9797658502e-09,0.00699097424306,0,0.892008639309,-6.48208194333e-17,0.0479301636071,0,2.40254697555,0.892008639309,0.0,11.0512879259,463
1.92394969577,-0.0545746350303,10,0.047807570113,0.00700460089591,0,1.19522776573,-5.10702591328e-18,0.0545746350303,1,2.40370815881,1.19522776573,0.0,11.0641279498,461
2.11055449575,-0.0517860784565,12,0.00674953802074,0.00687926736598,0,1.56462585034,3.48381283357e-17,0.0517860784565,2,2.39861025445,1.56462585034,1.59073831818e-20,11.0078676104,441
2.01529886496,-0.052718407711,9,0.0387169668645,0.00654392489767,0,1.50804597701,2.06053624266e-17,0.052718407711,3,2.38954788345,1.50804597701,0.0,10.908560887,435
2.31868009957,-0.0525305295136,10,0.0915458803325,0.00647460512546,0,2.18691588785,1.22822577125e-16,0.0525305295136,4,2.3683360435,2.18691588785,0.0,10.6796070896,428
2.39198025913,-0.0612503779306,13,0.0698054574483,0.00985646360449,0,2.43448275862,-6.45668491373e-17,0.0612503779306,5,2.35203627031,2.43448275862,-1.92356543637e-20,10.5069429324,435
2.52333920765,-0.0488367367855,12,0.080245942875,0.00644503405062,0,2.82949308756,-9.857560738e-17,0.0488367367855,6,2.3224723392,2.82949308756,-8.50150396659e-21,10.2008631494,434
2.44435406613,-0.0597975347334,12,0.0980016494102,0.00987674700159,0,2.95794392523,1.89800687039e-17,0.0597975347334,7,2.29947938513,2.95794392523,0.0,9.96899109854,428
2.59651260614,-0.0482764667262,10,0.14154863597,0.00672945734801,0,3.53286384977,2.23804005026e-17,0.0482764667262,8,2.24539047225,3.53286384977,-3.26276956448e-20,9.44410249658,426
2.58917208279,-0.0567806431634,13,0.17832119342,0.00999610967537,0,3.83802816901,6.15865845744e-18,0.0567806431634,9,2.21015595226,3.83802816901,0.0,9.11713812049,426
2.76298644675,-0.0461378941938,15,0.171633170642,0.00667691393471,0,4.05581395349,-5.66341290659e-17,0.0461378941938,10,2.15799018931,4.05581395349,0.0,8.65372781444,430
2.78889896878,-0.0463525019394,15,0.186347028007,0.00648379639175,0,4.37011494253,-1.25783694737e-17,0.0463525019394,11,2.12671524654,4.37011494253,0.0,8.38727139544,435
2.70455083768,-0.0552523478917,12,0.226124882901,0.00978319138553,0,4.57336343115,1.05365821518e-18,0.0552523478917,12,2.08623652277,4.57336343115,0.0,8.0545449548,443
2.67220023692,-0.0522321258032,13,0.195777379225,0.00967689206423,0,4.6583143508,5.20564457435e-17,0.0522321258032,13,2.05617333928,4.6583143508,0.0,7.81600331822,439
2.66676843457,-0.0430635359827,12,0.226165995197,0.00665263955349,0,4.91216216216,1.95627901115e-17,0.0430635359827,14,2.01327362966,4.91216216216,5.12098518353e-20,7.48778951893,444
2.94571351453,-0.0447847812814,15,0.25883383621,0.00671874127283,0,5.43990929705,1.3593435334e-18,0.0447847812814,15,1.95888365518,5.43990929705,0.0,7.09140619023,441
2.79432816433,-0.0436153884854,13,0.296051749479,0.00659809207662,0,5.19419642857,-7.65269776395e-17,0.0436153884854,16,1.93238438509,5.19419642857,-5.25280667216e-20,6.90595708711,448
2.70886176821,-0.0426833806176,15,0.262452026069,0.00653516790435,0,5.40674157303,1.97143571784e-16,0.0426833806176,17,1.90703203105,5.40674157303,0.0,6.73307555469,445
2.92717342023,-0.041055871691,15,0.26092796825,0.00651229540005,0,5.48451327434,3.86001942319e-17,0.041055871691,18,1.87391167085,5.48451327434,0.0,6.51372618322,452
2.93681404881,-0.0537925229175,15,0.284023545022,0.00999416818486,0,5.73378076063,4.50326417854e-17,0.0537925229175,19,1.83260146244,5.73378076063,2.90716328587e-20,6.25012499309,447
2.91438755857,-0.0440608138523,15,0.295225428151,0.00650561765044,0,6.02696629213,1.35478264194e-16,0.0440608138523,20,1.80012814346,6.02696629213,0.0,6.05042273682,445
2.91417820918,-0.0438940424562,15,0.32971029323,0.00652490423684,0,6.31674208145,1.77646769542e-17,0.0438940424562,21,1.75820362224,6.31674208145,0.0,5.80200543381,442
2.9202019589,-0.0415822337699,15,0.33416674032,0.00659842837679,0,6.30941704036,1.09747458251e-16,0.0415822337699,22,1.74026689591,6.30941704036,0.0,5.69886422328,446
3.15344868652,-0.0423595608736,15,0.291173166435,0.00649467351752,0,6.17142857143,6.62803145701e-17,0.0423595608736,23,1.72116005531,6.17142857143,0.0,5.59101058524,455
3.02174205664,-0.0485254089675,13,0.305266126455,0.00998460330781,0,6.2472406181,-7.39778701237e-17,0.0485254089675,24,1.6714502309,6.2472406181,-4.37287647961e-20,5.31987725595,453
2.81254412165,-0.0413023685609,15,0.371424767561,0.0064154055866,0,6.78299776286,1.17624828196e-17,0.0413023685609,25,1.62164632999,6.78299776286,0.0,5.0614162224,447
2.95633337838,-0.0421240188773,15,0.333408797358,0.00663920296478,0,6.66369710468,-2.26618557461e-17,0.0421240188773,26,1.6082186189,6.66369710468,-3.10431580035e-20,4.99390724752,449
3.04943616266,-0.0486946734673,15,0.333807865229,0.00994697138213,0,6.86098654709,-6.55397775032e-17,0.0486946734673,27,1.56795788636,6.86098654709,0.0,4.79684248752,446
3.04705542157,-0.0406555177072,18,0.348752897014,0.00646003999186,0,6.95749440716,5.79367321215e-18,0.0406555177072,28,1.5487033766,6.95749440716,3.53358359403e-21,4.70536513892,447
