Iteration,MeanKLBefore,LossAfter,Perplexity,AverageReturn,AverageDiscountedReturn,dLoss,MinReturn,MaxReturn,NumTrajs,MeanKL,LossBefore,ExplainedVariance,StdReturn,Entropy
57,0.0,-0.0599223467305,6.41968775373,6.27751196172,6.27751196172,0.0599223467305,0,13,209,0.0099990047092,-2.55605313367e-17,0.407419623273,2.28569956858,1.85936948003
58,0.0,-0.0498466776074,6.35603416057,6.25961538462,6.25961538462,0.0498466776074,0,11,208,0.00642121551612,-2.57067849966e-17,0.496654103729,2.00717555242,1.8494046232
59,0.0,-0.0494537227731,6.18680559841,6.29186602871,6.29186602871,0.0494537227731,0,12,209,0.00644470508138,-3.66282027619e-17,0.457039765555,2.13559060581,1.82241889508
60,0.0,-0.062825784849,6.04594789477,6.30243902439,6.30243902439,0.062825784849,0,11,205,0.00992781050986,-8.24340595784e-18,0.497891057296,2.16090403449,1.79938827819
61,0.0,-0.0523040730963,6.00345653415,6.91707317073,6.91707317073,0.0523040730963,1,11,205,0.00640527456478,3.08811098485e-17,0.524133897241,2.00437356421,1.79233539238
62,0.0,-0.0610533520165,6.06070637941,6.45588235294,6.45588235294,0.0610533520165,0,12,204,0.00993590665118,7.61406699705e-17,0.491841652668,2.02024428388,1.80182635755
63,0.0,-0.0507047813464,6.00228516412,6.40975609756,6.40975609756,0.0507047813464,0,12,205,0.00641857666426,-3.67766569394e-17,0.441579003787,2.08546712063,1.79214025741
64,0.0,-0.0617423573952,5.87201270602,6.57281553398,6.57281553398,0.0617423573952,0,11,206,0.0098438129064,6.76451150902e-17,0.427696114932,2.34666440301,1.77019745514
65,0.0,-0.0635946292115,5.73624751583,6.62068965517,6.62068965517,0.0635946292115,0,11,203,0.00994050676015,-3.29476151102e-17,0.501145774985,2.02666109387,1.74680525366
66,0.0,-0.0621968163562,5.80300344466,6.52216748768,6.52216748768,0.0621968163562,0,12,203,0.00999001964274,-2.56790986369e-17,0.395861396187,2.35793414456,1.75837561881
67,0.0,-0.0620588404161,5.72460785301,6.52475247525,6.52475247525,0.0620588404161,0,11,202,0.00998938027752,4.86657920929e-17,0.478446773624,1.99302774496,1.7447740498
68,0.0,-0.0653677468616,5.70390213532,6.9641025641,6.9641025641,0.0653677468616,0,12,195,0.00998394412619,6.53788776905e-17,0.511808005964,2.10828490016,1.74115052576
69,0.0,-0.0611482255388,5.64545666293,6.78,6.78,0.0611482255388,2,11,200,0.00997054042023,3.83924429174e-17,0.5465517743,1.94206076115,1.73085109122
70,0.0,-0.0602041401977,5.52792283805,6.74874371859,6.74874371859,0.0602041401977,0,11,199,0.00981436810891,-4.65657677078e-17,0.555950895667,1.97399829687,1.70981212798
71,0.0,-0.0631456175317,5.41267695037,6.74,6.74,0.0631456175317,2,12,200,0.00984375020834,-3.16334478399e-17,0.51739861755,1.98806438528,1.6887437857
72,0.0,-0.0517303081483,5.42360840526,6.91878172589,6.91878172589,0.0517303081483,0,14,197,0.00640864553896,3.70535206226e-18,0.509861538022,2.15715137835,1.69076135136
73,0.0,-0.0638252383743,5.37864106115,6.71428571429,6.71428571429,0.0638252383743,0,11,196,0.00997497441331,-6.23026304934e-17,0.486475193415,2.19925775976,1.6824357514
74,0.0,-0.0629292985392,5.27058752457,7.06666666667,7.06666666667,0.0629292985392,0,12,195,0.00998267504341,-3.50290202374e-17,0.567179008525,1.87580182286,1.66214184108
75,0.0,-0.0509549097489,5.28907707075,6.91457286432,6.91457286432,0.0509549097489,0,12,199,0.00643188150782,-5.52624701157e-20,0.485687462249,2.23443554494,1.66564376387
76,0.0,-0.0618956012487,5.22782125973,6.64532019704,6.64532019704,0.0618956012487,0,12,203,0.00994631170002,2.13621650109e-17,0.482858640394,2.07074753189,1.65399460614
77,0.0,-0.066421574422,5.14904423624,6.70351758794,6.70351758794,0.066421574422,0,12,199,0.00988778423809,-3.86513880547e-18,0.491624048083,2.01689788383,1.63881111226
78,0.0,-0.0618630600976,5.08186822664,6.63316582915,6.63316582915,0.0618630600976,0,12,199,0.00995329455326,-3.36799911331e-17,0.505360443801,2.15273707456,1.62567895513
79,0.0,-0.0641467476526,5.01225144181,6.9552238806,6.9552238806,0.0641467476526,0,11,201,0.00977835709467,2.48619239155e-18,0.586817045424,1.95801327745,1.61188520373
80,0.0,-0.0598846229829,5.00564078938,7.04901960784,7.04901960784,0.0598846229829,0,13,204,0.00982555347348,-9.72204249809e-17,0.499430341393,2.05739913378,1.61056543442
81,0.0,-0.0606867184737,4.94516300959,7.2193877551,7.2193877551,0.0606867184737,0,12,196,0.00982211101278,-4.40648378682e-17,0.541705963608,2.02732145409,1.59840992906
82,0.0,-0.0618312965808,4.82674662049,7.15656565657,7.15656565657,0.0618312965808,2,12,198,0.00995429881739,-2.2947195816e-17,0.541268777421,2.10836053959,1.57417266317
