StdReturn,LossAfter,Perplexity,ExplainedVariance,MaxReturn,Entropy,MeanKL,AverageDiscountedReturn,MeanKLBefore,MinReturn,LossBefore,AverageReturn,dLoss,Iteration,NumTrajs
1.39675826103,-0.0744365214448,11.0667383201,5.08260888932e-09,6,2.40394406194,0.440481623946,1.16949152542,0.0,0,-1.78146258888e-16,1.16949152542,0.0744365214448,0,295
1.40355241162,-0.321282738066,8.63499983021,-0.0395559767473,6,2.15582369194,0.761082628778,1.14191419142,0.0,0,-5.05674276704e-17,1.14191419142,0.321282738066,1,303
1.80592147932,-0.148729534956,6.11174316873,0.034459504764,7,1.81021203016,0.743044739002,2.41019417476,0.0,0,1.71630285943e-16,2.41019417476,0.148729534956,2,412
1.8810979392,-0.229106587065,4.71517596886,0.126908156193,8,1.55078623646,0.730372228534,2.41392649903,-6.47916827566e-21,0,-1.10282245998e-17,2.41392649903,0.229106587065,3,517
1.955108839,-0.434032047349,4.28490873625,0.139941747776,8,1.4550992534,0.971185019611,2.43548387097,0.0,0,-4.79654075357e-17,2.43548387097,0.434032047349,4,496
1.94768192703,-0.233417424493,3.80713137067,0.0412430659878,8,1.33687598447,0.715603315925,2.29866666667,0.0,0,-4.5452269791e-17,2.29866666667,0.233417424493,5,375
1.89157483937,-0.279378300762,3.42900156582,0.0860528881804,8,1.23226913012,0.663083207001,2.23931623932,4.15420363907e-20,0,9.16924029567e-17,2.23931623932,0.279378300762,6,351
1.84675759541,-0.203903765913,3.13582712657,0.178909735209,9,1.14289297551,0.660024720456,2.41895261845,0.0,0,3.50100314112e-17,2.41895261845,0.203903765913,7,401
1.89873097333,-0.138849283157,2.79213780835,0.213687165584,9,1.02680754197,0.717015003622,2.76039119804,-1.6973809947e-20,0,1.24182452979e-17,2.76039119804,0.138849283157,8,409
1.8483028595,-0.25741435266,2.6988394973,0.184582789147,8,0.992821864799,0.772137740991,2.78624078624,0.0,0,6.46106588058e-17,2.78624078624,0.25741435266,9,407
1.85386055147,-0.157155601757,2.73420604899,0.20831131486,7,1.00584110086,0.729371740049,2.99029126214,2.35984950375e-20,0,5.39778375971e-18,2.99029126214,0.157155601757,10,412
1.87699558296,-0.228114089045,2.45820429747,0.20694710266,8,0.899431123017,0.705081410924,2.9102244389,0.0,0,5.94959995749e-18,2.9102244389,0.228114089045,11,401
1.84628275062,-0.24126119132,2.34737847423,0.270274831021,8,0.853299162593,0.688741796868,3.04761904762,1.14331952308e-20,0,-1.11326928386e-17,3.04761904762,0.24126119132,12,399
1.75023701098,-0.155100554701,2.20967092178,0.331637723252,9,0.792843600269,0.726976920531,3.27088607595,0.0,0,-6.94166392143e-17,3.27088607595,0.155100554701,13,395
1.89874651695,-0.222856522222,1.97115203943,0.304704314785,8,0.678618163413,0.728997175918,3.42525773196,0.0,0,-5.62601772599e-17,3.42525773196,0.222856522222,14,388
1.80134543073,-0.238985206174,1.74998539806,0.300090730964,9,0.559607443933,0.705173133534,3.5,0.0,0,-1.19784302357e-17,3.5,0.238985206174,15,388
1.63820350926,-0.463448520064,1.70988544746,0.388144535282,8,0.536426378479,0.684008770757,3.27027027027,1.70500575398e-22,0,-1.10897558302e-16,3.27027027027,0.463448520064,16,407
1.78949837,-0.136295297594,1.70519559754,0.353263822285,8,0.533679824119,0.71690075133,3.47135416667,0.0,0,-9.55440308885e-18,3.47135416667,0.136295297594,17,384
1.8260237856,-0.146386642321,1.64382969886,0.326545007761,9,0.497028701765,0.720995059514,3.60490463215,-1.64216388934e-20,0,3.6455601314e-17,3.60490463215,0.146386642321,18,367
1.80617877501,-0.371365227456,1.63990834535,0.337941014444,9,0.494640353292,0.725170925284,3.53351206434,1.49219032259e-20,0,-9.09700604739e-18,3.53351206434,0.371365227456,19,373
1.85853444616,-0.200741367278,1.62607739406,0.32210908795,8,0.486170607817,0.598140029439,3.57703081232,-9.342458659e-22,0,4.62935107088e-17,3.57703081232,0.200741367278,20,357
1.96198580907,-0.198535092177,1.62934318116,0.330001042191,9,0.488176977265,0.680933094646,3.64021164021,0.0,0,-9.0483176507e-18,3.64021164021,0.198535092177,21,378
1.82789772071,-0.185815699989,1.6206028291,0.319865320009,9,0.482798196756,0.720110818199,3.61408450704,-2.84624698793e-25,0,6.43957075207e-17,3.61408450704,0.185815699989,22,355
1.84844510047,-0.588901848915,1.52047984842,0.308255699032,9,0.419025974789,0.707596815539,3.64227642276,0.0,0,-9.30982699818e-17,3.64227642276,0.588901848915,23,369
1.92179515099,-0.180023808472,1.56000744034,0.303148511072,9,0.4446905907,0.624097137805,3.69696969697,-8.78779037927e-21,0,-6.80195345464e-18,3.69696969697,0.180023808472,24,363
1.93621710378,-0.228521159596,1.50520147266,0.274301078851,8,0.408926758121,0.649191386776,3.46739130435,-2.07738028799e-20,0,2.49363793901e-18,3.46739130435,0.228521159596,25,368
1.85691049157,-0.187763722268,1.5490506693,0.33783636977,9,0.437642271874,0.669460910526,3.6620498615,0.0,0,1.41412023616e-17,3.6620498615,0.187763722268,26,361
1.70406837452,-0.137402714427,1.47539950305,0.370095399273,9,0.388928802641,0.741188149128,3.84153005464,0.0,0,-3.52495810318e-17,3.84153005464,0.137402714427,27,366
1.79534318247,-0.214398249322,1.49498564442,0.37446948266,9,0.4021166044,0.798381132853,3.86,0.0,0,-2.1010970741e-17,3.86,0.214398249322,28,350
1.72544969256,-0.157140963008,1.42780038726,0.394098344399,9,0.356135069315,0.711705775695,4.07471264368,0.0,0,1.06284390378e-16,4.07471264368,0.157140963008,29,348
