Iteration,AverageReturn,StdReturn,MeanKLBefore,LossAfter,Entropy,MinReturn,MeanKL,ExplainedVariance,LossBefore,dLoss,MaxReturn,AverageDiscountedReturn,NumTrajs,Perplexity
0,3.17064846416,4.41664072335,0.0,-0.0577434664077,2.40066237522,0,0.00986007568311,6.28039287243e-10,-3.52880438145e-16,0.0577434664077,28,3.17064846416,293,11.0304802782
1,3.30322580645,4.62234990307,0.0,-0.0515458485711,2.39040214894,0,0.00876706235604,0.0213621364425,-9.66050342415e-18,0.0515458485711,20,3.30322580645,310,10.9178836757
2,3.12297734628,3.96233352058,0.0,-0.04878901474,2.37924425295,0,0.00977243230668,-0.0736107543717,-5.16954520885e-17,0.04878901474,20,3.12297734628,309,10.7967401753
3,3.17610062893,4.17620481798,-5.74791899523e-20,-0.0492502704908,2.36396756041,0,0.00954834732135,0.0681736307639,1.90347696011e-17,0.0492502704908,24,3.17610062893,318,10.6330551614
4,3.74085365854,4.40169471277,0.0,-0.0449148403986,2.34425153365,0,0.00967977730518,0.0720666232415,7.19717399176e-17,0.0449148403986,24,3.74085365854,328,10.4254666956
5,4.4371257485,5.31075612892,1.73850234758e-20,-0.0430236996493,2.31348550849,0,0.00991687599888,0.0677175675909,-6.99820661861e-17,0.0430236996493,29,4.4371257485,334,10.1096004147
6,4.29799426934,5.54662668748,0.0,-0.0351746682857,2.30346651743,0,0.00653845436831,0.0797983603871,-6.35897835747e-17,0.0351746682857,29,4.29799426934,349,10.0088181301
7,5.2231884058,5.60998449784,-2.09487517141e-20,-0.0369150181388,2.29016514925,0,0.00646434936552,0.0591761969471,-4.38545024958e-17,0.0369150181388,24,5.2231884058,345,9.87656865443
8,4.40266666667,5.63044044064,-3.80274994777e-20,-0.0424494496956,2.26902867195,0,0.00949335384398,0.0547055393277,-9.27837146483e-17,0.0424494496956,33,4.40266666667,375,9.67000350525
9,4.80706521739,5.39708597664,0.0,-0.0361486471154,2.25306200186,0,0.00660624509558,0.0908002385017,7.37010895649e-17,0.0361486471154,29,4.80706521739,368,9.51683182434
10,4.50395778364,4.90510048023,0.0,-0.0339060318337,2.24495705566,0,0.00647416564739,0.0242086461654,-5.76760861293e-17,0.0339060318337,24,4.50395778364,379,9.44001015279
11,5.15277777778,5.56891103015,0.0,-0.0434921325513,2.24280643512,0,0.00994198869372,0.0227284772751,2.53028862078e-17,0.0434921325513,29,5.15277777778,360,9.4197300882
12,5.59078590786,6.31280555827,0.0,-0.035232544593,2.21694110433,0,0.00658458217898,0.0780627598822,-9.33975119466e-18,0.035232544593,29,5.59078590786,369,9.17920963323
13,5.04166666667,6.12783381157,-2.33018160357e-20,-0.0316862114158,2.21131867131,0,0.00641198385935,0.0762342336446,6.11579991571e-17,0.0316862114158,33,5.04166666667,384,9.1277449558
14,5.21409921671,6.02528264707,1.0270492747e-20,-0.0353106552059,2.20425529687,0,0.00667756995945,0.0752384978743,-1.50045130233e-17,0.0353106552059,29,5.21409921671,383,9.06349943757
15,5.34256926952,6.50932494833,-5.20511468054e-20,-0.0397412749527,2.19594786336,0,0.00971047200528,0.0984866896052,2.60446629186e-18,0.0397412749527,42,5.34256926952,397,8.98851690608
16,5.55555555556,6.40959377935,0.0,-0.0435558484342,2.18223981817,0,0.00906979514926,0.0465629486139,4.01853066826e-17,0.0435558484342,33,5.55555555556,378,8.86614258279
17,5.65706806283,6.58613407732,3.77491779357e-22,-0.0344117550409,2.1753993194,0,0.00665934100999,0.0963440846311,6.25557839631e-17,0.0344117550409,33,5.65706806283,382,8.80570070734
18,5.88831168831,6.8403306297,4.53124154042e-20,-0.0336435681045,2.15631708693,0,0.00656769595376,0.116803833274,-6.44556160187e-17,0.0336435681045,33,5.88831168831,385,8.63926134709
19,5.73958333333,6.56735105095,0.0,-0.0358745187177,2.13239456185,0,0.00693591218328,0.0774003201554,3.99680288865e-18,0.0358745187177,33,5.73958333333,384,8.4350408749
20,5.72894736842,6.64773043561,1.24963788224e-20,-0.0353397110589,2.12193946159,0,0.00658167176383,0.0845100827627,4.01631560552e-17,0.0353397110589,33,5.72894736842,380,8.34731108785
21,5.63421052632,6.52286570522,0.0,-0.0351751978725,2.11026128916,0,0.00643228436344,0.109146104203,9.30448887155e-17,0.0351751978725,33,5.63421052632,380,8.25039674226
22,6.11827956989,6.38395074759,0.0,-0.0361049641317,2.09432906285,0,0.00654377714039,0.0664688931042,6.49569109967e-18,0.0361049641317,33,6.11827956989,372,8.11999113846
23,5.90104166667,6.59707944838,0.0,-0.0356984270634,2.07473627517,0,0.00652458552238,0.0799645867416,1.1293504625e-16,0.0356984270634,33,5.90104166667,384,7.96244628735
24,5.58139534884,6.31068697893,0.0,-0.0366815224752,2.068179153,0,0.00661930080912,0.0597124998801,-1.50296441959e-17,0.0366815224752,33,5.58139534884,387,7.91040635682
25,6.79674796748,6.98774694093,-3.36571221386e-20,-0.0436933032143,2.03639412248,0,0.00994754887464,0.0821760903711,1.57834255538e-16,0.0436933032143,33,6.79674796748,369,7.66292774204
26,6.49487179487,6.72681006879,0.0,-0.0369666200057,2.02636054507,0,0.00644472260877,0.0710967163863,2.22986410884e-18,0.0369666200057,29,6.49487179487,390,7.58642560025
27,6.42970822281,6.53624606689,0.0,-0.0382206424896,2.01534954707,0,0.0064446954366,0.0658817234865,1.47067783817e-17,0.0382206424896,33,6.42970822281,377,7.50334969677
28,6.02949061662,6.33528685428,0.0,-0.0387164612846,2.0128657874,0,0.00665114939568,0.0367945149502,-1.94289029309e-19,0.0387164612846,29,6.02949061662,373,7.48473630454
29,6.4474393531,6.66845271687,0.0,-0.0362690653103,1.99223738818,0,0.0065755446508,0.0772868636708,4.05508959744e-17,0.0362690653103,29,6.4474393531,371,7.33191977517
30,6.86612021858,6.88556736608,0.0,-0.046671041015,1.97455600952,0,0.0099972437477,0.0714276784689,-3.54993812124e-17,0.046671041015,33,6.86612021858,366,7.20342069351
31,6.6455026455,7.16998766805,-2.11017747144e-21,-0.0372524866035,1.94778550635,0,0.00645848975822,0.0663564814502,1.10328586501e-16,0.0372524866035,33,6.6455026455,378,7.01313981813
32,6.80901856764,6.94431228,0.0,-0.0358574529682,1.9244655533,0,0.00643456119591,0.11331224321,2.24428009321e-16,0.0358574529682,42,6.80901856764,377,6.85148593319
33,7.34408602151,7.28342443336,0.0,-0.0353612910533,1.90254665676,0,0.00647753438037,0.113263711238,-5.78818822154e-17,0.0353612910533,33,7.34408602151,372,6.70294281952
34,7.07027027027,7.08408436414,0.0,-0.0378921660689,1.8714918259,0,0.00661162113233,0.0473679817323,8.85046737179e-17,0.0378921660689,33,7.07027027027,370,6.4979830315
35,7.49329758713,7.3745510599,0.0,-0.0365085739627,1.85765665534,0,0.00661077025252,0.094265167952,-5.51076592252e-18,0.0365085739627,33,7.49329758713,373,6.4087013656
