NumTrajs,MinReturn,dLoss,AverageDiscountedReturn,MeanKL,Iteration,MaxReturn,AverageReturn,Entropy,ExplainedVariance,LossBefore,StdReturn,LossAfter,Perplexity,MeanKLBefore
302,0,0.0529417408297,0.805851417573,0.00658033881452,0,5,0.807947019868,2.39012067533,6.46623909972e-09,-3.04238217723e-16,1.24600145519,-0.0529417408297,10.9148110119,-1.71829697967e-20
303,0,0.0495694299006,1.20849796924,0.00677699276399,1,5,1.21452145215,2.38764734444,0.0366146515769,-2.09120199992e-17,1.42242310065,-0.0495694299006,10.8878484302,3.43359735211e-20
291,0,0.0596242377969,1.40073413096,0.00965933269398,2,7,1.4089347079,2.37923878661,0.0455986191704,-1.54690522002e-16,1.48107972336,-0.0596242377969,10.7966811568,9.44101147642e-21
298,0,0.0477886459282,1.61766770935,0.00676201447795,3,6,1.62751677852,2.3585461388,0.109659664681,4.08357894115e-17,1.55184925669,-0.0477886459282,10.5755648667,0.0
316,0,0.0409113632189,1.86762034435,0.00656286448471,4,7,1.87974683544,2.34245186419,0.0996221286446,4.0331455186e-17,1.63566885222,-0.0409113632189,10.4067211745,0.0
322,0,0.048904504635,1.99036274611,0.00963363079812,5,7,2.00310559006,2.33210329486,0.118421744524,-2.21601402121e-17,1.56732641605,-0.048904504635,10.2995818246,0.0
332,0,0.0414446336572,1.90371914843,0.0066799381826,6,6,1.9156626506,2.31810592189,0.0954590032811,5.87504553181e-17,1.58079451792,-0.0414446336572,10.1564190254,0.0
339,0,0.0446426008054,2.11912972046,0.00988370694534,7,7,2.13274336283,2.30158334752,0.122075800117,-1.26950020936e-16,1.58256219259,-0.0446426008054,9.98998756101,-1.3403635612e-20
338,0,0.0401491192385,2.20748035905,0.00685858743126,8,7,2.22189349112,2.27537856581,0.138667163893,5.49714018176e-17,1.63934428023,-0.0401491192385,9.73160236724,1.406858009e-21
349,0,0.0364257201918,2.127316322,0.00659643420716,9,6,2.14040114613,2.25765347892,0.149923537071,3.89797474822e-17,1.55889199488,-0.0364257201918,9.56062860842,0.0
351,0,0.0368570958666,2.20896110895,0.00646057111272,10,7,2.22222222222,2.23305362466,0.16424227708,-1.22540866343e-16,1.67320654223,-0.0368570958666,9.3283077829,0.0
354,0,0.0365561445131,2.21742037093,0.0064320088194,11,7,2.23163841808,2.21919172579,0.159955121664,4.03364387258e-17,1.6680832819,-0.0365561445131,9.19989182459,0.0
366,0,0.0351102158982,2.23263801424,0.00656398376191,12,8,2.24590163934,2.21466680505,0.148908517805,3.43058914609e-17,1.73352420066,-0.0351102158982,9.15835708486,0.0
361,0,0.0386390028973,2.35464857994,0.00674381472456,13,7,2.36842105263,2.19347012465,0.164839192015,2.31481500634e-17,1.78171693472,-0.0386390028973,8.96627327815,0.0
363,0,0.0400832434343,2.2673920997,0.00673397247666,14,8,2.28099173554,2.18174402401,0.138723155962,-1.61612989602e-17,1.64922458028,-0.0400832434343,8.86174789063,-2.43077097347e-20
366,0,0.0374214291474,2.46070013796,0.00660266049586,15,8,2.47540983607,2.17042831776,0.157282562073,1.67337762155e-16,1.75031510709,-0.0374214291474,8.7620361728,5.39203077053e-20
375,0,0.0359450045011,2.4732468947,0.00658179324824,16,8,2.488,2.14820635225,0.176746149198,4.38384397102e-17,1.84296572585,-0.0359450045011,8.56947398643,2.33779281322e-21
358,0,0.048999820118,2.50467069395,0.00994555821407,17,9,2.51955307263,2.14085626635,0.0648028227467,-4.82223680192e-18,1.75715864513,-0.048999820118,8.50671852811,0.0
355,0,0.0385380676343,2.43875352859,0.00663774762514,18,7,2.45352112676,2.13499658404,0.159387363383,9.53998190118e-17,1.77936774544,-0.0385380676343,8.45701761797,-1.05234859174e-20
353,0,0.0366586728937,2.60463683796,0.00655001284512,19,7,2.62039660057,2.0974768159,0.204278764942,-5.23470156111e-17,1.70911002177,-0.0366586728937,8.14559113539,0.0
363,0,0.0379768050749,2.60400455734,0.00648353758599,20,8,2.61983471074,2.07882905142,0.194896468009,2.02650975713e-17,1.7671140268,-0.0379768050749,7.99510157821,-5.8626150566e-21
361,0,0.0367360351897,2.58560721861,0.00673827184229,21,7,2.60110803324,2.07099637579,0.209401085636,7.69284306443e-17,1.75552910223,-0.0367360351897,7.9327231548,-1.72384939028e-20
349,0,0.0381945536994,2.74565937975,0.00646905429561,22,7,2.76217765043,2.0470992126,0.249344536015,-7.74445557785e-17,1.70391487958,-0.0381945536994,7.74540072684,0.0
363,0,0.0481858472015,2.64569784493,0.00999777475233,23,8,2.66115702479,2.0490745432,0.197111223917,1.30177461264e-16,1.76850492806,-0.0481858472015,7.76071557489,-4.93597882617e-20
359,0,0.048109267668,2.60580716449,0.00983152323974,24,7,2.62116991643,2.03566193632,0.159711879924,-8.67647467336e-17,1.72518547599,-0.048109267668,7.65731910595,1.12821927222e-20
353,0,0.0391338898822,2.8236650484,0.00649395176192,25,8,2.84135977337,2.0150713454,0.220599071049,3.44379869277e-17,1.67730742283,-0.0391338898822,7.50126254271,0.0
351,0,0.0387715208776,2.78635070715,0.00650085047791,26,8,2.80341880342,2.00063769682,0.171549112719,5.80161420996e-17,1.77625674577,-0.0387715208776,7.3937695792,0.0
355,0,0.0454364220065,2.89007517481,0.00983404423003,27,9,2.90704225352,1.98399921618,0.201760463024,-7.40333535402e-17,1.85679748102,-0.0454364220065,7.27176627665,0.0
345,0,0.0397003137292,2.92983414614,0.00655477124912,28,8,2.94782608696,1.96806455378,0.258137148608,-1.18105142428e-18,1.67596899903,-0.0397003137292,7.15681145147,-1.34888357203e-20
