Iteration,dLoss,LossBefore,MinReturn,StdReturn,MeanKL,MeanKLBefore,MaxReturn,AverageDiscountedReturn,Entropy,AverageReturn,ExplainedVariance,NumTrajs,LossAfter,Perplexity
44,0.0464391750682,-9.81075763149e-18,0,1.90578067993,0.00645282219668,0.0,9,3.0,2.35816045967,3.0,0.15993152401,375,-0.0464391750682,10.5714868785
45,0.0478309197018,-5.81413554043e-19,0,1.71363829869,0.00654878087781,0.0,9,2.92676767677,2.34831671065,2.92676767677,0.230504197855,396,-0.0478309197018,10.4679343237
46,0.0452774805873,1.29456717228e-17,0,1.72744116784,0.00641490931117,0.0,9,2.85496183206,2.34307034753,2.85496183206,0.2625151529,393,-0.0452774805873,10.4131595491
47,0.0588510074885,-7.11921498487e-18,0,1.63339179317,0.00996637921556,0.0,10,2.8125,2.31833148739,2.8125,0.227935207206,384,-0.0588510074885,10.1587102216
48,0.0462741953553,-4.33338859624e-17,-1,1.73337564794,0.00642861895823,0.0,9,2.97354497354,2.31135217763,2.97354497354,0.195323811607,378,-0.0462741953553,10.0880562808
49,0.0579409059825,-5.20009484666e-17,0,1.91565436783,0.00983142393454,0.0,10,3.12328767123,2.29761876709,3.12328767123,0.229264244447,365,-0.0579409059825,9.95045985901
50,0.050625877217,2.32507439712e-18,0,1.76977634166,0.00645898634867,0.0,8,3.02209944751,2.29218192855,3.02209944751,0.225966470331,362,-0.050625877217,9.89650761312
51,0.059123352803,-4.7295500849e-17,0,1.81861143471,0.00997528359947,0.0,10,2.98143236074,2.28305535957,2.98143236074,0.198594187966,377,-0.059123352803,9.80659736379
52,0.0561676702386,3.63862907662e-17,0,1.6351139322,0.00981628793938,0.0,8,2.95844155844,2.27513320086,2.95844155844,0.228787816034,385,-0.0561676702386,9.729214866
53,0.0477834821922,-3.66243006097e-17,-1,1.72374303002,0.00648333344001,0.0,8,3.09946236559,2.26624552877,3.09946236559,0.302780815837,372,-0.0477834821922,9.64312791755
54,0.057716834509,8.9572604936e-17,0,1.7151404031,0.00990266524675,0.0,8,3.12983425414,2.24876778087,3.12983425414,0.267190024432,362,-0.057716834509,9.47605206674
55,0.0599748603392,-3.81743144144e-17,0,1.66476251737,0.00983379920755,0.0,9,3.16901408451,2.23198245977,3.16901408451,0.299744148661,355,-0.0599748603392,9.31832097688
56,0.0481828723053,-8.19278550414e-17,-1,1.70890667164,0.00649187175912,0.0,9,3.26685393258,2.21963506298,3.26685393258,0.311317742618,356,-0.0481828723053,9.20397138304
57,0.061296820633,5.98088779011e-17,-1,1.76785457797,0.00998059167185,0.0,11,3.50724637681,2.20649736762,3.50724637681,0.280364061857,345,-0.061296820633,9.08384324222
58,0.0477550359016,-7.64938682906e-17,0,1.62687744186,0.00647966172212,0.0,10,3.19662921348,2.18809509306,3.19662921348,0.267156954474,356,-0.0477550359016,8.91820856639
59,0.0567715026352,-3.20737253134e-16,0,1.74356867037,0.00998796348655,0.0,10,3.37931034483,2.18578596301,3.37931034483,0.275690121741,348,-0.0567715026352,8.89763902108
60,0.058784591045,-3.31739947597e-19,0,1.63838407182,0.0098400610351,0.0,9,3.48511904762,2.17231601517,3.48511904762,0.292357851415,336,-0.058784591045,8.77859186696
61,0.0615451988622,5.81558581121e-19,0,1.6674265857,0.00999079058147,0.0,8,3.42941176471,2.17955974553,3.42941176471,0.267445460009,340,-0.0615451988622,8.84241249004
62,0.0450285209461,4.55781601075e-17,0,1.74268631633,0.00643643362092,0.0,9,3.47592067989,2.16169069451,3.47592067989,0.330983069272,353,-0.0450285209461,8.6858103033
63,0.0510610924205,-3.97795266002e-18,0,1.63925783527,0.00646831230231,0.0,9,3.55657492355,2.16143251679,3.55657492355,0.318721437881,327,-0.0510610924205,8.68356811005
64,0.0663807767425,4.68557393451e-17,0,1.70583875508,0.00984408813879,0.0,9,3.55325443787,2.15335965057,3.55325443787,0.286521440436,338,-0.0663807767425,8.61374902561
65,0.0601491893955,1.02864997549e-17,-1,1.68943825345,0.00995895689425,0.0,9,3.55108359133,2.15968578724,3.55108359133,0.308085736508,323,-0.0601491893955,8.66841350435
