MeanKL,MaxReturn,MeanKLBefore,AverageReturn,MinReturn,StdReturn,LossBefore,Iteration,AverageDiscountedReturn,ExplainedVariance,Entropy,NumTrajs,dLoss,LossAfter,Perplexity
0.00978378115614,4,0.0,0.725842696629,0,1.02831028521,-9.49798983882e-17,0,0.725842696629,8.7086393652e-09,2.42453543482,445,0.0525989592148,-0.0525989592148,11.2969800165
0.00666737644215,6,8.88054118019e-21,0.955056179775,0,1.21331667606,-1.58920258084e-17,1,0.955056179775,0.105713495755,2.42075652206,445,0.0472232213649,-0.0472232213649,11.2543702745
0.00657987538081,5,0.0,1.03837471783,0,1.24108343933,3.62637750305e-17,2,1.03837471783,0.120863780184,2.41248997451,443,0.0480541909874,-0.0480541909874,11.1617189683
0.00696439108341,5,-2.21143910748e-20,1.30523917995,0,1.30453733312,-1.81849264458e-17,3,1.30523917995,0.0988148652549,2.40502968292,439,0.0525790386247,-0.0525790386247,11.0787591272
0.00670771352915,6,2.80255276568e-21,1.42298850575,0,1.36303423772,-2.55159925719e-18,4,1.42298850575,0.150796945404,2.38554651431,435,0.0501108780937,-0.0501108780937,10.86499892
0.00674578133476,6,0.0,1.52995391705,0,1.42404515595,-8.73863700042e-18,5,1.52995391705,0.136988791942,2.36608336366,434,0.0527104721917,-0.0527104721917,10.6555764309
0.00667421660532,6,0.0,1.91474654378,0,1.50256740505,-8.95609482902e-18,6,1.91474654378,0.124397185549,2.33483952875,434,0.0542814185902,-0.0542814185902,10.327802481
0.00659073321816,7,0.0,2.01851851852,0,1.43036826054,6.13646509363e-17,7,2.01851851852,0.171383618287,2.3129936625,432,0.0519116932398,-0.0519116932398,10.104629271
0.00666497655862,6,0.0,2.21232876712,0,1.53888222544,7.7998435771e-17,8,2.21232876712,0.165655030048,2.27584327625,438,0.0522353172543,-0.0522353172543,9.7361257954
0.00664263973014,7,0.0,2.69124423963,0,1.5305090326,-1.44323447632e-17,9,2.69124423963,0.233863402293,2.23851758136,434,0.0499088012667,-0.0499088012667,9.37941675419
0.00650285666241,6,0.0,2.73549883991,0,1.50624906177,-1.6755989677e-17,10,2.73549883991,0.277210315705,2.19759378187,431,0.0518412388362,-0.0518412388362,9.00332345433
0.00662187829084,7,0.0,2.88399071926,0,1.47067193946,5.27355936697e-18,11,2.88399071926,0.300392462618,2.15266507752,431,0.0496493550507,-0.0496493550507,8.60776822496
0.00660351362571,7,0.0,3.04176334107,0,1.39542528994,3.51764816398e-17,12,3.04176334107,0.342547267507,2.11011901042,431,0.0491191778625,-0.0491191778625,8.24922296968
0.00649146622434,7,0.0,3.12756264237,0,1.5099189829,-6.24950803927e-18,13,3.12756264237,0.355683980321,2.06993670532,439,0.0504146768508,-0.0504146768508,7.92432153459
0.00651547669727,7,0.0,3.38694638695,0,1.42387803929,-4.73237066648e-17,14,3.38694638695,0.414893337811,2.01935112293,429,0.046930457626,-0.046930457626,7.53343507407
0.00650526021197,7,0.0,3.50458715596,0,1.43113384965,4.52587795191e-17,15,3.50458715596,0.414479154361,1.98444954556,436,0.0462853344575,-0.0462853344575,7.27504170409
0.00655454940079,7,4.08551359713e-21,3.50343249428,0,1.41036117813,-1.10994553824e-19,16,3.50343249428,0.413591508341,1.94526803923,437,0.0475119503986,-0.0475119503986,6.99550667399
0.00656633239459,7,0.0,3.62669683258,0,1.37479326078,-4.84057238737e-17,17,3.62669683258,0.452808993719,1.90270782247,442,0.0470945435732,-0.0470945435732,6.70402319113
0.00642724635626,8,0.0,3.92201834862,0,1.4505208048,-4.38770776199e-17,18,3.92201834862,0.493258719359,1.85057603984,436,0.0448206929849,-0.0448206929849,6.36348408742
0.00649709250302,7,-1.21997513353e-20,3.85159817352,0,1.48919539527,-5.9937059065e-17,19,3.85159817352,0.461367114206,1.82020895585,438,0.0455862380753,-0.0455862380753,6.17314823057
0.00992869055492,8,0.0,4.09862385321,0,1.36868581439,-3.12648614492e-18,20,4.09862385321,0.53815528061,1.77555278498,436,0.0544187958931,-0.0544187958931,5.90354362474
0.00647805611736,7,0.0,4.08656036446,0,1.36562976715,8.76637870519e-18,21,4.08656036446,0.542709833229,1.72600253073,439,0.0439979863018,-0.0439979863018,5.61815057594
0.0064094242565,7,-3.03253606891e-20,4.13646532438,0,1.44137922951,-5.20304370271e-17,22,4.13646532438,0.511890165737,1.66764363926,447,0.0435108562361,-0.0435108562361,5.29966514967
0.00643158520372,8,-1.26939250866e-20,4.23542600897,0,1.44424035385,-5.4229058475e-18,23,4.23542600897,0.491055161304,1.63772938525,446,0.0431064893098,-0.0431064893098,5.14347738748
0.00979578054783,8,-6.87323678698e-20,4.39682539683,0,1.43297381629,2.43389716759e-17,24,4.39682539683,0.548211224777,1.61587758372,441,0.0521441679878,-0.0521441679878,5.03230225272
0.00990287569407,8,0.0,4.42307692308,0,1.41891282659,-1.00324696684e-17,25,4.42307692308,0.543695182907,1.56813333027,442,0.0532568716817,-0.0532568716817,4.79768413817
0.00993050161908,8,6.78871440767e-21,4.44191343964,0,1.42565877568,-2.60152185136e-17,26,4.44191343964,0.54143461341,1.52042092532,439,0.0519827451795,-0.0519827451795,4.57415016558
0.00648894900393,8,1.3496972957e-20,4.40939597315,0,1.50024646515,3.47897601974e-17,27,4.40939597315,0.528231921844,1.5007444454,447,0.0412739354552,-0.0412739354552,4.48502668533
0.00643519513099,7,0.0,4.39909297052,0,1.47369961679,3.89840306186e-17,28,4.39909297052,0.524365912861,1.47185975196,441,0.0418216598595,-0.0418216598595,4.3573311656
