ExplainedVariance,LossAfter,StdReturn,MeanKL,Perplexity,NumTrajs,AverageDiscountedReturn,MeanKLBefore,dLoss,Entropy,MinReturn,Iteration,AverageReturn,MaxReturn,LossBefore
5.46498180043e-09,-0.16075376025,1.33041097561,0.611413293119,11.1083676548,446,1.19282511211,0.0,0.16075376025,2.40769866709,0,0,1.19282511211,6,5.55721524963e-16
0.0402792632896,-0.299628926824,1.55461832436,0.689388614657,7.14294978692,432,1.7037037037,0.0,0.299628926824,1.96612582646,0,1,1.7037037037,6,5.54003505302e-20
0.243326320987,-0.310232949387,1.50337703018,0.709257920772,5.26855553312,455,2.76263736264,0.0,0.310232949387,1.6617562326,0,2,2.76263736264,7,-8.41687830544e-18
0.370632515684,-0.260877212952,1.59820239388,0.779707024414,4.03170422576,464,3.36206896552,0.0,0.260877212952,1.39418917137,0,3,3.36206896552,8,8.322515584e-17
0.401109192735,-0.243536961466,1.63328649853,0.810039719733,3.04272451829,477,3.68763102725,0.0,0.243536961466,1.11275333717,0,4,3.68763102725,8,5.54280092174e-20
0.459800368217,-0.229389817576,1.52554297138,0.801847538274,2.49070843021,477,3.93710691824,0.0,0.229389817576,0.912567180134,0,5,3.93710691824,8,-6.95621515679e-17
0.476261051978,-0.324306626229,1.61683205346,0.780948034021,2.19660226664,477,4.01048218029,0.0,0.324306626229,0.786911742258,0,6,4.01048218029,7,2.90660437124e-17
0.40454774774,-0.260605820594,1.64424793991,0.781698838176,2.11946128009,486,3.98765432099,0.0,0.260605820594,0.751161943225,0,7,3.98765432099,8,-1.74860126378e-18
0.477755990245,-0.200775583732,1.54103551977,0.753605106422,2.03992099618,466,4.14163090129,0.0,0.200775583732,0.712911079744,0,8,4.14163090129,8,9.37201254554e-18
0.477332195195,-0.234764817517,1.59599019954,0.75577220933,2.04280597429,472,4.11016949153,0.0,0.234764817517,0.714324340347,0,9,4.11016949153,7,4.23550083894e-17
0.457125443111,-0.205192635498,1.67243680588,0.754162040015,2.00985170894,478,4.0460251046,2.04418398343e-20,0.205192635498,0.698060942702,0,10,4.0460251046,9,-6.40847133994e-17
0.528451212695,-0.532900395782,1.52628773382,0.777050956055,1.80466552308,481,4.25987525988,1.21334393394e-22,0.532900395782,0.590375268843,0,11,4.25987525988,8,-1.48994866856e-17
0.474648718112,-0.194200838142,1.61404637677,0.698455512698,1.82490796525,475,4.22736842105,0.0,0.194200838142,0.601529555764,0,12,4.22736842105,8,-6.38530666185e-17
0.495588431198,-0.272685093018,1.59810227143,0.659560667033,1.75579901061,481,4.33056133056,0.0,0.272685093018,0.562924030011,0,13,4.33056133056,8,-4.19177158973e-17
0.523091066176,-0.362754153246,1.53551005665,0.787750863275,1.81910596461,464,4.28232758621,0.0,0.362754153246,0.59834515216,0,14,4.28232758621,8,-9.49302318944e-17
0.479131172259,-0.178270762945,1.56327795916,0.66956576589,1.77400721811,472,4.25423728814,-3.5517992469e-20,0.178270762945,0.57324095271,0,15,4.25423728814,8,1.18527177486e-17
0.443128935593,-0.281116146135,1.67463046662,0.760525020447,1.87883654208,467,4.2591006424,0.0,0.281116146135,0.63065272467,0,16,4.2591006424,8,5.70481274814e-18
0.479231732214,-0.378327942247,1.67175221342,0.749594784775,1.80100235519,465,4.25161290323,0.0,0.378327942247,0.588343373906,0,17,4.25161290323,9,3.52874484589e-17
0.446524092021,-0.289962002086,1.67105671823,0.666959039535,1.7213298149,480,4.19166666667,0.0,0.289962002086,0.543097140295,0,18,4.19166666667,8,7.43477687655e-18
0.417683959182,-0.281081908062,1.71624596907,0.71929874741,1.7714860387,470,4.16382978723,0.0,0.281081908062,0.57181876423,0,19,4.16382978723,8,-3.37725185813e-17
0.413241728257,-0.386450956749,1.75964052076,0.698297766229,1.68351068267,471,4.17622080679,1.24702503019e-20,0.386450956749,0.52088130511,0,20,4.17622080679,8,3.5371899611e-17
0.44533220147,-0.225432988098,1.75473394621,0.696740816299,1.69358245529,473,4.43763213531,9.574031711e-21,0.225432988098,0.526846081365,0,21,4.43763213531,8,-1.76129170282e-17
0.425435098605,-0.209846294363,1.74012253259,0.668519858953,1.67500795862,487,4.14579055441,0.0,0.209846294363,0.515817916679,0,22,4.14579055441,8,1.02357350035e-16
0.445258267427,-0.278261479993,1.72559570485,0.703499840259,1.67998420421,479,4.29853862213,7.22910353944e-20,0.278261479993,0.518784391116,0,23,4.29853862213,8,-2.74437152155e-17
0.420327513968,-0.194154770355,1.73253716252,0.682938766994,1.63275265207,478,4.21548117155,6.97204347906e-21,0.194154770355,0.490267334097,0,24,4.21548117155,8,-2.300362128e-17
0.461381279682,-0.146123572441,1.73894051146,0.704955219422,1.59419272242,488,4.35450819672,0.0,0.146123572441,0.466367477965,0,25,4.35450819672,8,4.63406619576e-17
0.441419795485,-0.235025508709,1.78815067198,0.692911522714,1.51821448159,482,4.36099585062,0.0,0.235025508709,0.417534961216,0,26,4.36099585062,9,-1.37459488236e-17
0.390499773526,-0.230801391852,1.82085597812,0.718062921676,1.59743579573,480,4.23958333333,0.0,0.230801391852,0.468399715998,0,27,4.23958333333,9,1.48195937668e-17
0.499119266099,-0.36019255928,1.63706245896,0.745599810563,1.58324876677,471,4.58598726115,-3.31507908094e-20,0.36019255928,0.459478917493,0,28,4.58598726115,8,5.98815617881e-17
0.445738898918,-0.276263020846,1.79380775458,0.638385528369,1.56429656984,475,4.33894736842,1.49166572823e-20,0.276263020846,0.447436246807,0,29,4.33894736842,8,6.72533613999e-17
