MeanKLBefore,dLoss,ExplainedVariance,Iteration,AverageReturn,NumTrajs,MaxReturn,MeanKL,LossAfter,StdReturn,Perplexity,MinReturn,AverageDiscountedReturn,LossBefore,Entropy
0.0,0.0497008965973,7.59099483272e-09,0,0.614840989399,283,6,0.00641992861163,-0.0497008965973,1.06173014986,10.6588901133,0,0.614840989399,3.29778693731e-16,2.36639429636
0.0,0.0546995218612,0.00366002532709,1,0.944852941176,272,6,0.00700590328768,-0.0546995218612,1.30914879468,10.6777469545,0,0.944852941176,-1.49713574871e-16,2.36816185196
-3.45712903976e-21,0.0601081973024,0.0532912433041,2,1.14788732394,284,6,0.00998585323287,-0.0601081973024,1.38119759781,10.648757577,0,1.14788732394,-7.07590280628e-19,2.36544322591
0.0,0.0499936924251,0.0669679108734,3,1.39792387543,289,6,0.00694814279657,-0.0499936924251,1.51033206817,10.4734858736,0,1.39792387543,-4.71231153579e-18,2.34884690869
-3.0953142289e-20,0.0422835927559,0.00653924994717,4,1.58333333333,300,7,0.0065307303643,-0.0422835927559,1.61752554505,10.3880011518,0,1.58333333333,-2.49751644685e-17,2.34065140468
2.22628046559e-20,0.0426118056063,0.0837063359104,5,1.91333333333,300,8,0.00692639877639,-0.0426118056063,1.76611312083,10.1815884249,0,1.91333333333,-7.68807950103e-17,2.32058103283
0.0,0.0490748763408,0.0925093291914,6,1.96904024768,323,8,0.0098583426894,-0.0490748763408,1.6671014523,10.0627522908,0,1.96904024768,5.37175648828e-17,2.30884071481
0.0,0.0498540700265,0.148424683469,7,2.14241486068,323,7,0.00927914349347,-0.0498540700265,1.6908503699,9.86413162418,0,2.14241486068,-2.32036612147e-17,2.28890510967
-1.15820797676e-20,0.0367239384581,0.182747813878,8,2.07530120482,332,7,0.00640934411265,-0.0367239384581,1.61610631088,9.69287244292,0,2.07530120482,-7.5325682888e-18,2.27139081571
0.0,0.0388493670884,0.187531885826,9,2.22740524781,343,8,0.00730438283815,-0.0388493670884,1.67841935105,9.5065212659,0,2.22740524781,-7.56126437285e-17,2.25197801215
0.0,0.038025420266,0.137450720906,10,2.20512820513,351,6,0.00656229999087,-0.038025420266,1.64622573531,9.43595693997,0,2.20512820513,4.07822201174e-17,2.24452759816
-7.25350550541e-21,0.0403438288476,0.15919653385,11,2.36283185841,339,7,0.00691005519737,-0.0403438288476,1.70749836973,9.18123375407,0,2.36283185841,-3.84627826883e-17,2.21716159147
0.0,0.0366802964905,0.14368940032,12,2.23055555556,360,8,0.00670977847096,-0.0366802964905,1.65819839391,9.06837017801,0,2.23055555556,-5.08759701034e-17,2.20479255427
0.0,0.0375996433722,0.159839078293,13,2.45664739884,346,7,0.00661214610355,-0.0375996433722,1.6759517277,8.90618987843,0,2.45664739884,8.10207711777e-17,2.18674652695
0.0,0.0386825972146,0.148202083047,14,2.55362318841,345,7,0.00681545290043,-0.0386825972146,1.7555361467,8.74062769008,0,2.55362318841,1.86701673057e-17,2.16798200518
1.5520096607e-22,0.0398798416349,0.168867982895,15,2.47323943662,355,8,0.00682519343935,-0.0398798416349,1.78451537955,8.6877633775,0,2.47323943662,-1.84436250656e-17,2.16191552727
0.0,0.0391751294749,0.1618242561,16,2.53333333333,345,7,0.00662160540236,-0.0391751294749,1.74278360274,8.47156500357,0,2.53333333333,6.88166233709e-18,2.13671526179
-3.63235881686e-20,0.03924977245,0.210561419139,17,2.51944444444,360,8,0.00667560596935,-0.03924977245,1.73834522918,8.30865466829,0,2.51944444444,1.5923556178e-16,2.11729770266
0.0,0.048929160571,0.202386111468,18,2.71346704871,349,8,0.00992532817065,-0.048929160571,1.77804720872,7.94154906918,0,2.71346704871,-1.55353546674e-17,2.0721083531
4.57262354347e-21,0.0401404283002,0.193708419527,19,2.65168539326,356,7,0.00660286104962,-0.0401404283002,1.76801242811,7.89837134845,0,2.65168539326,-1.85360904886e-17,2.0666565798
