Iteration,LossAfter,StdReturn,MeanKLBefore,ExplainedVariance,AverageDiscountedReturn,Perplexity,NumTrajs,MinReturn,dLoss,AverageReturn,LossBefore,MeanKL,Entropy,MaxReturn
0,-0.0597467720925,1.37663650647,0.0,5.34497768268e-09,0.776556776557,10.3414623089,273,0,0.0597467720925,0.776556776557,9.00720804282e-16,0.00966697850518,2.33616128161,7
1,-0.0475990879473,1.60408814243,0.0,0.00739882596199,1.05576208178,10.4399470826,269,0,0.0475990879473,1.05576208178,2.99460755893e-18,0.00666464741695,2.34563951372,9
2,-0.0575368689393,1.70278853344,1.90242838895e-20,0.0608165298846,1.17582417582,10.3779166809,273,0,0.0575368689393,1.17582417582,-1.92745129743e-17,0.0089074025103,2.33968015248,7
3,-0.0516783952814,2.02229303892,1.23213301149e-20,-0.0157117347673,1.58394160584,10.3648746296,274,0,0.0516783952814,1.58394160584,6.77211183097e-17,0.00732913051356,2.33842265026,9
4,-0.0424001574374,2.10977294745,4.89351807508e-20,0.0422264919087,1.83859649123,10.3149928259,285,0,0.0424001574374,1.83859649123,-9.20853011648e-17,0.00677702454913,2.33359845102,10
5,-0.0528421920297,2.19507610262,0.0,0.0166167954615,2.04827586207,10.2478737509,290,0,0.0528421920297,2.04827586207,-5.73259655091e-17,0.00981474467055,2.32707024513,10
6,-0.0405188970708,2.35911565193,0.0,0.033418578495,2.29757785467,10.1386228432,289,0,0.0405188970708,2.29757785467,8.95054925947e-17,0.00646262073628,2.31635217466,10
7,-0.0376460461831,2.24600314857,0.0,0.0460212293843,2.26688102894,10.0743259919,311,0,0.0376460461831,2.26688102894,-1.12104499362e-17,0.00639386499807,2.30999020652,12
8,-0.0427176836664,2.59247015322,0.0,0.0575349298019,2.88552188552,9.94418674222,297,0,0.0427176836664,2.88552188552,9.72286066973e-17,0.00687576650051,2.29698813342,13
9,-0.0388136600747,2.66095912869,0.0,0.0867254239855,2.78205128205,9.92622134805,312,0,0.0388136600747,2.78205128205,3.91631171937e-17,0.00660093507354,2.29517987674,12
10,-0.0481579909861,3.12137005696,0.0,0.114514813447,3.1847133758,9.82805184442,314,0,0.0481579909861,3.1847133758,-5.88905726136e-17,0.00975624926363,2.28524072982,15
11,-0.0390632492315,2.92013036443,0.0,0.117302760495,3.26751592357,9.70035479575,314,0,0.0390632492315,3.26751592357,3.0643318887e-17,0.00665699278921,2.27216246172,15
12,-0.0394094092294,2.59182841898,0.0,0.0658936820484,2.79192546584,9.72584117297,322,0,0.0394094092294,2.79192546584,-2.2359426817e-17,0.0068248226634,2.2747863817,13
13,-0.0372039706515,2.73555403684,-1.61591408484e-20,0.0881994607093,3.15189873418,9.53551787122,316,0,0.0372039706515,3.15189873418,-4.14220968758e-17,0.00653896126929,2.25502355024,13
14,-0.0384268795314,2.79092116385,0.0,0.0988003359759,3.4076433121,9.46026943811,314,0,0.0384268795314,3.4076433121,-5.82271236829e-17,0.00649950254025,2.24710086449,15
15,-0.0378826041385,2.83072671336,-3.14358691939e-20,0.0585502087129,3.17610062893,9.33746413938,318,0,0.0378826041385,3.17610062893,8.67977410904e-17,0.00641354944113,2.23403470996,12
16,-0.0386113339621,2.88414137732,2.19662788232e-20,0.117508099283,3.478125,9.213357969,320,0,0.0386113339621,3.478125,2.79983762021e-17,0.00675921705177,2.22065438414,13
17,-0.0405345365249,3.05331414576,0.0,0.0886232337993,3.5,9.06976097451,330,0,0.0405345365249,3.5,4.42315513555e-17,0.0067018265711,2.20494591036,18
18,-0.0471280075705,2.81389181168,2.5939117556e-20,0.0822554314389,3.41717791411,8.96065355669,326,0,0.0471280075705,3.41717791411,2.60316698216e-18,0.00995893660789,2.19284316592,12
19,-0.0393888119991,2.74887739003,-1.70685512343e-20,0.0571089214693,3.26060606061,9.03505882957,330,0,0.0393888119991,3.26060606061,-1.88220308338e-17,0.00649803650582,2.20111243532,13
20,-0.0381971153068,2.82864655226,1.63397825497e-20,0.083028112015,3.32326283988,8.75871984851,331,0,0.0381971153068,3.32326283988,1.13989923338e-17,0.0066578699018,2.17004975825,12
21,-0.039768307138,2.98107754335,-1.16396018256e-20,0.0928321792728,3.59756097561,8.66136234331,328,0,0.039768307138,3.59756097561,3.69797546971e-17,0.00668989117523,2.15887202467,13
22,-0.0399922499864,2.86013954353,0.0,0.0749680762492,3.45398773006,8.38699460657,326,0,0.0399922499864,3.45398773006,-3.63426299478e-17,0.00674588171321,2.12668224493,13
23,-0.0402269946406,3.06503890641,0.0,0.157830777086,4.23197492163,8.0160343036,319,0,0.0402269946406,4.23197492163,4.83886520468e-17,0.00652010390836,2.08144382372,15
24,-0.0384523733369,3.22816599577,0.0,0.149885505538,4.40186915888,7.94420811486,321,0,0.0384523733369,4.40186915888,-3.05866443284e-17,0.00654636521023,2.07244312414,15
25,-0.0511992481259,3.37872549185,0.0,0.125922955448,4.30841121495,7.83566657658,321,0,0.0511992481259,4.30841121495,-9.63966099225e-18,0.00988443318684,2.05868594897,15
26,-0.0388677749951,3.01136739294,0.0,0.164803704541,3.8734939759,7.71280410937,332,0,0.0388677749951,3.8734939759,3.31736635166e-17,0.006622066923,2.04288181917,13
27,-0.0485108156837,3.11531382555,-1.76775418859e-20,0.130044211374,4.04012345679,7.54924945712,324,0,0.0485108156837,4.04012345679,2.60837201487e-18,0.00997073668212,2.02144814867,15
28,-0.0380051052347,3.13282708782,0.0,0.138532987869,4.0332326284,7.33342021002,331,0,0.0380051052347,4.0332326284,1.09521532702e-16,0.0065437624298,1.99244201144,15
