dLoss,LossAfter,AverageDiscountedReturn,MeanKL,StdReturn,LossBefore,MinReturn,Entropy,ExplainedVariance,Iteration,NumTrajs,MaxReturn,MeanKLBefore,Perplexity,AverageReturn
0.0533989091709,-0.0533989091709,0.584656084656,0.00658366624299,1.02326250374,-1.13781264762e-16,-1,2.91062238119,7.73009023458e-09,0,378,5,-7.51712775269e-21,18.3682270492,0.584656084656
0.070111907638,-0.070111907638,0.687830687831,0.00955755814929,1.12589061885,-6.32356455921e-17,-1,2.91400615855,0.073244767247,1,378,6,-1.29436303868e-18,18.4304863164,0.687830687831
0.067568178898,-0.067568178898,0.858611825193,0.00962903388144,1.19685067716,-7.11891319589e-17,-1,2.91052047731,-0.0375856532286,2,389,6,8.11676178072e-19,18.3663553509,0.858611825193
0.0653784975545,-0.0653784975545,1.20779220779,0.00986859693197,1.39700665467,2.63837323875e-17,-1,2.90587226717,-0.101700635518,3,385,8,5.76209727517e-18,18.2811827752,1.20779220779
0.0604407635444,-0.0604407635444,1.35714285714,0.00963509754928,1.50847943442,1.90244941704e-17,-1,2.90045286295,-0.0670222298472,4,392,8,-3.42394676029e-18,18.1823776304,1.35714285714
0.0554058797223,-0.0554058797223,1.52392947103,0.00650672936705,1.49307610218,-8.49320613838e-18,0,2.88733447412,-0.151044383434,5,397,9,3.32530523503e-19,17.9454118338,1.52392947103
0.0594816021004,-0.0594816021004,1.51030927835,0.00931838278462,1.43138492061,-1.44389964011e-17,0,2.88736178691,-0.0413616706005,6,388,6,-6.96801494714e-19,17.9459019798,1.51030927835
0.052418560053,-0.052418560053,1.542997543,0.00643783595717,1.45615489682,-1.75656942119e-17,-1,2.87824255109,-0.0975013286608,7,407,8,-2.26825882282e-18,17.7829929993,1.542997543
0.0527601347978,-0.0527601347978,1.70229007634,0.00666497282842,1.54834553327,-1.48297438186e-17,0,2.87187378418,-0.0409486805805,8,393,8,-2.47848919925e-18,17.6700971472,1.70229007634
0.0613500744313,-0.0613500744313,1.62755102041,0.00994239139437,1.62539041541,5.89866560851e-18,-1,2.86632940379,3.54191843355e-05,9,392,8,4.62116460197e-19,17.5723984966,1.62755102041
0.0656195769383,-0.0656195769383,1.68689320388,0.00995157499948,1.5568586302,-2.4024316325e-17,-1,2.85630993827,-0.00628339445543,10,412,8,-7.91751858284e-20,17.397211561,1.68689320388
0.0541781793264,-0.0541781793264,1.67788461538,0.00658194772526,1.47644692595,-7.95847676128e-17,-1,2.85325575984,-0.0618804080403,11,416,7,3.14987915556e-19,17.3441584309,1.67788461538
0.0513957056784,-0.0513957056784,1.74209245742,0.00647000129901,1.60038149382,-5.5857662787e-18,-1,2.84112154521,-0.00422368339046,12,411,8,-1.54109251428e-18,17.1349724108,1.74209245742
0.052030788735,-0.052030788735,1.69176470588,0.00668883210673,1.56327046056,-1.62958347099e-17,-1,2.83419493434,0.0312175890638,13,425,9,3.48906644116e-18,17.0166952275,1.69176470588
0.0489035877633,-0.0489035877633,1.61722488038,0.00646143880203,1.45979285158,-2.74990289512e-17,-1,2.8259395293,-0.0699548364278,14,418,7,-3.9515222816e-19,16.876793782,1.61722488038
0.0632595464483,-0.0632595464483,1.78985507246,0.00969156503554,1.45853923292,6.97529579548e-17,0,2.8192570757,-0.0241112341636,15,414,8,-1.52505737831e-18,16.7643913709,1.78985507246
0.0625389438859,-0.0625389438859,1.77647058824,0.00966055244552,1.57611936386,-1.94094934375e-18,0,2.81656966214,0.0501391233894,16,425,9,-1.63302842965e-18,16.7193990018,1.77647058824
0.0630060460852,-0.0630060460852,1.69138755981,0.00981840494214,1.36356291248,-1.96377266438e-18,0,2.80584419495,-0.000797688308838,17,418,7,9.6677034206e-19,16.5410338709,1.69138755981
0.062708148982,-0.062708148982,1.84303797468,0.00999672675124,1.65374018319,3.58648019245e-17,0,2.80995196186,-0.00610130736819,18,395,7,-6.613135915e-19,16.6091203284,1.84303797468
0.0627535037838,-0.0627535037838,1.64027149321,0.00972491858403,1.42044155984,1.31674391185e-17,0,2.79981692082,-0.0354488649467,19,442,8,-5.00005031063e-18,16.4416363742,1.64027149321
0.047504568854,-0.047504568854,1.86255924171,0.00642707709456,1.53785444496,6.42220465269e-18,0,2.78653178326,0.0845260990009,20,422,9,-4.14540935961e-18,16.2246515017,1.86255924171
0.0606305965501,-0.0606305965501,1.85480093677,0.00982752562558,1.57185257283,-1.07031485799e-16,0,2.78143667263,0.0319566858172,21,427,10,-4.43307597556e-20,16.1421953472,1.85480093677
0.0484003476391,-0.0484003476391,1.86416861827,0.00647849229968,1.6123947453,-5.41268332454e-18,-1,2.77626730821,0.0214286140298,22,427,7,9.31526218453e-19,16.0589657643,1.86416861827
0.0634872086847,-0.0634872086847,1.76537585421,0.00964957752231,1.47324948284,-3.70490467113e-17,0,2.76805020707,-0.0240864807368,23,439,7,2.16131683439e-18,15.9275482932,1.76537585421
0.0501326831537,-0.0501326831537,1.76590909091,0.00655837314453,1.42453232865,1.05387920613e-16,0,2.75778267748,0.0364002023809,24,440,6,-3.36679728661e-19,15.7648484122,1.76590909091
0.0618955534071,-0.0618955534071,1.80751173709,0.00975661197904,1.44395775435,1.69440521464e-17,0,2.74742399688,0.0574916279795,25,426,10,-1.60072885781e-18,15.6023882718,1.80751173709
0.0622686116876,-0.0622686116876,1.89588377724,0.00991868941547,1.40607726481,5.85057587902e-17,0,2.73490506998,0.056027049612,26,413,7,4.66538889286e-19,15.4082806581,1.89588377724
