MeanKL,LossAfter,NumTrajs,MinReturn,Perplexity,Entropy,dLoss,AverageReturn,LossBefore,MeanKLBefore,Iteration,AverageDiscountedReturn,ExplainedVariance,MaxReturn,StdReturn
0.00669571860262,-0.0470336792326,449,0,11.0513163506,2.40254954762,0.0470336792326,5.10690423163,3.11236679375e-16,0.0,0,5.10690423163,3.5198621795e-11,123,17.2402691056
0.00662971892286,-0.0518600106458,449,0,11.0283350936,2.40046787841,0.0518600106458,5.0868596882,1.25669922578e-17,0.0,1,5.0868596882,-0.0636727452033,122,18.1834019907
0.0064136887808,-0.0488273937886,449,0,11.0033918915,2.39820357904,0.0488273937886,5.85523385301,4.7687990488e-17,0.0,2,5.85523385301,-0.0347588927501,133,18.0968435521
0.00662914691805,-0.0463913610414,442,0,10.9546624502,2.39376516018,0.0463913610414,8.5407239819,-6.50447688167e-17,0.0,3,8.5407239819,-0.0419272618242,133,23.4717393838
0.00975403865123,-0.0585439993755,443,0,10.9182982901,2.39044012394,0.0585439993755,9.72460496614,-3.78674270018e-18,0.0,4,9.72460496614,0.0468443619353,133,26.1689424336
0.00657956290949,-0.0467994938193,444,0,10.8312189649,2.38243260915,0.0467994938193,8.40990990991,-1.33861096969e-17,0.0,5,8.40990990991,-0.0366215144575,123,21.5591265554
0.00661005784045,-0.0482439952913,448,0,10.6553715599,2.36606413682,0.0482439952913,9.34821428571,6.06049262296e-17,2.31521379842e-20,6,9.34821428571,0.0267878562308,123,24.5137387942
0.00945273129408,-0.0577242241595,441,0,10.4922932782,2.35064101417,0.0577242241595,14.7256235828,-4.52631520407e-17,1.22812959458e-20,7,14.7256235828,-0.0354046129725,222,32.8636915646
0.00997151518096,-0.0572487747764,437,0,10.245631861,2.32685145485,0.0572487747764,15.057208238,3.56768297801e-17,-3.30967970653e-20,8,15.057208238,-0.00870888174795,222,33.7270498219
0.00648577347045,-0.0429257243244,437,0,9.99915762438,2.30250085188,0.0429257243244,16.2974828375,1.02082304324e-16,0.0,9,16.2974828375,0.0269281809656,133,32.6481599886
0.00998352339843,-0.0548293037559,441,0,9.70673596063,2.27282007344,0.0548293037559,18.3424036281,2.52890292055e-17,0.0,10,18.3424036281,0.0396539616795,233,37.6722136982
0.00642329033839,-0.0432249622864,441,0,9.50424300699,2.25173833121,0.0432249622864,19.1496598639,2.58062337641e-17,4.9307222938e-20,11,19.1496598639,-0.0250685815876,223,37.4698706612
0.00657289133886,-0.0476977717309,448,0,9.21759160803,2.22111378957,0.0476977717309,22.6183035714,3.65887875553e-17,0.0,12,22.6183035714,0.0204030851121,223,41.9600609932
0.00643332776087,-0.044810297957,443,0,8.97887497554,2.19487459335,0.044810297957,25.1399548533,2.77486471145e-17,0.0,13,25.1399548533,0.0208720848697,233,42.7441684219
0.00651776241454,-0.0434067988053,446,0,8.66963024956,2.15982614277,0.0434067988053,29.2578475336,2.15207779019e-17,-6.65366988289e-21,14,29.2578475336,0.0418306841433,223,45.665859615
0.0065485485025,-0.0431696385925,446,0,8.51838822783,2.14222714781,0.0431696385925,28.130044843,-1.80560092805e-17,1.6461421736e-20,15,28.130044843,0.0547564535716,233,46.1807342772
0.00646355239536,-0.0440487824413,450,0,8.31937471601,2.11858709768,0.0440487824413,28.2555555556,2.44066015906e-17,-9.2521464441e-21,16,28.2555555556,0.070899212913,233,47.3329955648
0.0065245541902,-0.0463696330448,445,0,8.0111677516,2.08083653717,0.0463696330448,32.8719101124,6.26251208994e-17,0.0,17,32.8719101124,0.0460252267984,233,49.8935878629
0.00649285362261,-0.0441244092462,446,0,7.71371204806,2.0429995306,0.0441244092462,37.6614349776,-2.54478086543e-17,-2.25880235294e-20,18,37.6614349776,0.0669289220685,233,53.9035818481
0.00652141499601,-0.0438134886589,448,0,7.5069284781,2.01582639118,0.0438134886589,40.8348214286,1.70291515643e-17,2.70991691673e-20,19,40.8348214286,0.0659095640254,233,56.8598640924
0.00648034902431,-0.0452097821504,456,0,7.41204945204,2.00310698029,0.0452097821504,37.5526315789,-3.92071767438e-17,0.0,20,37.5526315789,0.0285919266888,333,54.3918679592
0.00652726363247,-0.0438495915619,451,0,7.18156289137,1.97151703227,0.0438495915619,45.8359201774,1.91439281226e-17,-1.10930121119e-20,21,45.8359201774,0.072122015114,233,60.5559582171
0.00658761735944,-0.0446727525067,457,0,7.03460968305,1.95084220687,0.0446727525067,44.6170678337,6.24032427031e-19,1.75768983556e-20,22,44.6170678337,0.041924600325,233,58.3935187733
0.00642231112666,-0.0409828272165,459,0,6.69727628182,1.90170091864,0.0409828272165,48.651416122,6.39958726482e-17,0.0,23,48.651416122,0.0952588190367,233,58.6611744789
0.00661080932896,-0.0433780603827,452,0,6.47167005591,1.86743419822,0.0433780603827,50.4026548673,1.6320278462e-17,0.0,24,50.4026548673,0.0528327136194,333,63.4274499636
0.00652731814617,-0.0441128003646,454,0,6.29276996198,1.83940134929,0.0441128003646,51.7268722467,-1.00909215265e-16,4.81364116666e-21,25,51.7268722467,0.0684029110014,333,64.0704137043
0.00658026487408,-0.041269948502,459,0,6.0721110891,1.80370633523,0.041269948502,56.2984749455,-6.47953912747e-17,0.0,26,56.2984749455,0.0934861349908,333,65.6426270475
0.00657599627623,-0.0411296506092,460,0,5.850667228,1.76655571081,0.0411296506092,58.7086956522,1.70675663381e-17,0.0,27,58.7086956522,0.0733100149583,233,65.490572923
0.00649697277367,-0.0411667347015,457,0,5.63946582717,1.72978934953,0.0411667347015,56.3435448578,3.79783938209e-17,0.0,28,56.3435448578,0.0469627013679,233,62.1644086725
