LossAfter,LossBefore,MaxReturn,Entropy,AverageReturn,StdReturn,Iteration,MinReturn,ExplainedVariance,MeanKL,Perplexity,MeanKLBefore,dLoss,NumTrajs,AverageDiscountedReturn
-0.0520004963652,2.56406007537e-16,6,2.39844411508,1.18032786885,1.40617137124,0,0,5.94609850246e-09,0.00896738685568,11.0060389222,0.0,0.0520004963652,305,1.18032786885
-0.0460095007126,1.01468125773e-16,6,2.39770763956,1.48387096774,1.42491579246,1,0,0.0823200390785,0.00660590485946,10.997936228,0.0,0.0460095007126,310,1.48387096774
-0.0516027920823,-9.28029378593e-17,6,2.38053940683,1.63551401869,1.48968952858,2,0,0.106324881508,0.00989895423563,10.8107326745,0.0,0.0516027920823,321,1.63551401869
-0.0490317396715,-5.8983191839e-17,7,2.3613374138,1.74193548387,1.60943909519,3,0,0.0479130019519,0.0095032303492,10.6051254132,1.10686374069e-20,0.0490317396715,341,1.74193548387
-0.0521348861551,-2.21490877731e-19,7,2.3384575747,2.18507462687,1.65766007816,4,0,0.130114412967,0.00995830783262,10.3652366233,0.0,0.0521348861551,335,2.18507462687
-0.0449274898194,7.37382806091e-17,7,2.3229142378,1.89779005525,1.63796315372,5,0,0.124912938372,0.00996889235492,10.2053718927,0.0,0.0449274898194,362,1.89779005525
-0.0387507911114,8.02413691048e-17,8,2.30151423808,2.12571428571,1.61463712989,6,0,0.132601758137,0.00677393487939,9.98929718243,0.0,0.0387507911114,350,2.12571428571
-0.035643341831,-2.40377546863e-17,7,2.2843136694,2.29155313351,1.66040917343,7,0,0.142569973086,0.00674057509888,9.81894486854,-5.5590856965e-20,0.035643341831,367,2.29155313351
-0.0447798529201,9.68050180982e-17,7,2.25703011243,2.32804232804,1.72080542183,8,0,0.190913444133,0.00994031354569,9.55467069006,0.0,0.0447798529201,378,2.32804232804
-0.0375629006829,4.80156245827e-17,7,2.2444698875,2.21899736148,1.74103297743,9,0,0.169648633103,0.00683266309101,9.43541240036,0.0,0.0375629006829,379,2.21899736148
-0.0369751475097,3.19735380286e-17,8,2.22093006722,2.28940568475,1.84935673103,10,0,0.119019411537,0.0066218541487,9.21589828598,0.0,0.0369751475097,387,2.28940568475
-0.0371352070549,1.57007175622e-17,8,2.20879740314,2.51752021563,1.74108133098,11,0,0.176551414647,0.00682389416109,9.10476045024,0.0,0.0371352070549,371,2.51752021563
-0.0371411131394,3.82530097241e-17,7,2.19454331866,2.4335106383,1.73384470546,12,0,0.19166142201,0.0065099760754,8.97590099417,4.45926819674e-21,0.0371411131394,376,2.4335106383
-0.0371660456586,1.315585199e-17,7,2.16708987249,2.5664893617,1.68404414927,13,0,0.206584674675,0.0066501679732,8.73283336769,0.0,0.0371660456586,376,2.5664893617
-0.03580987658,-2.49010331409e-17,8,2.15579388078,2.46253229974,1.71797513041,14,0,0.189579479644,0.00642743881307,8.63474241475,0.0,0.03580987658,387,2.46253229974
-0.0385729144915,-5.77865395847e-17,8,2.14111225535,2.578125,1.81548335649,15,0,0.133272799572,0.00665609606798,8.5088964332,2.42476179438e-20,0.0385729144915,384,2.578125
-0.0365269184744,2.84772205816e-17,7,2.1250284541,2.44871794872,1.80772867758,16,0,0.165869518767,0.00651603340062,8.37313573476,0.0,0.0365269184744,390,2.44871794872
-0.0426876454952,3.40860379032e-17,8,2.0868587492,2.85215053763,1.81011812688,17,0,0.216505868004,0.00983819654593,8.05955826513,-3.94510144517e-20,0.0426876454952,372,2.85215053763
-0.0365428694639,-9.20469764045e-17,7,2.08145594166,2.6164021164,1.81948471315,18,0,0.195572493776,0.00667214932574,8.01613144194,0.0,0.0365428694639,378,2.6164021164
-0.0375225797706,1.71325584015e-17,8,2.069213215,2.75710594315,1.77199573516,19,0,0.205274771289,0.00670257705576,7.91859043812,0.0,0.0375225797706,387,2.75710594315
-0.0377344560439,6.92504381627e-18,8,2.0396633405,2.78535353535,1.79136188423,20,0,0.204284927662,0.00676621490863,7.68802051803,0.0,0.0377344560439,396,2.78535353535
-0.0379447136365,-5.37231516036e-17,8,2.02426209135,2.64974619289,1.76087265991,21,0,0.202728083591,0.0064451118234,7.57052252894,7.80013556467e-21,0.0379447136365,394,2.64974619289
-0.0388920164319,-2.69994252177e-17,8,1.99528867031,3.11351351351,1.89539444118,22,0,0.218004823134,0.00655742317758,7.35432569701,-2.50492124707e-20,0.0388920164319,370,3.11351351351
-0.0374593441231,-8.56362742409e-18,7,1.99060009766,2.95687331536,1.82030326333,23,0,0.235157352415,0.00656280676452,7.31992511452,0.0,0.0374593441231,371,2.95687331536
-0.0387931470714,6.87822408461e-18,8,1.97422023296,3.11989100817,1.77226958944,24,0,0.287870009918,0.00664440965122,7.20100235969,1.32770963641e-20,0.0387931470714,367,3.11989100817
-0.0367529457597,-5.62757962339e-18,8,1.94346543413,2.99731903485,1.8819000431,25,0,0.245704584045,0.00641988984386,6.98290789672,5.04199347353e-20,0.0367529457597,373,2.99731903485
-0.038812482343,9.75915145616e-17,8,1.91939601586,3.19676549865,1.85064723769,26,0,0.240186443352,0.00658111994866,6.81683996242,-1.23038716662e-20,0.038812482343,371,3.19676549865
-0.0451756741373,-2.81992211799e-17,8,1.9047378973,3.06366047745,1.79039001763,27,0,0.254547185366,0.00988208647314,6.71764668356,0.0,0.0451756741373,377,3.06366047745
-0.0379575126188,-3.46514585052e-17,9,1.87035724588,3.09677419355,1.85242947788,28,0,0.240922035778,0.00650506001013,6.49061473055,0.0,0.0379575126188,372,3.09677419355
