AverageDiscountedReturn,MeanKL,NumTrajs,Entropy,dLoss,LossAfter,AverageReturn,ExplainedVariance,MinReturn,MeanKLBefore,Iteration,StdReturn,LossBefore,Perplexity,MaxReturn
1.42413793103,0.00968195144337,580,2.39303851741,0.0487109501967,-0.0487109501967,1.42413793103,5.2290315411e-09,-1,0.0,0,1.45012607595,4.60909088673e-16,10.9467052153,6
1.36573311367,0.00965014677072,607,2.38152021109,0.0509049820157,-0.0509049820157,1.36573311367,0.122910616584,-1,0.0,1,1.45939395738,-7.60677544608e-17,10.8213410887,7
1.73322422259,0.00999838071645,611,2.36199241267,0.0494175396945,-0.0494175396945,1.73322422259,0.111613532463,-1,0.0,2,1.54872607397,-3.92528290354e-17,10.6120740338,7
1.875,0.00854444909726,632,2.34236135562,0.0409243790296,-0.0409243790296,1.875,0.0811315434859,-1,0.0,3,1.61926935,5.00917104993e-17,10.4057793198,7
2.03656597774,0.00951236067121,629,2.33216523984,0.0473281175593,-0.0473281175593,2.03656597774,0.147933621934,-1,0.0,4,1.5607257405,-2.33351918805e-17,10.3002198518,6
2.08191653787,0.00686182004501,647,2.32019525344,0.0365941614993,-0.0365941614993,2.08191653787,0.128720951993,-1,0.0,5,1.60402238953,-1.63789767238e-17,10.1776613355,7
2.08554572271,0.00710439271211,678,2.30679127846,0.0376196820673,-0.0376196820673,2.08554572271,0.135777748737,-1,0.0,6,1.63797051745,1.80875915056e-17,10.0421504388,7
2.21301775148,0.00690049062914,676,2.28904820838,0.0367112863144,-0.0367112863144,2.21301775148,0.152595470513,0,-9.287064875e-21,7,1.66646591464,1.55975096761e-16,9.86554326968,8
2.32732732733,0.00648774654694,666,2.28376190621,0.0358339547387,-0.0358339547387,2.32732732733,0.182057435021,-1,0.0,8,1.61758478742,-9.00113317215e-17,9.81352863057,8
2.27893175074,0.00678166937433,674,2.2679466999,0.0356600598766,-0.0356600598766,2.27893175074,0.180738038166,-1,0.0,9,1.60837977659,-8.80799126233e-17,9.6595464898,7
2.45180722892,0.00685067340944,664,2.26104808183,0.0367729891147,-0.0367729891147,2.45180722892,0.220999905187,0,3.76499281605e-20,10,1.69000331117,4.7622207248e-17,9.59313829363,8
2.48721804511,0.00686988806166,665,2.2421008845,0.0394329643468,-0.0394329643468,2.48721804511,0.217518201181,-1,0.0,11,1.62875539613,-7.6806138317e-18,9.41308633578,9
2.47050147493,0.00682560490798,678,2.22590352081,0.0354421674684,-0.0354421674684,2.47050147493,0.209989004883,-1,0.0,12,1.72475898427,-3.69149155688e-17,9.26184729633,8
2.6196969697,0.00982887706997,660,2.21469433304,0.0423650067813,-0.0423650067813,2.6196969697,0.210932279914,-1,-4.57431440441e-21,13,1.71603133553,1.25361180897e-17,9.15860919948,8
2.55421686747,0.00692790422067,664,2.19514844727,0.0375039038403,-0.0375039038403,2.55421686747,0.231198331806,0,0.0,14,1.65378727124,7.28219750035e-18,8.98133421241,7
2.68453292496,0.00670557317537,653,2.16509428317,0.0390083828553,-0.0390083828553,2.68453292496,0.220281912894,0,0.0,15,1.78174071438,-1.21323197908e-16,8.71542359591,8
2.67473524962,0.00973820528066,661,2.15110032027,0.0467837795117,-0.0467837795117,2.67473524962,0.246540050851,0,0.0,16,1.68784390956,-9.06700622009e-18,8.5943096897,8
2.86280487805,0.0067865835281,656,2.11678341302,0.0370916983754,-0.0370916983754,2.86280487805,0.259368694871,-1,0.0,17,1.71953111475,-2.75995675089e-17,8.30438271189,7
2.93883792049,0.0066827089921,654,2.08901006244,0.0385774330203,-0.0385774330203,2.93883792049,0.260299431038,0,0.0,18,1.70605752796,8.60610053813e-17,8.07691556329,8
3.02909647779,0.00660766743342,653,2.05673329466,0.0378573627076,-0.0378573627076,3.02909647779,0.280274879588,-1,0.0,19,1.72382954806,1.53196358917e-17,7.82038115686,8
3.22098569157,0.00657984750859,629,2.03059685671,0.0377731730575,-0.0377731730575,3.22098569157,0.320632475182,0,0.0,20,1.65760903378,-2.52298182346e-17,7.61863223379,8
3.16335877863,0.00658262377772,655,2.00438310071,0.0374152113021,-0.0374152113021,3.16335877863,0.285791689216,0,0.0,21,1.79120864593,-2.6645352591e-17,7.42151415746,9
3.34748427673,0.00986452568597,636,1.9801997619,0.0448012854901,-0.0448012854901,3.34748427673,0.314738638138,0,-1.45576185271e-20,22,1.76273710428,1.62803126519e-17,7.24418995375,9
3.19309262166,0.00947686303536,637,1.96770425327,0.0434009625154,-0.0434009625154,3.19309262166,0.322517349395,0,0.0,23,1.68996001343,-4.01876883008e-17,7.15423331317,8
3.22632423756,0.00654074920253,623,1.94863610822,0.0367099517271,-0.0367099517271,3.22632423756,0.326139508946,0,0.0,24,1.71720043661,-3.28168457073e-17,7.01910774577,8
3.18957345972,0.00972884489292,633,1.90930297968,0.0463356860591,-0.0463356860591,3.18957345972,0.323614689495,0,-3.67567447115e-20,25,1.6451619841,5.92137436316e-17,6.74838339851,8
3.50245499182,0.00973503288518,611,1.87988301601,0.0462091214932,-0.0462091214932,3.50245499182,0.334080736499,-1,0.0,26,1.76283988145,8.94253853043e-17,6.55273825186,9
3.50330033003,0.00985820842058,606,1.85430022082,0.0449665138481,-0.0449665138481,3.50330033003,0.352934082079,-1,0.0,27,1.69326631809,3.71924713249e-17,6.38722703785,9
3.48852459016,0.0097352391841,610,1.8173909365,0.0475461734086,-0.0475461734086,3.48852459016,0.332473153748,0,7.94983789423e-21,28,1.72180789095,4.83936254673e-17,6.1557766676,8
