LossBefore,MeanKLBefore,AverageDiscountedReturn,MaxReturn,AverageReturn,ExplainedVariance,NumTrajs,dLoss,Iteration,StdReturn,MeanKL,Entropy,LossAfter,MinReturn,Perplexity
-3.60420429211e-16,0.0,1.35737704918,6,1.35737704918,4.94037366572e-09,305,0.0450772625103,0,1.45539798133,0.0064638120841,2.39374879714,-0.0450772625103,0,10.9544832001
8.18699589659e-18,0.0,1.60132890365,7,1.60132890365,0.0418022938048,301,0.046440055905,1,1.51203309527,0.0064246596422,2.38193433369,-0.046440055905,0,10.8258233786
5.74234175493e-17,0.0,1.54402515723,6,1.54402515723,0.130129283848,318,0.0547581156981,2,1.41741598511,0.00980859719993,2.36581002935,-0.0547581156981,0,10.6526642943
-1.35318808335e-17,0.0,1.84290030211,7,1.84290030211,0.114378021359,331,0.0482048778508,3,1.55447975163,0.00979551375089,2.3404553314,-0.0482048778508,0,10.385964542
1.17943892392e-17,0.0,1.82369942197,6,1.82369942197,0.121903804945,346,0.047202698886,4,1.58592587492,0.00951785944704,2.32531604041,-0.047202698886,0,10.2299126407
-7.47318873451e-18,0.0,2.08259587021,7,2.08259587021,0.161101517103,339,0.0461721405985,5,1.61636844462,0.00951875133761,2.30235299721,-0.0461721405985,0,9.99767931147
2.44465504797e-17,4.82134143434e-21,2.16569767442,7,2.16569767442,0.130781256474,344,0.0451638128032,6,1.6224758863,0.00951042429915,2.28377901411,-0.0451638128032,0,9.81369652089
-1.74641824098e-17,0.0,2.1693989071,7,2.1693989071,0.154255982825,366,0.0352015434586,7,1.67225614733,0.00641074321374,2.2719723621,-0.0352015434586,0,9.69851093725
-1.60186946638e-17,0.0,2.19512195122,7,2.19512195122,0.160502535071,369,0.0378648929544,8,1.67877812347,0.00655386795574,2.25490384944,-0.0378648929544,0,9.53437653039
-1.79003049121e-16,3.54418615453e-20,2.4265129683,7,2.4265129683,0.115282880326,347,0.0478946440653,9,1.69324482646,0.00991808437156,2.23579974628,-0.0478946440653,0,9.35395965603
-4.75849459132e-17,0.0,2.14705882353,7,2.14705882353,0.164833831556,374,0.0339747088244,10,1.62114352318,0.00654833187382,2.2180560607,-0.0339747088244,0,9.18944975912
-3.53063679827e-17,0.0,2.40833333333,8,2.40833333333,0.161477471967,360,0.035786154493,11,1.72157469906,0.00647181324525,2.1964069466,-0.035786154493,0,8.99264433088
1.74329108007e-17,9.18451263947e-21,2.29781420765,8,2.29781420765,0.162436756619,366,0.0388085124436,12,1.59793091229,0.00682868050592,2.18643980342,-0.0388085124436,0,8.90345855929
8.31627733802e-20,2.75457726166e-20,2.50408719346,7,2.50408719346,0.159835166173,367,0.0371893518996,13,1.77765717694,0.0064601419236,2.16715140535,-0.0371893518996,0,8.73337074045
9.20057482829e-17,-7.30248097073e-20,2.40166204986,7,2.40166204986,0.185317886973,361,0.037070030091,14,1.62286211618,0.00657086272257,2.16423850629,-0.037070030091,0,8.70796832833
-3.57975579689e-17,-2.62393341611e-21,2.53225806452,7,2.53225806452,0.202849192779,372,0.0365406298204,15,1.74643485023,0.00642659676894,2.1440335787,-0.0365406298204,0,8.5337900144
2.07803161584e-17,0.0,2.57692307692,8,2.57692307692,0.201605018411,364,0.035941115683,16,1.7594690085,0.00651695196497,2.13222606691,-0.035941115683,0,8.43361973291
4.01953404671e-17,-9.31447878816e-20,2.69337016575,7,2.69337016575,0.225807778687,362,0.0380050586974,17,1.76128099446,0.0066049431942,2.11115533583,-0.0380050586974,0,8.25777628033
-5.28083610964e-17,1.13060397329e-20,2.67777777778,7,2.67777777778,0.212704026537,360,0.0390781365344,18,1.71644191265,0.0066239485819,2.11528221965,-0.0390781365344,0,8.29192558026
-1.89516483365e-17,0.0,2.62290502793,7,2.62290502793,0.195572167102,358,0.0369505357606,19,1.70612778177,0.00662759077354,2.10197595629,-0.0369505357606,0,8.18232185985
-5.61068536278e-18,4.8530863581e-20,2.82417582418,8,2.82417582418,0.218740089404,364,0.0367770819838,20,1.84029026971,0.00666636350368,2.07503121447,-0.0367770819838,0,7.96479507205
3.7401866418e-18,1.22673150664e-20,2.66393442623,7,2.66393442623,0.21425710435,366,0.0361814974986,21,1.69672131148,0.0066290011471,2.06456763866,-0.0361814974986,0,7.8818893366
-1.27785227566e-18,0.0,2.79614325069,8,2.79614325069,0.205707294964,363,0.0394656792285,22,1.78524299845,0.00643841027817,2.03091580202,-0.0394656792285,0,7.6210625484
-4.07294196706e-17,3.576887962e-20,2.88732394366,8,2.88732394366,0.244359163866,355,0.0382355181312,23,1.77263467296,0.00656613968823,1.99661553038,-0.0382355181312,0,7.36409033484
-4.5755821609e-17,0.0,2.9243697479,7,2.9243697479,0.193596695879,357,0.0400759743187,24,1.80952814562,0.0065032608074,1.99322234101,-0.0400759743187,0,7.33914492795
1.2861766363e-16,-2.43477681661e-21,3.03757225434,8,3.03757225434,0.230838265421,346,0.0398755269489,25,1.84085896693,0.00689571102581,1.96629780966,-0.0398755269489,0,7.14417835995
1.22513110767e-16,0.0,3.07163323782,9,3.07163323782,0.243533473922,349,0.0398676605872,26,1.81462474043,0.00652004604809,1.96211533501,-0.0398676605872,0,7.11436041493
-2.51151575608e-17,-5.91054636639e-21,2.91966759003,8,2.91966759003,0.241829851122,361,0.0379822112492,27,1.89083689287,0.00650974177834,1.95827429068,-0.0379822112492,0,7.08708625536
-8.54859616179e-17,0.0,2.93663911846,8,2.93663911846,0.285831040547,363,0.0384944448327,28,1.79034962783,0.00643653937192,1.91275392617,-0.0384944448327,0,6.77171193808
