NumTrajs,MaxReturn,LossBefore,StdReturn,MinReturn,dLoss,Entropy,AverageReturn,LossAfter,Perplexity,MeanKLBefore,Iteration,AverageDiscountedReturn,ExplainedVariance,MeanKL
449,5,7.87443148759e-16,1.07906401337,0,0.0488452700492,2.36745478542,0.69710467706,-0.0488452700492,10.6701997454,0.0,0,0.69710467706,7.84964104827e-09,0.00645768509221
444,5,-2.13568351294e-17,1.2063160621,0,0.0485545458932,2.36724846499,0.810810810811,-0.0485545458932,10.6679984923,0.0,1,0.810810810811,0.157312393302,0.00645129720558
444,7,-5.43315392676e-17,1.35656651335,0,0.0523550035748,2.36481304474,1.08108108108,-0.0523550035748,10.6420490445,0.0,2,1.08108108108,0.100371550502,0.00667282873879
441,7,-4.66659677933e-17,1.51601844229,0,0.05511740109,2.35385618294,1.31746031746,-0.05511740109,10.5260820611,0.0,3,1.31746031746,0.140784283915,0.00692107628744
437,6,-1.02567420502e-17,1.50520603554,0,0.0516675760512,2.34320703672,1.39130434783,-0.0516675760512,10.4145830127,0.0,4,1.39130434783,0.122814534003,0.00698094305414
437,6,1.93706453509e-17,1.45521565526,0,0.0526516648473,2.33031793575,1.61556064073,-0.0526516648473,10.2812097777,0.0,5,1.61556064073,0.0872312397095,0.0068299784558
428,6,1.2423891355e-17,1.53429795818,0,0.0485315194363,2.31054152197,1.96728971963,-0.0485315194363,10.0798816547,0.0,6,1.96728971963,0.110743708631,0.00661830781686
429,6,-7.90877974845e-17,1.562213346,0,0.0510637724313,2.28860704554,2.08391608392,-0.0510637724313,9.86119191851,3.55074038066e-20,7,2.08391608392,0.139661378429,0.00659713199228
431,7,6.2380794697e-17,1.51317731593,0,0.0523290909207,2.25644337566,2.34106728538,-0.0523290909207,9.54906625784,0.0,8,2.34106728538,0.155156481882,0.00662090673026
430,7,6.6979023791e-17,1.60508251701,0,0.0490375942683,2.21884106595,2.56279069767,-0.0490375942683,9.19666635754,0.0,9,2.56279069767,0.222537354967,0.0067311593059
427,7,-1.92901250529e-18,1.55803018475,0,0.0479826957092,2.17930088173,2.83606557377,-0.0479826957092,8.84012380578,0.0,10,2.83606557377,0.284980542748,0.00652985534734
429,7,5.23517547059e-17,1.53516635169,0,0.0484605081516,2.14256701385,2.85547785548,-0.0484605081516,8.52128383078,0.0,11,2.85547785548,0.290375667781,0.00650625934954
432,7,1.01042769657e-17,1.50985382233,0,0.0460123612004,2.11727233812,3.02083333333,-0.0460123612004,8.30844392578,0.0,12,3.02083333333,0.319494105642,0.0065119519049
429,8,4.98727587803e-18,1.46759136668,0,0.0447698521849,2.07479222609,3.337995338,-0.0447698521849,7.96289180595,-2.52653793799e-20,13,3.337995338,0.384943996911,0.00655972956385
435,8,1.76380866001e-16,1.4618123103,0,0.0458267816721,2.05145052942,3.23218390805,-0.0458267816721,7.77917685131,0.0,14,3.23218390805,0.376591841587,0.0065946377653
432,8,-1.58563687912e-17,1.61296588638,0,0.0437728660508,2.02598517771,3.43055555556,-0.0437728660508,7.58357843805,0.0,15,3.43055555556,0.374094169686,0.00648919944549
439,8,-1.22124532709e-17,1.59421083631,0,0.0450825554295,1.99110366774,3.50797266515,-0.0450825554295,7.32361213802,0.0,16,3.50797266515,0.359312261149,0.00650469844597
436,7,-1.92431263509e-17,1.48294316965,0,0.0430155686555,1.96356429581,3.69266055046,-0.0430155686555,7.12467631617,0.0,17,3.69266055046,0.409232984864,0.00642449994784
441,8,6.541656078e-17,1.58708453326,0,0.0445361541749,1.93057867472,3.79138321995,-0.0445361541749,6.89349818073,0.0,18,3.79138321995,0.406129251417,0.00644364552186
440,8,3.87345093193e-17,1.64599281753,0,0.0425743839319,1.89642399206,3.81590909091,-0.0425743839319,6.66202832879,-6.0436776317e-20,19,3.81590909091,0.388555961508,0.00659901487377
437,7,-2.44775762982e-17,1.48730856868,0,0.0548184235717,1.86741820988,3.94508009153,-0.0548184235717,6.4715665855,1.06513959997e-20,20,3.94508009153,0.44825096002,0.00995148634216
447,8,-1.80411241502e-17,1.63630284486,0,0.0416297542236,1.8363164404,3.85682326622,-0.0416297542236,6.27338725228,0.0,21,3.85682326622,0.41614805222,0.00653293144391
440,8,4.55969594915e-17,1.49685620966,0,0.0417171285904,1.79024146161,4.01818181818,-0.0417171285904,5.99089886384,0.0,22,4.01818181818,0.476303162208,0.00647037823278
439,7,-3.48487442029e-17,1.43711754653,0,0.0405775688311,1.76403004651,4.14578587699,-0.0405775688311,5.83590905158,-2.15212995079e-20,23,4.14578587699,0.507315060401,0.00641974105918
438,8,-9.29109066505e-18,1.57118271528,0,0.0418875365781,1.73937464156,4.21232876712,-0.0418875365781,5.69378165467,-2.78704513038e-20,24,4.21232876712,0.471836675039,0.00646215651606
440,8,-5.29179498123e-17,1.4874127518,0,0.0495796276764,1.70807146612,4.31818181818,-0.0495796276764,5.51830896324,0.0,25,4.31818181818,0.497251985155,0.00998976438866
445,8,1.3433698598e-17,1.57111279182,0,0.0410963756498,1.65908978712,4.30561797753,-0.0410963756498,5.25452592996,0.0,26,4.30561797753,0.491390635978,0.00647773197704
442,8,-8.69961223717e-18,1.50781459147,0,0.0421611654844,1.64479327197,4.36877828054,-0.0421611654844,5.17993895769,0.0,27,4.36877828054,0.504103578189,0.00655862543131
445,8,-2.91485520697e-17,1.51635613971,0,0.0398911265051,1.59892786938,4.48988764045,-0.0398911265051,4.94772497234,0.0,28,4.48988764045,0.53805929628,0.00641997591157
