Entropy,LossBefore,AverageReturn,MinReturn,NumTrajs,dLoss,AverageDiscountedReturn,MaxReturn,ExplainedVariance,MeanKLBefore,MeanKL,StdReturn,Iteration,LossAfter,Perplexity
3.59676213512,-1.93270285335e-16,0.00769230769231,0,1690,0.0373983528745,0.00769230769231,2,4.17360513927e-08,4.65775696085e-18,0.00926670037402,0.0938965816595,0,-0.0373983528745,36.4799259426
3.58846161697,6.0007554481e-17,0.0148514851485,0,1616,0.05310281452,0.0148514851485,4,0.696696798233,1.05403098514e-17,0.00963495398346,0.168061833631,1,-0.05310281452,36.1783768933
3.56725444713,1.1411011025e-17,0.0238555770471,0,1551,0.0461786756928,0.0238555770471,4,0.666462724144,-1.21494179439e-17,0.00854349340097,0.218601946157,2,-0.0461786756928,35.419214208
3.54716794749,-2.62363376602e-17,0.0215517241379,0,1624,0.0509837348847,0.0215517241379,3,0.694421480125,-3.54076619671e-18,0.00997875771435,0.1988973447,3,-0.0509837348847,34.714863823
3.51310747345,-2.35159114403e-17,0.0383406662476,0,1591,0.0388789062955,0.0383406662476,4,0.545592044684,-7.89117223287e-18,0.00711852753687,0.282154344983,4,-0.0388789062955,33.5523690502
3.48558153702,3.20756917652e-17,0.0508365508366,0,1554,0.0480144486748,0.0508365508366,5,0.434359801713,5.69331321946e-18,0.00991021409932,0.327802158531,5,-0.0480144486748,32.6414037763
3.46191311828,3.42818116612e-17,0.0704960835509,0,1532,0.0424999978243,0.0704960835509,5,0.341552128883,7.02309913964e-18,0.0065649417524,0.413848415584,6,-0.0424999978243,31.8779044166
3.43593770076,6.21620810382e-17,0.075641025641,0,1560,0.0398204926565,0.075641025641,4,0.411393328917,1.7757564566e-17,0.00683927765067,0.405944892507,7,-0.0398204926565,31.0605243915
3.38461457442,3.83235110313e-17,0.111187845304,0,1448,0.0521761999461,0.111187845304,6,0.0826526242158,-4.82642195705e-19,0.00992974984365,0.567963039676,8,-0.0521761999461,29.5066179188
3.33354423637,-4.12725409404e-17,0.128016085791,0,1492,0.0352427786308,0.128016085791,5,0.139667666855,-3.54592805592e-18,0.00658652116639,0.598562244997,9,-0.0352427786308,28.0375374729
3.2786793715,-4.99600361081e-17,0.171208944794,0,1431,0.0441793211796,0.171208944794,6,0.113640967535,1.22042174034e-18,0.00933144531867,0.676579245071,10,-0.0441793211796,26.5406991417
3.17905834427,7.42179522573e-18,0.24672489083,0,1374,0.0380371488443,0.24672489083,7,0.0744995408139,4.33228805451e-18,0.00643069502782,0.873081286621,11,-0.0380371488443,24.0241204468
3.10761285891,2.45607390716e-17,0.335877862595,0,1310,0.0398531258933,0.335877862595,7,-0.00350245309268,-1.63428707447e-18,0.00649269656836,1.04560648986,12,-0.0398531258933,22.367586036
3.01857088714,9.64615458318e-17,0.412762520194,0,1238,0.0486090381705,0.412762520194,8,-0.0811747547348,8.49146145907e-19,0.00964164268927,1.173233506,13,-0.0486090381705,20.4620282311
2.92409982196,8.20177259442e-18,0.464846980976,0,1209,0.039614739893,0.464846980976,8,-0.0217771043905,5.29672256418e-18,0.00653593611449,1.22786640611,14,-0.039614739893,18.6174594765
2.85242161407,-4.16091076145e-17,0.502134927412,0,1171,0.0459072964637,0.502134927412,8,-0.0327359475288,1.1988513955e-18,0.00982297906277,1.30057619192,15,-0.0459072964637,17.3296969068
2.74530794597,1.21941620278e-17,0.60195903829,0,1123,0.0468175321472,0.60195903829,8,-0.0398352645706,5.27834976319e-18,0.00988078280718,1.39681474887,16,-0.0468175321472,15.5694077304
2.53168951604,-9.54314643856e-18,0.879327398615,0,1011,0.0428223752265,0.879327398615,9,-0.0230610396321,-2.1014904055e-18,0.00942994395735,1.71606649529,17,-0.0428223752265,12.5747334135
2.46037890333,-6.6286111138e-18,0.879327398615,0,1011,0.0481668004474,0.879327398615,9,-0.0116141616693,-3.21796871602e-18,0.00929787132426,1.6562318077,18,-0.0481668004474,11.7092473724
2.30847675984,-3.9726121221e-17,1.01791359326,0,949,0.0452767089244,1.01791359326,9,-0.0115028421927,7.84220260567e-19,0.0093124500627,1.79411738339,19,-0.0452767089244,10.0590905685
2.17253159279,-1.41275879884e-17,1.20222222222,0,900,0.0454325129687,1.20222222222,8,-0.00941746408704,-1.32942219415e-18,0.00905650821187,1.85208457797,20,-0.0454325129687,8.78048453893
2.04151570684,9.82547376793e-17,1.3196239718,0,851,0.0415325817172,1.3196239718,9,-0.00878269759922,-2.94524449393e-18,0.00956157946606,1.91814340553,21,-0.0415325817172,7.70227474642
1.91217588224,-3.19029604777e-17,1.46035502959,0,845,0.0409377697943,1.46035502959,9,0.00426854560908,6.99907445186e-18,0.00920358780288,1.95448865677,22,-0.0409377697943,6.76779872226
1.81183090251,-1.71635377683e-17,1.66794380587,0,783,0.0413266515717,1.66794380587,9,0.0166322305281,-3.54680878957e-18,0.00983910932787,2.0971504688,23,-0.0413266515717,6.12164531376
1.6549649207,7.0263239671e-17,1.90591397849,0,744,0.0410838993976,1.90591397849,9,0.0537778717398,-3.01460602067e-18,0.00960763094322,2.18542766001,24,-0.0410838993976,5.23289635261
1.58740340294,-4.4408920985e-17,1.87967914439,0,748,0.036892203876,1.87967914439,8,0.0405913899764,4.96313766344e-18,0.00918795248806,2.07582569198,25,-0.036892203876,4.89103238531
1.5055047154,-6.05071548421e-17,2.11337209302,0,688,0.0404920098755,2.11337209302,8,0.0702899533926,2.12514141956e-18,0.0093162687625,2.13605434478,26,-0.0404920098755,4.50642751976
