Iteration,MaxReturn,StdReturn,AverageReturn,dLoss,LossBefore,Perplexity,NumTrajs,ExplainedVariance,AverageDiscountedReturn,MeanKLBefore,LossAfter,MinReturn,MeanKL,Entropy
0,5,1.23224534554,0.964157706093,0.0221163955728,-1.78789162407e-16,10.7578912585,279,6.43004505196e-09,0.964157706093,0.0,-0.0221163955728,0,0.000646334722906,2.37563955583
1,6,1.16868837328,0.931654676259,0.0259301935144,-4.83815331071e-17,10.7683808496,278,0.10110522944,0.931654676259,0.0,-0.0259301935144,0,0.000975135556558,2.37661414092
2,6,1.31485747259,1.23220973783,0.0212312109342,-2.38519060999e-18,10.7553293162,267,0.115111505681,1.23220973783,0.0,-0.0212312109342,0,0.000650912623415,2.37540138208
3,5,1.24875657675,1.28571428571,0.0251640654409,2.49675342869e-17,10.7553614643,273,0.106512894534,1.28571428571,0.0,-0.0251640654409,0,0.000996879207893,2.37540437111
4,5,1.32381471671,1.41992882562,0.0264350725676,1.90815248799e-17,10.7693546531,281,0.0855380500571,1.41992882562,0.0,-0.0264350725676,0,0.000993773283489,2.37670456858
5,6,1.41270434429,1.30797101449,0.0221928976732,7.2229705901e-17,10.7330385341,276,0.0413161726075,1.30797101449,-5.84507261057e-21,-0.0221928976732,0,0.00066449418884,2.37332669774
6,7,1.29719353154,1.40689655172,0.0203952277384,1.24633143065e-18,10.7302685547,290,0.0930711420133,1.40689655172,-2.59274210661e-20,-0.0203952277384,0,0.000647754786037,2.37306858473
7,7,1.48073517353,1.46153846154,0.0209113420167,-1.61203829448e-17,10.7047363331,286,0.0819665298015,1.46153846154,0.0,-0.0209113420167,0,0.000642334226314,2.37068629149
8,6,1.38681828625,1.74226804124,0.0229949515704,2.38695184417e-17,10.640932671,291,0.10089740113,1.74226804124,0.0,-0.0229949515704,0,0.00098834657412,2.36470813712
9,6,1.38739250417,1.6339869281,0.0162633975741,-4.84319901933e-17,10.5919356873,306,0.0574308872284,1.6339869281,3.26955636497e-20,-0.0162633975741,0,0.00064433124857,2.36009292736
10,6,1.47284474892,1.6644295302,0.0179752939092,9.79975720762e-18,10.5745467284,298,0.0700046325365,1.6644295302,0.0,-0.0179752939092,0,0.000647806777356,2.35844986145
11,6,1.42411375007,1.79016393443,0.0175540198662,-1.76450116439e-17,10.5447015153,305,0.134606186124,1.79016393443,0.0,-0.0175540198662,0,0.000661568249498,2.35562350773
12,8,1.59330416693,1.92517006803,0.0191989863254,-6.42935953026e-17,10.4737974505,294,0.104643689641,1.92517006803,-4.23792644777e-20,-0.0191989863254,0,0.000650636219435,2.34887665736
13,6,1.54765936193,1.99003322259,0.0172189219979,-5.92339119029e-17,10.4331345081,301,0.111019341502,1.99003322259,-9.44642363923e-21,-0.0172189219979,0,0.000645229379707,2.34498675196
14,6,1.5345309058,1.95899053628,0.0161480968522,-6.40151050376e-17,10.3755804972,317,0.0998012396215,1.95899053628,0.0,-0.0161480968522,0,0.000658361711189,2.33945501609
15,7,1.53062910066,1.94230769231,0.0162013542391,-7.83523979972e-18,10.3550909979,312,0.104807600738,1.94230769231,0.0,-0.0162013542391,0,0.000645546683761,2.33747828263
16,7,1.49216956346,2.08411214953,0.0152468672998,-2.7527106173e-17,10.2548475341,321,0.126106230331,2.08411214953,-1.93137841686e-20,-0.0152468672998,0,0.000664345095966,2.32775052394
17,6,1.52236714736,2.01246105919,0.0151900630366,-4.51132083183e-17,10.2317885214,321,0.112619525186,2.01246105919,0.0,-0.0151900630366,0,0.000659102375652,2.32549939571
18,6,1.42655790476,1.95692307692,0.0197799109594,-1.5219906868e-18,10.1914123614,325,0.143995272993,1.95692307692,0.0,-0.0197799109594,0,0.000992769619105,2.32154544032
19,7,1.63830390047,2.00306748466,0.0152586165032,-1.26004359243e-17,10.1131638431,326,0.113177814821,2.00306748466,-6.31386522951e-20,-0.0152586165032,0,0.000653457214489,2.31383792602
20,6,1.60379788717,2.2188449848,0.0165134461323,-2.33789479237e-17,10.0261898606,329,0.147703258403,2.2188449848,0.0,-0.0165134461323,0,0.000657383108065,2.30520065549
21,7,1.58892923592,2.23053892216,0.0151942622738,-1.07636968571e-16,10.0131126466,334,0.130610297176,2.23053892216,5.21533979017e-20,-0.0151942622738,0,0.00065722652477,2.3038954987
22,7,1.58859282369,2.27300613497,0.0157448822936,1.83049511929e-17,9.8488619445,326,0.172599391388,2.27300613497,-3.9961857174e-20,-0.0157448822936,0,0.000646834514313,2.28735590988
23,6,1.58422214741,2.28106508876,0.0143925867923,-4.99350685738e-19,9.78174056085,338,0.22684844993,2.28106508876,0.0,-0.0143925867923,0,0.000647880551319,2.28051743967
24,7,1.60359625775,2.24012158055,0.0150675667842,-6.54303000669e-17,9.75814659652,329,0.150562919084,2.24012158055,0.0,-0.0150675667842,0,0.000649008651262,2.27810248449
25,7,1.73171895049,2.44179104478,0.0145759665501,3.78945037369e-17,9.68880992058,335,0.177922753443,2.44179104478,3.4467813073e-20,-0.0145759665501,0,0.000653346884423,2.27097160315
26,6,1.59358258581,2.27462686567,0.0143837359842,3.82739888579e-17,9.60655475871,335,0.197592546107,2.27462686567,1.46104861967e-20,-0.0143837359842,0,0.000651405055974,2.26244565285
27,7,1.67162747911,2.33040935673,0.0150178574307,1.39574059469e-17,9.55895681873,342,0.19302531998,2.33040935673,9.15581944062e-21,-0.0150178574307,0,0.000647139000744,2.25747860173
28,6,1.64068884589,2.47413793103,0.0135786319528,6.31879305079e-18,9.4588495549,348,0.16855092468,2.47413793103,0.0,-0.0135786319528,0,0.000645917573095,2.24695076414
29,7,1.70166352634,2.44247787611,0.0153060890086,1.89611123307e-17,9.4540563913,339,0.150716983281,2.44247787611,-3.44251217257e-20,-0.0153060890086,0,0.000653692542626,2.24644389716
30,8,1.66319482507,2.30085959885,0.0133740441096,-4.56612813722e-17,9.39753851164,349,0.171615883005,2.30085959885,0.0,-0.0133740441096,0,0.000645747041962,2.24044779452
31,7,1.61671812187,2.4188034188,0.0136908642259,5.48737291253e-18,9.28803793548,351,0.229191732962,2.4188034188,0.0,-0.0136908642259,0,0.00065184646605,2.22872732874
32,7,1.63570631754,2.5748502994,0.0141555516206,-1.54682758487e-17,9.22165144815,334,0.245528761681,2.5748502994,0.0,-0.0141555516206,0,0.000655772709546,2.22155413738
33,8,1.63004361997,2.4880239521,0.0147965620333,2.53067582719e-17,9.11297067851,334,0.20957478161,2.4880239521,2.81202079037e-20,-0.0147965620333,0,0.000647655614504,2.20969874796
34,6,1.63539461194,2.51622418879,0.0146446657805,1.5198656445e-17,9.10062492643,339,0.226654499971,2.51622418879,-8.43027761657e-21,-0.0146446657805,0,0.000652733651544,2.2083430844
35,7,1.60431275848,2.70359281437,0.015445756305,-6.78438832821e-17,9.07093553691,334,0.234010285486,2.70359281437,0.0,-0.015445756305,0,0.000648556264055,2.2050754051
36,7,1.62007919066,2.67371601208,0.017933451429,-3.52508984336e-17,8.94975131438,331,0.246881440207,2.67371601208,-5.50762561114e-20,-0.017933451429,0,0.000994068507379,2.1916257458
