AverageReturn,StdReturn,dLoss,Iteration,AverageDiscountedReturn,LossAfter,MeanKL,LossBefore,MinReturn,MaxReturn,Perplexity,MeanKLBefore,Entropy,ExplainedVariance,NumTrajs
1.17054263566,1.14542589491,0.047566082465,0,1.17054263566,-0.047566082465,0.00642175561269,-5.94292589812e-16,0,4,10.8670308783,0.0,2.38573351555,7.83659348524e-09,258
1.17021276596,1.31794729072,0.0459590316742,1,1.17021276596,-0.0459590316742,0.00650154188466,-3.03165638894e-17,0,6,10.8810228636,0.0,2.38702025021,0.0235627588938,282
1.52669039146,1.39144542229,0.0444859042413,2,1.52669039146,-0.0444859042413,0.00645370239925,2.55096199464e-17,0,6,10.8298110309,0.0,2.38230261219,0.120677104501,281
1.60763888889,1.39276802034,0.0549392963053,3,1.60763888889,-0.0549392963053,0.00991764597637,4.99475492208e-19,0,6,10.6956916804,0.0,2.36984101369,0.139653551109,288
1.59060402685,1.42609158859,0.0422822258853,4,1.59060402685,-0.0422822258853,0.00650953346539,3.54677695398e-17,0,6,10.5861927931,0.0,2.35955058535,0.12798559195,298
1.83277591973,1.52310938344,0.0526123513786,5,1.83277591973,-0.0526123513786,0.00962283953821,-1.83976653719e-17,0,6,10.4556095076,-2.57070095385e-20,2.34713862937,0.114635039492,299
1.93851132686,1.50062739329,0.0395077936888,6,1.93851132686,-0.0395077936888,0.00645766962447,-3.55027667141e-17,0,6,10.3432565255,-1.4995613502e-20,2.33633476393,0.126307045336,309
2.0,1.49094272751,0.0382486507369,7,2.0,-0.0382486507369,0.00652909409977,-6.10317504791e-17,0,7,10.2167610725,0.0,2.32402961404,0.14252603477,323
2.02461538462,1.54701009586,0.0425864714603,8,2.02461538462,-0.0425864714603,0.00717036214302,-5.24825159249e-18,0,6,10.148197998,0.0,2.31729615259,0.123800739743,325
2.06567164179,1.52252267476,0.0418698168747,9,2.06567164179,-0.0418698168747,0.00684808016231,5.78258484237e-17,0,6,9.97643701022,-2.72590756201e-20,2.30022601358,0.145562375426,335
2.1783625731,1.69288145221,0.0401632452442,10,2.1783625731,-0.0401632452442,0.00727975497914,4.27329032223e-18,0,7,9.84932653505,0.0,2.28740308077,0.125837475893,342
2.19883040936,1.53180657415,0.038430562722,11,2.19883040936,-0.038430562722,0.00672815941703,2.00172380749e-17,0,6,9.63935369419,0.0,2.2658540622,0.182393120842,342
2.24786324786,1.70756311379,0.0396490435894,12,2.24786324786,-0.0396490435894,0.00700574010281,-4.32554425179e-18,0,7,9.44967472011,0.0,2.24598031976,0.163842387259,351
2.45588235294,1.62185282143,0.0381677978045,13,2.45588235294,-0.0381677978045,0.0067215868194,-1.15983109287e-17,0,7,9.33381421961,0.0,2.23364374371,0.170645886504,340
2.49698795181,1.66374974582,0.0399041783778,14,2.49698795181,-0.0399041783778,0.00661968697862,-1.66255897938e-17,0,6,9.19174006902,0.0,2.21830526219,0.133174760372,332
2.51445086705,1.62390714311,0.035727646699,15,2.51445086705,-0.035727646699,0.00653566770652,2.2851437341e-17,0,7,9.06250603941,0.0,2.2041456866,0.175425063942,346
2.56891495601,1.67054041385,0.0393680147385,16,2.56891495601,-0.0393680147385,0.00684184179929,-2.54097416257e-17,0,8,8.92915412299,-8.81907843235e-21,2.18932166733,0.204301955339,341
2.66463414634,1.7028578526,0.0462727374522,17,2.66463414634,-0.0462727374522,0.00992674753089,-6.00781735361e-17,0,7,8.65908153242,-2.66559136348e-20,2.15860865834,0.18302593344,328
2.58771929825,1.67965850492,0.0383516126955,18,2.58771929825,-0.0383516126955,0.00672028626592,5.68569601964e-17,0,8,8.63588982421,0.0,2.15592675484,0.21663284718,342
2.81602373887,1.64559791503,0.0402848312872,19,2.81602373887,-0.0402848312872,0.0065771962368,5.81466131838e-17,0,7,8.44180375536,0.0,2.13319600086,0.224470347832,337
2.82789317507,1.73463394077,0.0479085642178,20,2.82789317507,-0.0479085642178,0.0097307979274,2.99284129987e-17,0,7,8.28481713693,3.31713664308e-21,2.11442457905,0.232214803069,337
2.73076923077,1.77465723001,0.0401077167015,21,2.73076923077,-0.0401077167015,0.00669829626173,-6.80328739842e-17,0,8,8.15910461431,0.0,2.09913443432,0.183848021968,338
2.89910979228,1.76730085816,0.0408548560628,22,2.89910979228,-0.0408548560628,0.00676445726658,-1.76342597388e-17,0,7,7.87639528817,5.00863127605e-22,2.06387034847,0.196764587979,337
2.996996997,1.70760267565,0.0407896821985,23,2.996996997,-0.0407896821985,0.00654635038146,9.24260668e-18,0,7,7.73242002118,0.0,2.04542188232,0.269257296173,333
2.97633136095,1.71644555919,0.0380429305163,24,2.97633136095,-0.0380429305163,0.00668492743131,-1.28187845487e-17,0,8,7.63967956829,0.0,2.03335566098,0.242167091637,338
3.10638297872,1.69325193481,0.0484613026822,25,3.10638297872,-0.0484613026822,0.00997713171912,-8.27338972975e-17,0,7,7.40047302133,-2.2839648397e-20,2.00154391997,0.264589086343,329
2.92814371257,1.7563191718,0.0402260931972,26,2.92814371257,-0.0402260931972,0.00667737691394,3.07625451157e-18,0,7,7.13484293248,0.0,1.96499023702,0.249475275549,334
3.10303030303,1.68998562814,0.0458888424565,27,3.10303030303,-0.0458888424565,0.00987431924258,1.10175757406e-16,0,8,6.87068407642,0.0,1.92726367572,0.311671507756,330
3.22153846154,1.70072313196,0.0389519489084,28,3.22153846154,-0.0389519489084,0.00644559511965,2.25899738585e-17,0,8,6.60222947539,-8.84762947143e-21,1.88740739129,0.302255641413,325
