Entropy,AverageDiscountedReturn,Iteration,MeanKL,LossAfter,ExplainedVariance,MaxReturn,StdReturn,Perplexity,NumTrajs,LossBefore,dLoss,MinReturn,AverageReturn,MeanKLBefore
2.40315243005,0.795918367347,0,0.00643426808169,-0.0548962410935,8.28651613993e-09,5,1.17381933065,11.0579810038,441,-2.7411406478e-16,0.0548962410935,0,0.795918367347,0.0
2.40323962787,0.882217090069,1,0.00669011476325,-0.0556285986521,0.118750192526,5,1.17616147851,11.0589452777,433,4.36168935841e-17,0.0556285986521,0,0.882217090069,-1.32855185753e-20
2.39628457728,1.07042253521,2,0.00653451699843,-0.0554781771059,0.134159392075,6,1.27257762517,10.9822966105,426,2.95837871831e-17,0.0554781771059,0,1.07042253521,0.0
2.37990295991,1.42723004695,3,0.00673393543455,-0.0573148208914,0.10571636573,5,1.41607482649,10.8038544061,426,-1.89356708824e-16,0.0573148208914,0,1.42723004695,1.5382401348e-20
2.3569370175,1.54196642686,4,0.00663146475349,-0.056809947976,0.0834378208325,6,1.47360110271,10.5585611842,417,-3.24172932072e-17,0.056809947976,0,1.54196642686,-7.62492177305e-21
2.34469430584,1.7345971564,5,0.00663146397656,-0.0566230142178,0.112451297809,6,1.49428205709,10.4300838244,422,-2.29643933148e-17,0.0566230142178,0,1.7345971564,-4.93327373041e-20
2.32173234619,1.89622641509,6,0.00671573628918,-0.056086098911,0.159108369723,6,1.45160448173,10.1933173743,424,-3.18018202885e-17,0.056086098911,0,1.89622641509,0.0
2.287237882,2.23004694836,7,0.006768119551,-0.054248230286,0.176855929236,6,1.44496486877,9.84769957278,426,-7.90243661384e-18,0.054248230286,0,2.23004694836,0.0
2.25946647121,2.36235294118,8,0.0099930043736,-0.0653017758158,0.224831969075,6,1.40100606461,9.57797767649,425,6.67740825891e-18,0.0653017758158,0,2.36235294118,0.0
2.21271160727,2.58411214953,9,0.00670454804344,-0.0540463103107,0.260368064398,7,1.46928996347,9.14046817927,428,4.83936254673e-17,0.0540463103107,0,2.58411214953,8.34044915045e-21
2.1693848166,2.77156177156,10,0.00646881111287,-0.049583070411,0.290311868535,7,1.45932661101,8.75289774674,429,1.25004017788e-16,0.049583070411,0,2.77156177156,0.0
2.1401473612,2.93427230047,11,0.00660577417102,-0.0520764936723,0.313405537834,7,1.45685978491,8.5006902085,426,-5.84641670185e-17,0.0520764936723,0,2.93427230047,0.0
2.08924464184,3.25700934579,12,0.00999078647133,-0.0616322550206,0.390739591356,7,1.43530986915,8.07881046355,428,-9.69264301868e-18,0.0616322550206,0,3.25700934579,-1.77242070692e-20
2.05008557449,3.28971962617,13,0.0064242037494,-0.0529771455092,0.408997933051,6,1.40765162557,7.76856586889,428,1.65576603972e-17,0.0529771455092,0,3.28971962617,-3.95435498531e-21
2.01765358133,3.3006833713,14,0.0099775010847,-0.0606578856209,0.384136689009,7,1.46974793291,7.52065760289,439,2.09832151654e-17,0.0606578856209,0,3.3006833713,0.0
1.96856704068,3.59534883721,15,0.0066712191995,-0.0508958187136,0.466241808228,7,1.38731017782,7.16040855918,430,5.63568505882e-18,0.0508958187136,0,3.59534883721,0.0
1.93382971681,3.70737327189,16,0.00997812815596,-0.0625308826188,0.482254421111,7,1.39933855798,6.91594570263,434,-3.49283648197e-17,0.0625308826188,0,3.70737327189,-3.63397033324e-20
1.88898040548,3.55427251732,17,0.00658908605547,-0.0473412560384,0.45943164188,7,1.41664029886,6.61262304853,433,-3.00783629829e-17,0.0473412560384,0,3.55427251732,2.2341472202e-20
1.85075824126,3.82175925926,18,0.0064416238145,-0.0467581588945,0.511220668295,8,1.42015539623,6.36464362886,432,2.87876646515e-17,0.0467581588945,0,3.82175925926,-1.16944885787e-20
1.8096969001,4.10730593607,19,0.00996094781327,-0.057226112515,0.502591925718,7,1.48351413987,6.10859563686,438,1.00053033058e-16,0.057226112515,0,4.10730593607,0.0
1.76419008622,4.17281105991,20,0.00966179269912,-0.0582949510616,0.528664110385,8,1.4027944219,5.83684310357,434,1.53023059869e-17,0.0582949510616,0,4.17281105991,0.0
1.73356116573,4.1797235023,21,0.0097791265543,-0.0580684550313,0.51326993056,8,1.49652559739,5.66077702142,434,1.88596466836e-18,0.0580684550313,0,4.1797235023,1.93140071577e-20
1.7045503164,4.18906605923,22,0.00642437535361,-0.0451474790491,0.515753529381,7,1.36278850958,5.49891234046,439,-3.71089761287e-18,0.0451474790491,0,4.18906605923,1.51710492228e-21
1.66285295148,4.27816091954,23,0.00643089307375,-0.0459194330487,0.561773537357,8,1.37910726474,5.27433682711,435,1.73194791842e-17,0.0459194330487,0,4.27816091954,0.0
1.63215445302,4.34403669725,24,0.00986394141311,-0.055962384301,0.52790335816,8,1.48725047665,5.11488263062,436,8.91563753592e-17,0.055962384301,0,4.34403669725,-1.17131481655e-20
1.61223741979,4.39588100686,25,0.0099906292094,-0.0510482184436,0.59781288949,8,1.34327086865,5.0140171482,437,4.80283699869e-17,0.0510482184436,1,4.39588100686,0.0
1.55189071029,4.46313364055,26,0.00976282089297,-0.0559010682717,0.583933241381,7,1.3610023907,4.72038663433,434,5.90308298166e-18,0.0559010682717,0,4.46313364055,0.0
1.52328808892,4.64055299539,27,0.00999211299552,-0.0551649947944,0.58151575205,8,1.33538018826,4.58728382164,434,4.87523084666e-17,0.0551649947944,0,4.64055299539,0.0
1.50682873535,4.45433789954,28,0.00986753152105,-0.0547143429251,0.562026301026,8,1.4307346821,4.51239807142,438,6.01821270028e-17,0.0547143429251,0,4.45433789954,9.81494711609e-21
