Perplexity,LossAfter,ExplainedVariance,MeanKL,AverageDiscountedReturn,Entropy,dLoss,LossBefore,MaxReturn,Iteration,NumTrajs,StdReturn,MeanKLBefore,AverageReturn,MinReturn
11.5070800168,-0.0493170732374,6.14294970447e-09,0.00958938422224,0.879385964912,2.44296249956,0.0493170732374,3.14887005359e-16,5,0,456,1.20885460148,0.0,0.879385964912,0
11.5094828095,-0.043352055507,0.154598105822,0.00644957959071,0.95670995671,2.44317128771,0.043352055507,-1.08388814639e-17,6,1,462,1.26314233939,0.0,0.95670995671,0
11.4439599722,-0.0490172931178,0.146589887857,0.00762960212343,1.13219616205,2.43746207747,0.0490172931178,8.96643870263e-17,6,2,469,1.412557026,0.0,1.13219616205,0
11.2848874538,-0.0467639351765,0.0847379553223,0.00675406951556,1.38311688312,2.42346443714,0.0467639351765,2.86365948866e-17,6,3,462,1.53543168464,-1.22564775776e-20,1.38311688312,0
11.1135805663,-0.0474129449372,0.101191199327,0.00691236956888,1.52759381898,2.40816783493,0.0474129449372,-7.25829780702e-17,7,4,453,1.48346670328,0.0,1.52759381898,0
10.7981705245,-0.0468532504664,0.0970659932773,0.00653200949968,1.77777777778,2.3793767239,0.0468532504664,6.64804206362e-19,7,5,450,1.63011777201,0.0,1.77777777778,0
10.4850104276,-0.0486451898338,0.14857409313,0.00639926352817,2.09954751131,2.34994665888,0.0486451898338,4.34278452219e-17,7,6,442,1.62671413908,0.0,2.09954751131,0
10.0121700959,-0.0462681596999,0.178692307695,0.0067278267893,2.46380090498,2.30380136263,0.0462681596999,-6.78007264414e-17,7,7,442,1.62274613237,0.0,2.46380090498,0
9.64467391898,-0.044470843967,0.21388865129,0.00661551935256,2.68171557562,2.26640583749,0.044470843967,-2.78526715823e-17,6,8,443,1.54256528753,0.0,2.68171557562,0
9.20768601559,-0.0462904845362,0.228687259347,0.0066281637386,2.76733780761,2.22003857175,0.0462904845362,-3.98583378532e-17,8,9,447,1.66272675162,-8.80646650159e-21,2.76733780761,0
8.78588528829,-0.0470188324471,0.311662584841,0.00663918985831,3.10114942529,2.17314648928,0.0470188324471,-2.01014924973e-17,7,10,435,1.51281835277,-1.95968184965e-20,3.10114942529,0
8.465486391,-0.0478439738006,0.339650309335,0.00671433788425,3.2180974478,2.135997473,0.0478439738006,5.69544411633e-17,7,11,431,1.53497420182,0.0,3.2180974478,0
8.07402506909,-0.0450925162992,0.366019876085,0.00667887617192,3.16517857143,2.08865212734,0.0450925162992,1.40753980764e-17,7,12,448,1.49087760716,1.24019093749e-20,3.16517857143,0
7.6418307348,-0.0418192294426,0.402769189185,0.00669781677994,3.57762557078,2.03363719945,0.0418192294426,-1.32816390808e-17,7,13,438,1.53115345141,0.0,3.57762557078,0
7.32427658741,-0.0433414065732,0.421870877588,0.00665063850289,3.63839285714,1.99119439063,0.0433414065732,-5.59615038061e-17,7,14,448,1.52466305035,0.0,3.63839285714,0
7.02314857644,-0.0409510045159,0.432786623326,0.00655040278144,3.70288248337,1.94921163265,0.0409510045159,1.99213964239e-17,7,15,451,1.57740858859,0.0,3.70288248337,0
6.70052654795,-0.042737825734,0.387086884093,0.00657843265327,3.67945823928,1.90218611255,0.042737825734,-9.49204657849e-18,7,16,443,1.58469191484,0.0,3.67945823928,0
6.31523900811,-0.0413499740615,0.465537630259,0.0065297329094,3.81152993348,1.84296560277,0.0413499740615,-1.07248487632e-17,8,17,451,1.54674398327,0.0,3.81152993348,0
6.04650609376,-0.0429264839196,0.492923232606,0.00653263671252,4.03579418345,1.79948060006,0.0429264839196,-1.10245728776e-17,8,18,447,1.51016488208,-5.17715218982e-20,4.03579418345,0
5.7930833815,-0.0414441085152,0.494562601967,0.00642722507355,4.05156950673,1.7566646855,0.0414441085152,3.86706896218e-17,8,19,446,1.47004003892,-5.08602726514e-21,4.05156950673,0
5.52119797232,-0.0371671749112,0.469320281215,0.00646435568237,4.11920529801,1.70859486071,0.0371671749112,-2.45268940787e-17,8,20,453,1.56645499996,0.0,4.11920529801,0
5.30636953238,-0.0469902091266,0.49776133568,0.00995925365176,4.29580573951,1.66890789754,0.0469902091266,7.93540770907e-17,8,21,453,1.54859619611,0.0,4.29580573951,0
4.98224995819,-0.0376055876611,0.477622161546,0.00650949677551,4.25219298246,1.60588158784,0.0376055876611,8.72773278655e-18,8,22,456,1.5990662071,6.34434375373e-21,4.25219298246,0
4.88996441663,-0.0384675429134,0.534017796777,0.00673061468347,4.29515418502,1.5871850267,0.0384675429134,1.67167253337e-16,8,23,454,1.46504750205,-3.879466811e-20,4.29515418502,0
4.72826383239,-0.0357540886178,0.527263248785,0.0065523448526,4.40570175439,1.55355808066,0.0357540886178,3.91332825487e-17,8,24,456,1.48083159976,0.0,4.40570175439,0
4.57838607278,-0.0375993794912,0.543554107311,0.00653912843093,4.52328159645,1.52134655017,0.0375993794912,3.71921941849e-17,8,25,451,1.49685964194,0.0,4.52328159645,0
4.4981259259,-0.0378217197751,0.588059156739,0.00655158519261,4.51555555556,1.50366084912,0.0378217197751,-9.00218319567e-18,8,26,450,1.43479856202,0.0,4.51555555556,0
4.36006023751,-0.0450884374746,0.527383967808,0.00999170139306,4.46086956522,1.47248587321,0.0450884374746,1.44328993201e-17,8,27,460,1.55640028674,0.0,4.46086956522,0
4.17980682062,-0.034630437392,0.541285690506,0.0065204524205,4.56113537118,1.43026503031,0.034630437392,-3.16413562018e-18,8,28,458,1.48264207815,0.0,4.56113537118,0
