Iteration,MeanKL,Entropy,Perplexity,dLoss,StdReturn,MeanKLBefore,ExplainedVariance,LossAfter,NumTrajs,AverageReturn,LossBefore,MaxReturn,MinReturn,AverageDiscountedReturn
0,0.00666342734395,2.38144554262,10.8205331059,0.0496957001295,1.12272459246,0.0,8.34378777181e-09,-0.0496957001295,444,0.833333333333,-1.0595540108e-15,5,0,0.833333333333
1,0.00648281600963,2.38617494782,10.8718289953,0.0519339760177,1.23942312208,0.0,0.0954393933868,-0.0519339760177,445,1.05617977528,9.03025713642e-18,6,0,1.05617977528
2,0.00652855225041,2.37626905778,10.764665504,0.0495967785396,1.32614950917,3.1211807163e-20,0.0811485756451,-0.0495967785396,440,1.32045454545,9.76752073652e-18,6,0,1.32045454545
3,0.00658852047206,2.36892369786,10.6858848518,0.0525270719544,1.43276065614,0.0,0.10264824578,-0.0525270719544,433,1.44341801386,-4.4309100733e-17,6,0,1.44341801386
4,0.00972736446682,2.34653001222,10.4492479803,0.0585668388583,1.49527239942,0.0,0.100799188943,-0.0585668388583,451,1.63636363636,-2.26146277607e-17,6,0,1.63636363636
5,0.00684442953512,2.31276060764,10.1022746124,0.0518682855421,1.51515801189,0.0,0.137123764777,-0.0518682855421,438,1.88812785388,3.96389508044e-17,7,0,1.88812785388
6,0.00660509702746,2.29037147952,9.87860669972,0.0520115282242,1.4676055091,0.0,0.177875987307,-0.0520115282242,441,2.01814058957,-9.2865356695e-18,6,0,2.01814058957
7,0.00661083206852,2.25320543698,9.5181969702,0.0527324200713,1.49655955467,0.0,0.227659097565,-0.0527324200713,432,2.46759259259,-5.56498251039e-17,6,0,2.46759259259
8,0.0067383644304,2.22597005876,9.2624635812,0.0510923954574,1.45143261526,0.0,0.271789729719,-0.0510923954574,436,2.57568807339,-4.26592937909e-17,7,0,2.57568807339
9,0.00643553087859,2.18642633782,8.9033386697,0.0503245513437,1.51311235567,1.91563961775e-20,0.285443233951,-0.0503245513437,441,2.69387755102,-5.86020343086e-17,7,0,2.69387755102
10,0.00664492178494,2.13936337948,8.49402843443,0.0514817036313,1.55575356566,0.0,0.302911918316,-0.0514817036313,442,2.9479638009,-8.92341756042e-18,8,0,2.9479638009
11,0.0067545451533,2.09985112908,8.16495429786,0.049370922791,1.48685007331,-5.59720581119e-20,0.346023582503,-0.049370922791,440,3.08636363636,-1.94711562405e-17,7,0,3.08636363636
12,0.00659461713678,2.04999093954,7.76783072587,0.0475941020293,1.45820071399,-2.1287069042e-20,0.364501728383,-0.0475941020293,444,3.21171171171,-7.91472461168e-17,7,0,3.21171171171
13,0.00670772885513,2.01275044773,7.48387306733,0.0486468058848,1.501381219,2.55498432946e-20,0.392513131917,-0.0486468058848,449,3.38307349666,2.41292538452e-17,8,0,3.38307349666
14,0.00660198514401,1.98305947968,7.26493594231,0.0437001960172,1.45044877638,0.0,0.42437856696,-0.0437001960172,440,3.47272727273,9.72346751952e-18,7,0,3.47272727273
15,0.00658967245768,1.95221401566,7.04426644454,0.0450819147762,1.41242258605,0.0,0.457458018329,-0.0450819147762,446,3.56278026906,-1.45841422771e-17,7,0,3.56278026906
16,0.00651162369825,1.91236596505,6.7690852867,0.0446429123978,1.39621122303,0.0,0.467779806465,-0.0446429123978,446,3.65022421525,7.4292285356e-17,8,0,3.65022421525
