Iteration,MeanKL,Entropy,Perplexity,dLoss,StdReturn,MeanKLBefore,ExplainedVariance,LossAfter,NumTrajs,AverageReturn,LossBefore,MaxReturn,MinReturn,AverageDiscountedReturn
33,0.0064110741203,1.36881356671,3.93068443305,0.0386065081244,1.45126199706,8.54925602603e-22,0.573997123158,-0.0386065081244,447,4.80760626398,-7.59691934828e-17,8,0,4.80760626398
34,0.00642717031752,1.36041757794,3.89782060589,0.0403158397733,1.50797101195,1.76695042074e-20,0.541620312871,-0.0403158397733,455,4.58241758242,9.65308827681e-17,8,0,4.58241758242
35,0.00980563642102,1.32164209893,3.74957349529,0.0495525004252,1.51557554161,0.0,0.564684410603,-0.0495525004252,452,4.74336283186,-1.03923973434e-16,9,0,4.74336283186
36,0.00985745049039,1.29138656708,3.63782715175,0.0502718005196,1.48805292722,-1.4143188906e-20,0.583505750457,-0.0502718005196,446,4.77578475336,-5.33188278765e-18,8,0,4.77578475336
37,0.00980728303855,1.27196759186,3.56786576416,0.0511989715293,1.44771943983,-5.92429758855e-20,0.575687850783,-0.0511989715293,447,4.90380313199,5.14500357979e-17,9,0,4.90380313199
38,0.00642686911072,1.25686853806,3.51439903135,0.0388286343415,1.44961182719,-6.3829595216e-21,0.584260158726,-0.0388286343415,446,4.76905829596,1.62721826581e-17,8,0,4.76905829596
39,0.00647264295575,1.2531617165,3.50139589632,0.0370483803819,1.45859733246,3.25969583484e-20,0.57620656891,-0.0370483803819,448,4.77901785714,-4.29126298989e-17,9,0,4.77901785714
40,0.0064450110302,1.22186997464,3.39352761464,0.0414901310052,1.44754538938,0.0,0.590562323911,-0.0414901310052,450,4.95111111111,-1.93035596379e-17,8,0,4.95111111111
41,0.00645482426753,1.21829996672,3.38143429364,0.0422670872591,1.44057457358,0.0,0.581575995128,-0.0422670872591,448,4.82142857143,3.3001379407e-17,8,0,4.82142857143
42,0.00641195006703,1.21137902333,3.35811237625,0.0390469043583,1.38315912318,-2.13611256348e-20,0.618711340237,-0.0390469043583,446,4.89686098655,3.61938807678e-17,8,1,4.89686098655
43,0.00979450708782,1.18318131707,3.26474388498,0.0471422536958,1.51374838136,-4.7954300508e-21,0.590302302845,-0.0471422536958,451,4.92461197339,-1.49831596707e-17,8,0,4.92461197339
44,0.00647255638865,1.16744814799,3.21378107194,0.0391498655721,1.47525877424,0.0,0.572634133544,-0.0391498655721,447,4.89261744966,2.64128996452e-17,8,0,4.89261744966
45,0.0064198025249,1.14433533012,3.14035336472,0.038148169492,1.44434357342,4.86617101677e-20,0.610849829816,-0.038148169492,444,5.07882882883,-2.19440138633e-17,8,0,5.07882882883
46,0.00999695372336,1.1245001973,3.07867773289,0.045522804848,1.44626330662,0.0,0.602914047288,-0.045522804848,447,5.0067114094,-4.02053792634e-19,8,0,5.0067114094
47,0.00642712632297,1.10074582195,3.00640743266,0.0379342995248,1.4364789965,0.0,0.622195273968,-0.0379342995248,449,5.03340757238,-5.89754018073e-17,8,0,5.03340757238
48,0.00981632576746,1.10790078556,3.02799530657,0.0460719693492,1.46925544734,0.0,0.609019765768,-0.0460719693492,447,5.01118568233,-6.83342271657e-17,8,1,5.01118568233
49,0.00998270418716,1.07995398388,2.94454405145,0.0456942373178,1.48650013644,2.54120430678e-20,0.595219492026,-0.0456942373178,444,5.04504504505,1.01282530364e-18,9,0,5.04504504505
