NumTrajs,Perplexity,LossBefore,MeanKLBefore,MinReturn,Iteration,AverageReturn,AverageDiscountedReturn,ExplainedVariance,MeanKL,Entropy,MaxReturn,StdReturn,LossAfter,dLoss
205,14.7121056777,-9.2071657956e-16,0.0,0,0,1.4,1.4,3.12836478944e-09,0.00668993183575,2.68867067037,9,1.60060963995,-0.0551376791817,0.0551376791817
193,14.6944270601,1.48749941174e-17,0.0,0,1,1.47668393782,1.47668393782,0.00749091698677,0.00973584272014,2.68746831035,7,1.70665426976,-0.0664447860236,0.0664447860236
201,14.5951476333,-4.1297750006e-17,0.0,0,2,1.6815920398,1.6815920398,0.0488913620991,0.00712569968157,2.68068911959,7,1.57660427739,-0.0519868414195,0.0519868414195
202,14.4729339869,-6.21890805076e-17,0.0,0,3,1.9702970297,1.9702970297,-0.0323517309172,0.00644552866694,2.67228028353,9,1.75169194331,-0.051116641325,0.051116641325
210,14.3086953019,-2.56397419334e-17,0.0,0,4,2.0,2.0,-0.0144410959725,0.00932928404559,2.66086741554,10,1.72101852457,-0.0605755620393,0.0605755620393
205,14.1240055042,1.62444617336e-17,0.0,0,5,2.14146341463,2.14146341463,-0.142882035274,0.00981323346709,2.64787586777,8,1.82783032913,-0.0628227096806,0.0628227096806
211,14.0850820865,-1.52042646559e-16,0.0,0,6,2.17535545024,2.17535545024,-0.0965809186154,0.00961685867064,2.64511622925,7,1.81686653901,-0.0606233721758,0.0606233721758
194,13.790255152,-5.34613382616e-18,0.0,0,7,2.5,2.5,0.108293080382,0.00659384221317,2.62396219432,8,1.82550656718,-0.0477703689516,0.0477703689516
199,13.7002453929,-2.83611329901e-17,0.0,0,8,2.26130653266,2.26130653266,0.0586589975099,0.00990120586082,2.61741374457,9,1.68112797187,-0.0581805845839,0.0581805845839
205,13.7260943943,9.92346469982e-17,0.0,0,9,2.3512195122,2.3512195122,-0.00178037330859,0.00663484727037,2.61929872151,7,1.77339717412,-0.0463083991907,0.0463083991907
194,13.5076068931,4.77390368835e-17,0.0,0,10,2.67010309278,2.67010309278,0.122583428329,0.00650303582258,2.60325300031,9,1.81188316619,-0.05071039401,0.05071039401
203,13.5118242153,-1.66346197187e-17,0.0,0,11,2.43349753695,2.43349753695,0.0703427441599,0.00982594404387,2.6035651699,8,1.77815454335,-0.0580068856899,0.0580068856899
209,13.3832801469,9.3626592396e-18,0.0,0,12,2.1961722488,2.1961722488,0.0694078117653,0.00656180614829,2.59400617764,7,1.59688233606,-0.0468313976334,0.0468313976334
200,13.1794410784,-1.77125760744e-16,0.0,0,13,2.59,2.59,0.141304435287,0.0065582360279,2.57865812137,8,1.77254054961,-0.0482685054643,0.0482685054643
200,13.2340875072,-1.32949207199e-17,0.0,0,14,2.6,2.6,0.119332613423,0.0065136775017,2.58279588787,8,1.74068951855,-0.0501018115163,0.0501018115163
194,12.917152085,4.89951070058e-17,0.0,0,15,2.77835051546,2.77835051546,0.144953677087,0.00654717717791,2.5585560472,9,1.81555289946,-0.0494770510721,0.0494770510721
197,12.6832605519,-4.97172437966e-17,0.0,0,16,2.88324873096,2.88324873096,0.191413555082,0.00642955637122,2.54028305727,9,1.79156897578,-0.046034126555,0.046034126555
199,12.4271729626,-1.6859505926e-17,0.0,0,17,3.0351758794,3.0351758794,0.0705822163739,0.00642915946945,2.51988544302,9,1.84956027484,-0.0514154384865,0.0514154384865
202,12.3174700704,9.88706076656e-18,0.0,0,18,2.74752475248,2.74752475248,0.133730192533,0.00643009942596,2.51101858559,9,1.72936742624,-0.048791881578,0.048791881578
196,12.2605103051,1.25291648328e-16,0.0,0,19,2.83163265306,2.83163265306,0.15494410192,0.00654292549833,2.50638355323,10,1.82029919826,-0.048804439719,0.048804439719
196,11.8461825737,-2.734781193e-17,0.0,0,20,3.04591836735,3.04591836735,0.232220404863,0.00661145723602,2.47200567,9,1.79651978566,-0.0507157042518,0.0507157042518
197,11.6110564115,-4.9679711716e-17,0.0,0,21,3.0152284264,3.0152284264,0.230858158262,0.00987546474194,2.45195778308,11,1.82891928745,-0.0621811246784,0.0621811246784
196,11.5735955383,4.59021225623e-17,0.0,0,22,2.88775510204,2.88775510204,0.131077352051,0.0066058396305,2.44872625682,9,1.73135934009,-0.0506987297415,0.0506987297415
184,11.4152185782,3.78573302955e-17,0.0,0,23,3.07065217391,3.07065217391,0.244799467514,0.00998863866992,2.43494742813,7,1.53594879638,-0.0624133300267,0.0624133300267
185,11.1431826693,-4.33663539089e-17,0.0,0,24,2.95135135135,2.95135135135,0.174258091567,0.009971557147,2.41082789112,8,1.75616622091,-0.0618720665576,0.0618720665576
184,10.9537463561,7.48290318597e-17,0.0,0,25,3.15760869565,3.15760869565,0.22213243065,0.00963982807569,2.39368153073,8,1.71380162819,-0.0604868340065,0.0604868340065
189,10.8526862271,-2.29357451195e-17,0.0,0,26,3.1164021164,3.1164021164,0.21806638141,0.00997384936571,2.38441262788,8,1.84797780719,-0.0649771726041,0.0649771726041
178,10.5783578386,-6.54867867562e-17,0.0,0,27,3.30337078652,3.30337078652,0.249460111201,0.00988382967943,2.35881020064,10,1.69867426418,-0.0633814893576,0.0633814893576
179,10.2762253766,4.33304976236e-17,0.0,0,28,3.49162011173,3.49162011173,0.265938608877,0.0064983918115,2.32983301133,9,1.75087756156,-0.0483164180639,0.0483164180639
180,10.2182236599,2.03273453113e-17,0.0,0,29,3.35,3.35,0.229043685508,0.00649717769532,2.32417275949,9,1.62779673861,-0.0520644670468,0.0520644670468
178,10.0209685768,-6.60550915821e-17,0.0,0,30,3.61797752809,3.61797752809,0.271437221623,0.00652540739654,2.30467975534,9,1.80825583589,-0.0494221418784,0.0494221418784
175,9.80614246809,2.11811627592e-18,0.0,0,31,3.59428571429,3.59428571429,0.301729947874,0.00993364044629,2.28300897179,9,1.74387792121,-0.0590797148914,0.0590797148914
176,9.80697193521,1.01294719624e-16,0.0,0,32,3.44318181818,3.44318181818,0.222091630306,0.00994285597746,2.2830935547,9,1.80817559074,-0.0627458279771,0.0627458279771
171,9.49363478288,9.68056947232e-19,0.0,0,33,3.49707602339,3.49707602339,0.215280677028,0.00972540210422,2.25062155119,10,1.68368250332,-0.0602451478995,0.0602451478995
169,9.53715543117,8.40826605596e-18,0.0,0,34,3.55621301775,3.55621301775,0.315645047763,0.00998436084626,2.25519526816,10,1.72643213226,-0.0608248925234,0.0608248925234
163,9.37702587153,7.98518282248e-17,0.0,0,35,3.85889570552,3.85889570552,0.335343852132,0.0098192351628,2.23826264148,9,1.62751382007,-0.0654777861958,0.0654777861958
168,9.34369374805,-9.37362374901e-18,0.0,0,36,3.64285714286,3.64285714286,0.25533489861,0.00994738099153,2.2347016503,9,1.5971914125,-0.0647859488839,0.0647859488839
168,9.44010800708,-1.48731649518e-16,0.0,0,37,3.90476190476,3.90476190476,0.286063771383,0.00979090856977,2.24496742152,9,1.60445100846,-0.0625543371261,0.0625543371261
