Perplexity,StdReturn,MeanKL,MaxReturn,ExplainedVariance,NumTrajs,Entropy,LossBefore,MinReturn,AverageDiscountedReturn,Iteration,AverageReturn,MeanKLBefore,LossAfter,dLoss
11.0311269023,1.3307223829,0.00655215332847,6,5.28511356901e-09,465,2.40072099508,3.043408571e-16,0,1.05806451613,0,1.05806451613,0.0,-0.0480709849015,0.0480709849015
10.9833273446,1.43122841839,0.00658002518706,7,0.130437642588,468,2.39637842702,-1.82540417342e-17,0,1.10683760684,1,1.10683760684,0.0,-0.0507219617038,0.0507219617038
10.846751169,1.51008230703,0.00978869350413,6,0.0715729670974,470,2.38386560371,2.15284075401e-17,0,1.3170212766,2,1.3170212766,0.0,-0.0620818926538,0.0620818926538
10.6246613389,1.49802823565,0.00674840496875,6,0.0863831952167,458,2.36317784031,-4.03616660138e-17,0,1.46069868996,3,1.46069868996,4.52776690249e-20,-0.0510322202613,0.0510322202613
10.4736072906,1.56072203061,0.00653853102243,6,0.0954614370502,459,2.34885850141,-2.10942374679e-17,0,1.825708061,4,1.825708061,0.0,-0.0520462280614,0.0520462280614
10.2266731654,1.71574612112,0.00648773139833,7,0.103965683724,452,2.3249993233,-8.18664705346e-18,0,2.07300884956,5,2.07300884956,0.0,-0.0502062341325,0.0502062341325
9.986388402,1.54595350046,0.00987729918921,7,0.160850590576,455,2.30122300597,3.80598330629e-17,0,2.25054945055,6,2.25054945055,0.0,-0.0597236440717,0.0597236440717
9.64520009594,1.71932228968,0.00658342524935,7,0.158867314407,450,2.26646039222,6.75875287395e-17,0,2.63555555556,7,2.63555555556,0.0,-0.050124658418,0.050124658418
9.38115803275,1.61275121848,0.0066591228474,9,0.239089052894,461,2.23870321305,4.43035025069e-17,0,2.63340563991,8,2.63340563991,0.0,-0.0496316894769,0.0496316894769
8.98509647968,1.65500503321,0.00682669111888,7,0.279034831692,453,2.19556725804,2.63071573126e-17,0,2.86534216336,9,2.86534216336,-7.89504853876e-21,-0.0494724208999,0.0494724208999
8.66530123465,1.73129014355,0.00670727788112,7,0.303227240531,454,2.15932668709,-5.12730244157e-17,0,3.13436123348,10,3.13436123348,0.0,-0.0530176274143,0.0530176274143
8.28441815137,1.6112322136,0.00672609980177,7,0.330500851283,447,2.11437641925,-5.57885682789e-17,0,3.35570469799,11,3.35570469799,0.0,-0.0493135505128,0.0493135505128
8.0439947908,1.67797034102,0.00664826520833,8,0.31018328158,457,2.08492582432,-5.55250255505e-17,0,3.30415754923,12,3.30415754923,-4.14707822664e-21,-0.0439788113377,0.0439788113377
7.7105847193,1.69910190194,0.00658076012085,8,0.352275347264,463,2.04259402378,1.57651669497e-17,0,3.45140388769,13,3.45140388769,0.0,-0.0473974709053,0.0473974709053
7.39256116762,1.61942806539,0.00652921546939,8,0.379085630924,460,2.00047424699,-7.52345889846e-17,0,3.53695652174,14,3.53695652174,1.00197766663e-20,-0.0460117755312,0.0460117755312
7.11144540407,1.63313639431,0.0066365431013,7,0.371494826831,453,1.96170551487,4.3509865099e-17,0,3.73509933775,15,3.73509933775,1.15217364933e-20,-0.0435500015987,0.0435500015987
6.8023811672,1.60201083389,0.00658006221121,8,0.41271980159,456,1.91727272253,-3.593609341e-17,0,3.86184210526,16,3.86184210526,-5.48762567994e-21,-0.04400332848,0.04400332848
6.54690511605,1.61231286881,0.0066263092178,7,0.427016938486,457,1.87899243662,2.76654826111e-17,0,3.8249452954,17,3.8249452954,1.86611646634e-20,-0.0427658195741,0.0427658195741
6.40784978251,1.63091784979,0.00658139104394,8,0.410914741755,457,1.85752376731,-5.21170329254e-17,0,3.9693654267,18,3.9693654267,-2.84554679975e-20,-0.0441961647285,0.0441961647285
6.25409694272,1.53312102893,0.00989987592751,8,0.431112934607,455,1.83323675983,-2.96687971116e-18,0,3.92527472527,19,3.92527472527,0.0,-0.0539035615377,0.0539035615377
5.9848157153,1.62424884897,0.00645735183671,8,0.463831486,454,1.78922554744,1.83003795268e-18,0,4.09691629956,20,4.09691629956,0.0,-0.0431335852479,0.0431335852479
5.72461237171,1.61913547832,0.00993558177339,8,0.472154912193,451,1.74477483915,-4.87246082913e-17,0,4.14634146341,21,4.14634146341,0.0,-0.0535907711434,0.0535907711434
5.50907055935,1.47513572867,0.00648325118033,8,0.498707835308,453,1.70639592642,5.05087733994e-17,0,4.26269315673,22,4.26269315673,0.0,-0.0398207396661,0.0398207396661
5.30903160725,1.58098386604,0.00646517803011,8,0.47823283889,454,1.66940944711,-3.98783027054e-18,0,4.33259911894,23,4.33259911894,3.61569922644e-21,-0.04138247919,0.04138247919
5.13798252074,1.51365419137,0.00995873701943,9,0.517672922571,451,1.63666049672,1.92853037269e-17,0,4.44345898004,24,4.44345898004,2.95905576461e-21,-0.0532370213599,0.0532370213599
4.97720014936,1.50430493363,0.00640766988431,8,0.528998121606,450,1.60486751393,-1.57533519357e-17,0,4.48,25,4.48,3.02502626996e-21,-0.0408784710054,0.0408784710054
4.71249034891,1.61276420597,0.00654426311679,8,0.513072054106,457,1.5502165048,-1.54012974474e-17,0,4.5886214442,26,4.5886214442,0.0,-0.0396979075829,0.0396979075829
4.65457509255,1.53049954492,0.00649902597717,8,0.526652425719,449,1.53785062677,-5.859048046e-17,0,4.57461024499,27,4.57461024499,0.0,-0.0431299098616,0.0431299098616
4.55357560699,1.54729377399,0.00655943379103,8,0.535759915265,451,1.51591277204,-2.40280419958e-17,0,4.60532150776,28,4.60532150776,0.0,-0.0413659383783,0.0413659383783
