LossAfter,LossBefore,Iteration,MinReturn,Perplexity,Entropy,MaxReturn,AverageDiscountedReturn,NumTrajs,ExplainedVariance,StdReturn,dLoss,MeanKLBefore,AverageReturn,MeanKL
-0.0628698321792,-1.3996779807e-16,0,0,19.0151194318,2.94523442229,6,0.681818181818,220,6.5645207048e-09,1.09902285675,0.0628698321792,5.12795971363e-20,0.681818181818,0.00956132860806
-0.0558741143819,2.20548422162e-17,1,0,19.0039014254,2.94464429627,6,0.906976744186,215,-0.133406896979,1.27978838164,0.0558741143819,-9.42904122594e-19,0.906976744186,0.00651943710825
-0.0525210368293,8.59509649672e-17,2,0,18.8751942855,2.93784858835,7,0.963636363636,220,0.0507962959599,1.30681620553,0.0525210368293,3.42981061383e-19,0.963636363636,0.00643727600725
-0.06791208312,4.64988826549e-17,3,0,18.7135929457,2.92925015529,5,1.17272727273,220,-0.0641079614948,1.26029643633,0.06791208312,-2.89489615101e-18,1.17272727273,0.00962012424969
-0.0656472469529,1.13704534925e-16,4,0,18.4860213039,2.91701484128,7,1.72350230415,217,-0.179859647829,1.6536653023,0.0656472469529,-3.73411455936e-18,1.72350230415,0.00989458531582
-0.0599268231729,-2.76106198614e-20,5,0,18.2162845521,2.90231594964,7,1.40663900415,241,-0.123934265608,1.44920836538,0.0599268231729,-2.53059766529e-19,1.40663900415,0.00993269933906
-0.062618361505,-5.9907112995e-18,6,0,17.9470933112,2.8874281693,7,1.60810810811,222,0.061475417319,1.43461927241,0.062618361505,1.6107247656e-18,1.60810810811,0.00997907820556
-0.0601172071138,-4.1491222704e-17,7,0,17.6732770532,2.87205372772,7,1.52100840336,238,-0.0693588257128,1.3211195882,0.0601172071138,-2.1832227853e-18,1.52100840336,0.00962211633857
-0.0617475856256,-3.1266655931e-17,8,0,17.5263720494,2.86370672083,7,1.71428571429,238,-0.0143075240157,1.53471239548,0.0617475856256,-1.37300416479e-18,1.71428571429,0.00980242398759
-0.0605637511151,4.0079051189e-17,9,0,17.3372235106,2.85285583804,9,1.69262295082,244,-0.129887229978,1.42568177724,0.0605637511151,-9.48594806402e-19,1.69262295082,0.00984528016958
-0.0584577071462,1.78037637345e-17,10,0,17.0036493164,2.83342798669,7,1.76859504132,242,0.0822957293628,1.47295357733,0.0584577071462,2.75762865658e-18,1.76859504132,0.00972088635294
-0.0503124758991,-4.30613475835e-17,11,0,17.1917830518,2.84443154012,9,1.77083333333,240,-0.0121989622473,1.54433890027,0.0503124758991,-3.13142920733e-18,1.77083333333,0.00648458964038
-0.0500845236446,-8.94139348691e-18,12,0,17.0722439906,2.83745398631,6,1.62348178138,247,-0.122499808395,1.45092990658,0.0500845236446,1.17272044275e-18,1.62348178138,0.00642733056963
-0.0490926039102,-1.05514090498e-16,13,0,16.8924638999,2.82686759939,7,1.76113360324,247,-0.0504659943032,1.50694328598,0.0490926039102,4.48225014116e-18,1.76113360324,0.00646553538379
-0.0470740835812,9.47297795761e-17,14,0,16.561945755,2.80710763934,6,1.59925093633,267,-0.0601203520403,1.31559338542,0.0470740835812,-5.83184589438e-19,1.59925093633,0.00665758663709
-0.0499532740129,4.30305026906e-17,15,0,16.450269399,2.80034185392,7,1.82113821138,246,0.00952423707878,1.52769830762,0.0499532740129,1.24081669328e-18,1.82113821138,0.00663502977551
-0.0606402384519,-1.42762760969e-17,16,0,16.1587531428,2.78246189311,7,1.82591093117,247,-0.109591597505,1.41637927233,0.0606402384519,1.38904084223e-18,1.82591093117,0.00976918134593
-0.0612754081705,7.11981811059e-17,17,0,16.1276691576,2.78053637814,7,1.78988326848,257,-0.00709894480162,1.54649559473,0.0612754081705,-1.04745463784e-18,1.78988326848,0.00993436865375
-0.0594591756207,-8.18263177331e-17,18,0,16.1055599694,2.77916455209,7,1.82113821138,246,-0.0239875906701,1.48177283583,0.0594591756207,-6.13442135041e-19,1.82113821138,0.00982450490059
-0.049702546053,-1.10600506221e-17,19,0,15.8480371936,2.76304565629,8,1.83534136546,249,-0.0235235713907,1.63575633242,0.049702546053,-8.10832433277e-19,1.83534136546,0.00667957561276
-0.0590292720748,5.32177587215e-17,20,0,15.8465730646,2.76295326651,6,1.72830188679,265,-0.0781289267411,1.39058523834,0.0590292720748,-2.65605886372e-19,1.72830188679,0.00994900030706
-0.0517316510179,2.20825493044e-17,21,0,15.7140215893,2.75455340864,8,1.75572519084,262,0.0021502336125,1.54372209585,0.0517316510179,-3.97245941119e-19,1.75572519084,0.00644878503248
-0.052339849126,-8.03399769944e-17,22,0,15.7399431634,2.75620163201,8,1.72075471698,265,-0.0469873252985,1.52381825423,0.052339849126,1.01519186327e-18,1.72075471698,0.00644508148247
-0.0609208756175,-4.62708373128e-17,23,0,15.5453181204,2.74375950778,9,1.72452830189,265,-0.0269351763183,1.5982190159,0.0609208756175,-4.35004951864e-19,1.72452830189,0.00998130709226
-0.0489397623596,1.04317187115e-17,24,0,15.2569236825,2.72503341199,7,1.80769230769,260,-0.0699177471872,1.42826497136,0.0489397623596,5.35310495461e-18,1.80769230769,0.00650667559209
-0.0503356199062,2.45346266111e-17,25,0,15.3030994319,2.72805538513,7,1.80988593156,263,0.0602906211904,1.43621584609,0.0503356199062,-5.81639065781e-19,1.80988593156,0.00649817807907
-0.06065272791,-8.65719498524e-18,26,0,15.0951844981,2.71437578555,7,1.83269961977,263,0.109560644061,1.48840740067,0.06065272791,2.02474281335e-19,1.83269961977,0.00996834370137
