MinReturn,MeanKLBefore,MeanKL,Iteration,StdReturn,AverageReturn,LossAfter,Entropy,MaxReturn,NumTrajs,Perplexity,dLoss,ExplainedVariance,AverageDiscountedReturn,LossBefore
0,-7.3707832182e-21,0.00673359767699,0,1.29323288446,0.91156462585,-0.0553415883808,2.36911172256,5,441,10.687894251,0.0553415883808,6.65569044322e-09,0.91156462585,-3.10851352985e-16
0,-3.22477898785e-20,0.00714348103773,1,1.37943448781,1.07777777778,-0.0572564607474,2.37216376861,7,450,10.7205640259,0.0572564607474,0.0512222975075,1.07777777778,-7.13893096524e-17
0,0.0,0.00988211145042,2,1.35711965078,1.20634920635,-0.0646237767105,2.35880323823,6,441,10.578284188,0.0646237767105,0.0692796171604,1.20634920635,4.57966997658e-17
0,0.0,0.00654040790423,3,1.52548374175,1.42105263158,-0.0520273491587,2.33672906142,6,456,10.3473356496,0.0520273491587,0.0862362862102,1.42105263158,3.63607740466e-17
0,0.0,0.00685927327617,4,1.54670901887,1.59201773836,-0.0545583547235,2.31328292723,7,451,10.1075526067,0.0545583547235,0.0912346735902,1.59201773836,9.82952203371e-17
0,0.0,0.00714181946866,5,1.59152446629,1.81538461538,-0.053167993736,2.29057590613,7,455,9.88062635627,0.053167993736,0.11390449489,1.81538461538,-1.35521482537e-17
0,1.46506521756e-20,0.00640247808353,6,1.71317945844,2.09598214286,-0.0518173728052,2.26200825089,7,448,9.60235375169,0.0518173728052,0.116308655494,2.09598214286,1.84713598401e-17
0,-3.61025772123e-21,0.00660282482456,7,1.57555050312,2.34753363229,-0.0513830466206,2.22887722492,7,446,9.28943028124,0.0513830466206,0.169316243582,2.34753363229,2.61261576117e-17
0,0.0,0.00667114823757,8,1.62942664595,2.62749445676,-0.0512700013254,2.19938545339,7,451,9.01946891183,0.0512700013254,0.237462105945,2.62749445676,8.52334392907e-17
0,0.0,0.00655282045033,9,1.58480215182,2.72869955157,-0.0505335817496,2.15989476151,8,446,8.67022516905,0.0505335817496,0.25927578141,2.72869955157,-2.92674985252e-17
0,-5.84383169749e-21,0.00660844665978,10,1.61775456845,2.80044843049,-0.0485856121298,2.14057090235,7,446,8.50429136321,0.0485856121298,0.257233334004,2.80044843049,5.40842361884e-17
0,-1.27911613935e-20,0.00661533181959,11,1.60005907263,3.02608695652,-0.0481014708288,2.10158641639,7,460,8.17913513976,0.0481014708288,0.290916321129,3.02608695652,3.38749696902e-17
0,0.0,0.00643326810704,12,1.59478542721,3.2004454343,-0.0476129641188,2.06319439167,8,449,7.87107298424,0.0476129641188,0.343370910688,3.2004454343,-4.95833137245e-17
0,-1.3452437562e-21,0.00651683603801,13,1.60144379303,3.42666666667,-0.0464111951164,2.01665606359,7,450,7.51315935398,0.0464111951164,0.377351553517,3.42666666667,6.88171949721e-18
0,0.0,0.00653946748459,14,1.61504935618,3.67849223947,-0.0454690107013,1.97518496563,8,451,7.20795275404,0.0454690107013,0.373901193023,3.67849223947,-2.9362185781e-17
0,0.0,0.00988848547269,15,1.56129892109,3.61111111111,-0.0578315317006,1.94177512441,8,450,6.97111458959,0.0578315317006,0.404220023754,3.61111111111,-2.40557560004e-17
0,3.08713779876e-20,0.00991773598679,16,1.63662845151,3.64718614719,-0.0554964879041,1.89754971971,8,462,6.66953218117,0.0554964879041,0.368206208242,3.64718614719,-5.30578494165e-17
0,0.0,0.00647225416546,17,1.55488155769,3.80846325167,-0.0447863162458,1.85278730361,7,449,6.37757099843,0.0447863162458,0.41956979062,3.80846325167,-4.71110730821e-17
0,-6.80434109952e-20,0.00984341072919,18,1.50983919405,3.98898678414,-0.0539404761174,1.81526989626,8,454,6.14273385466,0.0539404761174,0.48511879843,3.98898678414,-2.51402664411e-17
0,-3.53836133404e-20,0.00669563439934,19,1.57222449518,3.9525862069,-0.0463406305563,1.77850360015,8,464,5.92098961812,0.0463406305563,0.440962595325,3.9525862069,-3.68781344092e-17
0,0.0,0.00652735485429,20,1.50714713343,4.24115044248,-0.0435106616912,1.74961427333,7,452,5.75238340033,0.0435106616912,0.483894274726,4.24115044248,3.86694446701e-17
0,0.0,0.00990453629559,21,1.57080892429,4.03982300885,-0.0569402265757,1.71359849689,8,452,5.54889326906,0.0569402265757,0.429824118484,4.03982300885,-2.07507951629e-17
0,0.0,0.00987518792585,22,1.53610161832,4.16079295154,-0.0540812156468,1.69770907785,8,454,5.46142135798,0.0540812156468,0.477232362557,4.16079295154,-3.23029426496e-18
0,-1.73034598263e-20,0.0099582250784,23,1.59562986944,4.42572062084,-0.0505897396021,1.62825725396,8,451,5.09498770725,0.0505897396021,0.498959100648,4.42572062084,5.67164095684e-17
0,2.72307793154e-20,0.00984688505838,24,1.53723027653,4.4,-0.051541353082,1.58976199355,8,455,4.90258194334,0.051541353082,0.521006818548,4.4,1.23850684304e-17
0,0.0,0.00649034853769,25,1.67599681726,4.42456896552,-0.0422450448769,1.55404941211,8,464,4.73058754793,0.0422450448769,0.461444767742,4.42456896552,-5.7187430068e-17
0,0.0,0.00643768774389,26,1.54756490358,4.50989010989,-0.0436024593205,1.52682801813,8,455,4.60355125744,0.0436024593205,0.512470017129,4.50989010989,-3.29736238314e-17
0,2.61578577011e-20,0.00987174600445,27,1.59349660092,4.46203904555,-0.0499130169361,1.50246779392,8,461,4.49276261338,0.0499130169361,0.51595364653,4.46203904555,-8.04710515224e-19
0,0.0,0.00955721388015,28,1.608347867,4.55555555556,-0.0503100024879,1.47844270959,8,459,4.38610991274,0.0503100024879,0.502823090288,4.55555555556,3.10551895e-17
