MeanKL,dLoss,ExplainedVariance,Perplexity,NumTrajs,AverageReturn,LossBefore,MaxReturn,MeanKLBefore,StdReturn,MinReturn,AverageDiscountedReturn,LossAfter,Iteration,Entropy
0.00929872293152,0.0802336720794,5.27889609803e-09,10.994173103,85,1.05882352941,2.35132149071e-17,5,4.00672411143e-20,1.25887850347,0,1.05882352941,-0.0802336720794,0,2.39736541454
0.00964248195714,0.0971125252295,0.0638941926244,11.0544065791,80,1.6,-5.59552404411e-17,6,0.0,1.65529453572,0,1.6,-0.0971125252295,1,2.40282913391
0.00937421899712,0.0887654659604,-0.00812748399186,10.9720277049,83,1.27710843373,6.94999613415e-17,5,0.0,1.4421641453,0,1.27710843373,-0.0887654659604,2,2.39534909813
0.00676343579118,0.0784532294268,-0.103942811472,10.9575625979,81,1.54320987654,3.77077740435e-17,5,0.0,1.44058786625,0,1.54320987654,-0.0784532294268,3,2.39402986608
0.00647690775759,0.0781490670271,0.0823024917964,10.865036293,82,1.51219512195,-6.32827124036e-17,6,0.0,1.35470186117,0,1.51219512195,-0.0781490670271,4,2.38554995406
0.00643458074971,0.0805430185963,-0.11944716845,10.8168122695,87,1.52873563218,1.54504198258e-17,7,0.0,1.53756846748,0,1.52873563218,-0.0805430185963,5,2.38110161536
0.00647772983514,0.0740339286829,-0.173375693357,10.6598633545,85,1.87058823529,5.41777951478e-17,7,0.0,1.69974555393,0,1.87058823529,-0.0740339286829,6,2.36648560013
0.00988390782993,0.0882523640043,0.113551569795,10.5672305002,89,1.91011235955,-1.95399252334e-17,6,0.0,1.7068299642,0,1.91011235955,-0.0882523640043,7,2.35775775043
0.00663878333,0.0747560872857,0.0152282046393,10.2998129332,83,2.15662650602,-3.03189008711e-18,6,0.0,1.66814179651,0,2.15662650602,-0.0747560872857,8,2.33212573324
0.00642246692556,0.0730455555354,-0.0492387057138,10.2336670635,88,2.29545454545,-7.53444767211e-18,7,0.0,1.74615871213,0,2.29545454545,-0.0730455555354,9,2.32568297746
0.00660361906832,0.0703042893749,0.133574162695,10.0832660364,87,2.1724137931,1.59712403143e-17,7,-1.46861201921e-19,1.66234079906,0,2.1724137931,-0.0703042893749,10,2.31087722171
0.00648677147717,0.0712876933969,0.0892918476484,10.0029573795,89,2.06741573034,1.65492277116e-17,7,5.34416249298e-20,1.71443149295,0,2.06741573034,-0.0712876933969,11,2.30288078723
0.00957999624,0.0867174197738,-0.0345395927139,9.8721115696,92,1.94565217391,-3.52143666652e-17,6,-1.88865216789e-19,1.6834496831,0,1.94565217391,-0.0867174197738,12,2.28971376872
0.00645593974651,0.0669188691999,0.0507194319083,9.79578151258,102,2.03921568627,3.70805713758e-17,7,0.0,1.72024604161,0,2.03921568627,-0.0669188691999,13,2.2819518351
0.00653214499371,0.0737908884101,0.0355173532125,9.59635721699,89,2.38202247191,2.45498477311e-17,7,1.76198471704e-19,1.63188467577,0,2.38202247191,-0.0737908884101,14,2.2613835699
0.00999921339659,0.087547115331,0.0846991401758,9.45935238976,92,2.38043478261,1.48130599296e-17,7,0.0,1.77447108656,0,2.38043478261,-0.087547115331,15,2.24700392298
0.00651480638315,0.0723188430043,0.201630394158,9.23298094537,87,2.66666666667,-9.37129663288e-18,7,0.0,1.86107536993,0,2.66666666667,-0.0723188430043,16,2.22278195904
0.00683161483224,0.0743197814329,0.113355743345,9.08625129073,92,2.22826086957,6.31033602203e-17,6,5.47042180452e-20,1.56804545235,0,2.22826086957,-0.0743197814329,17,2.20676242387
0.00654022596712,0.0720168280169,0.104747824073,9.09603111979,96,2.48958333333,-5.95513446908e-17,8,-1.03243474233e-19,1.7677362623,0,2.48958333333,-0.0720168280169,18,2.2078381777
0.00994767179554,0.0880813841638,0.108084524803,8.96752220059,93,2.4623655914,4.4408920985e-17,6,0.0,1.71369650005,0,2.4623655914,-0.0880813841638,19,2.19360940609
0.00681119570394,0.0735774977789,0.0360559471591,8.87461373706,93,2.58064516129,5.03138920522e-17,7,0.0,1.82764070635,0,2.58064516129,-0.0735774977789,20,2.18319481183
0.0065429213058,0.0723835670773,0.0575509516443,8.78998104112,97,2.37113402062,-1.6432405464e-16,7,4.61648814086e-20,1.6329063813,0,2.37113402062,-0.0723835670773,21,2.17361255483
0.00657589151631,0.0722955044332,0.0511789677774,8.61549879764,97,2.51546391753,-1.0869316325e-17,7,0.0,1.86731739919,0,2.51546391753,-0.0722955044332,22,2.15356276704
0.00974992012811,0.0849920163601,-0.0452170768376,8.4469242937,94,2.60638297872,-0.0,7,0.0,1.78777220874,0,2.60638297872,-0.0849920163601,23,2.1338023862
0.00658745810796,0.0712791867599,0.0124645522616,8.32677106859,104,2.21153846154,1.09814344671e-17,7,3.5671605033e-20,1.79568433989,0,2.21153846154,-0.0712791867599,24,2.11947575421
0.00688652565861,0.0730664309099,-0.0474410361227,8.10266471852,96,2.73958333333,-3.96034780426e-17,7,-3.1565862754e-19,1.78678477338,0,2.73958333333,-0.0730664309099,25,2.09219298517
0.00979278861535,0.0927805331537,-0.0018125841808,8.34302289719,92,2.61956521739,-5.98574157974e-17,7,-1.09114304222e-19,1.63416240548,0,2.61956521739,-0.0927805331537,26,2.1214256084
0.00653857801968,0.0799434104748,0.0265810244502,8.24616393801,93,2.36559139785,-6.27193156449e-17,7,1.82195396998e-19,1.79476506527,0,2.36559139785,-0.0799434104748,27,2.109748115
0.00985236790334,0.0836722912392,0.0631685874943,7.98627014083,92,2.80434782609,-1.240318672e-17,9,-3.08541760103e-20,2.11227844444,0,2.80434782609,-0.0836722912392,28,2.07772383487
