AverageDiscountedReturn,AverageReturn,MaxReturn,LossBefore,MeanKL,MeanKLBefore,Iteration,LossAfter,ExplainedVariance,Perplexity,NumTrajs,dLoss,MinReturn,Entropy,StdReturn
0.95154185022,0.95154185022,7,-1.4450917921e-16,0.00904940102984,3.77083126789e-22,0,-0.0586273909357,6.29699570265e-09,10.7134989756,454,0.0586273909357,0,2.37150453284,1.23721116035
1.10913140312,1.10913140312,6,-3.51360512379e-17,0.0071679936635,0.0,1,-0.0530879399914,0.0986550758487,10.5795692424,449,0.0530879399914,0,2.35892471127,1.33118544993
1.34513274336,1.34513274336,5,-4.01652541344e-18,0.00673300064032,0.0,2,-0.0514267712444,0.100191899067,10.4261276423,452,0.0514267712444,0,2.34431492896,1.36173959217
1.57906458797,1.57906458797,5,-4.07399808333e-17,0.00985721986423,0.0,3,-0.0617941436913,0.122810930972,10.2734128918,449,0.0617941436913,0,2.32955928537,1.45568787429
1.68181818182,1.68181818182,6,-4.85583934035e-17,0.00993678381045,0.0,4,-0.0650731382001,0.0868924738601,10.0628108883,440,0.0650731382001,0,2.308846538,1.45809226658
2.03563474388,2.03563474388,7,1.57420199778e-17,0.00657747331982,-3.52904293981e-21,5,-0.0506531427024,0.132959482224,9.76953127819,449,0.0506531427024,0,2.27926848928,1.59021916105
2.39775280899,2.39775280899,7,1.71144382444e-17,0.00644449339956,-1.26209853039e-20,6,-0.0501494616248,0.193796914511,9.41205551232,445,0.0501494616248,0,2.24199136888,1.59535685333
2.31136363636,2.31136363636,7,-6.71517050636e-18,0.00991914774647,-6.97908783161e-21,7,-0.0599361248896,0.189613528196,9.25666034832,440,0.0599361248896,0,2.22534333008,1.50177408861
2.70574712644,2.70574712644,7,-5.19637586413e-19,0.00673596067288,0.0,8,-0.0484559280245,0.257600725453,8.78387826658,435,0.0484559280245,0,2.17291802613,1.58899638114
2.74099099099,2.74099099099,7,-3.00315328161e-17,0.00651617612274,0.0,9,-0.0519277418105,0.283818441815,8.41802984758,444,0.0519277418105,0,2.13037581603,1.54016347264
2.97757847534,2.97757847534,7,8.69785503324e-18,0.00674485333972,0.0,10,-0.048010655245,0.322314119828,8.18142918655,446,0.048010655245,0,2.10186685254,1.4957156938
3.08447488584,3.08447488584,7,6.55259066508e-17,0.00668831231382,0.0,11,-0.052026996777,0.369745871047,7.93666206821,438,0.052026996777,0,2.07149279244,1.43971270379
3.23863636364,3.23863636364,7,4.21501818147e-17,0.00658752602466,0.0,12,-0.0503559126551,0.337746486618,7.67762041537,440,0.0503559126551,0,2.0383096574,1.56665769149
3.33258426966,3.33258426966,8,-8.03367022685e-17,0.00647365995137,1.9445478551e-20,13,-0.0475779888575,0.356072775168,7.42907236548,445,0.0475779888575,0,2.00540100107,1.52343308935
3.48198198198,3.48198198198,8,-5.45684044072e-17,0.00661246647103,0.0,14,-0.0466092741108,0.415001929159,7.13970618509,444,0.0466092741108,0,1.96567162496,1.48328210448
3.50569476082,3.50569476082,7,7.83393325241e-17,0.0065003120792,-5.43122178082e-20,15,-0.0459169227102,0.425522988511,6.95591605098,439,0.0459169227102,0,1.93959252784,1.4411269343
3.72686230248,3.72686230248,8,-3.37809553833e-17,0.00662080258027,5.86652336811e-21,16,-0.0468362117266,0.449523721865,6.68387907836,443,0.0468362117266,0,1.89969851936,1.47051559469
3.7454954955,3.7454954955,8,4.3572375692e-17,0.0065084469953,0.0,17,-0.0462040326917,0.393577905999,6.48194308532,444,0.0462040326917,0,1.86902032426,1.59266406016
3.88009049774,3.88009049774,8,-6.83897383169e-17,0.00658224539825,0.0,18,-0.0450541920442,0.432246640131,6.26887655099,442,0.0450541920442,0,1.83559716012,1.53293023485
3.92550790068,3.92550790068,8,-3.00107161344e-17,0.00659243978472,0.0,19,-0.0462375901232,0.465811352409,6.00329622649,443,0.0462375901232,0,1.79230868946,1.44464587952
4.01126126126,4.01126126126,8,3.09997338045e-17,0.00653662190918,0.0,20,-0.0436449156533,0.495221723459,5.75816830012,444,0.0436449156533,0,1.75061942068,1.42290124702
4.16063348416,4.16063348416,8,2.66695858503e-17,0.00992981954459,-2.86745369291e-21,21,-0.0567666027991,0.490904578153,5.61826011314,442,0.0567666027991,0,1.72602202756,1.47804063665
4.19047619048,4.19047619048,8,-1.36907182767e-17,0.00657058005744,0.0,22,-0.0429316615512,0.535319239845,5.35181546614,441,0.0429316615512,0,1.67743584281,1.3817731551
4.25225225225,4.25225225225,8,-3.92626324393e-17,0.00645362397744,0.0,23,-0.0428339729015,0.518799975897,5.17572200487,444,0.0428339729015,0,1.64397884727,1.47635092186
4.40227272727,4.40227272727,8,-4.06314446934e-18,0.00998728815908,-2.01216179136e-21,24,-0.0538189961918,0.551484698645,5.08951209688,440,0.0538189961918,0,1.62718197074,1.40922103505
4.39816933638,4.39816933638,8,-1.90355659808e-17,0.00649202137264,2.45609164514e-20,25,-0.0435669029686,0.546103907289,4.75027331202,437,0.0435669029686,0,1.55820215576,1.41963876498
4.52714932127,4.52714932127,8,-1.77155872341e-17,0.00654314827876,2.66021219258e-21,26,-0.0414461730489,0.55134552097,4.6033711291,442,0.0414461730489,0,1.52678888924,1.41754855643
4.42247191011,4.42247191011,8,1.05286935203e-17,0.00989383129636,3.05929204854e-20,27,-0.0538399537152,0.523272266296,4.57115585773,445,0.0538399537152,0,1.51976609584,1.47684394807
4.68468468468,4.68468468468,7,4.83765760169e-17,0.00640825262594,2.43983816041e-20,28,-0.0426618904901,0.583683815884,4.37440441221,444,0.0426618904901,1,1.47577037619,1.37534259111
