NumTrajs,Iteration,MinReturn,LossBefore,AverageReturn,LossAfter,MeanKL,MaxReturn,AverageDiscountedReturn,ExplainedVariance,MeanKLBefore,dLoss,Perplexity,Entropy,StdReturn
757,0,0,-2.91820695529e-16,0.874504623514,-0.0469040221471,0.00968399796996,5,0.874504623514,6.05511718543e-09,-1.10841576859e-20,0.0469040221471,11.1589464089,2.4122415447,1.24484561559
768,1,0,-3.49106819332e-17,1.20833333333,-0.0409223820836,0.00647458033589,6,1.20833333333,0.108134507937,1.99860825867e-20,0.0409223820836,11.1050340745,2.40739852573,1.42461008311
780,2,0,-4.9998893914e-17,1.5141025641,-0.0451114134808,0.00942989396536,7,1.5141025641,0.113556840668,0.0,0.0451114134808,10.9488405797,2.39323356752,1.48014416822
811,3,0,-2.58774622032e-17,1.8150431566,-0.0404021953065,0.00989929814398,7,1.8150431566,0.144129992271,-3.15239245303e-21,0.0404021953065,10.7405759264,2.37402871208,1.52183307985
837,4,0,7.35305068462e-17,2.027479092,-0.0363513234887,0.00955967076823,6,2.027479092,0.168357277911,0.0,0.0363513234887,10.4306416548,2.34474778723,1.57730619721
876,5,0,5.1498898673e-18,2.19178082192,-0.0289245335931,0.00675067035538,7,2.19178082192,0.179344276273,0.0,0.0289245335931,10.1133606013,2.31385738149,1.6364082585
859,6,0,-3.346090379e-17,2.35273573923,-0.0273153807669,0.0068836958746,7,2.35273573923,0.184635077664,0.0,0.0273153807669,9.85560634942,2.2880404658,1.69025181219
860,7,0,6.11676321759e-17,2.47558139535,-0.0279430669689,0.00703392424875,7,2.47558139535,0.228063156865,0.0,0.0279430669689,9.58917693801,2.26063506019,1.71059870156
878,8,0,2.46408048136e-17,2.49658314351,-0.0280312276705,0.0067677242909,8,2.49658314351,0.209696121939,0.0,0.0280312276705,9.26668742751,2.22642597241,1.7449862279
884,9,0,3.47984489487e-18,2.57805429864,-0.0274010357613,0.00663148352107,8,2.57805429864,0.255229012485,0.0,0.0274010357613,8.96645828257,2.19349075781,1.73649092688
873,10,0,-9.55326233913e-17,2.73997709049,-0.0267131477639,0.00662676047858,8,2.73997709049,0.247304862818,3.15363410583e-21,0.0267131477639,8.5672661191,2.14794867578,1.71242170231
849,11,0,-1.66433593538e-17,2.93757361602,-0.0277391919222,0.00662719758106,8,2.93757361602,0.280407072757,0.0,0.0277391919222,8.11330991447,2.09350591242,1.77460538312
845,12,0,1.37017335623e-17,3.02603550296,-0.0286246921677,0.00645576082703,8,3.02603550296,0.318784788543,-1.40351318578e-20,0.0286246921677,7.70541977667,2.04192394836,1.69350559664
829,13,0,-7.45565397144e-17,3.22195416164,-0.0271230296409,0.00643205924921,8,3.22195416164,0.3388875383,-3.92452836906e-21,0.0271230296409,7.16763761114,1.96957611791,1.72162869078
843,14,0,-6.59700954093e-17,3.27876631079,-0.0277020637248,0.00645110855104,8,3.27876631079,0.347078883271,0.0,0.0277020637248,6.92508186233,1.93514987328,1.6969339167
826,15,0,-7.48140690459e-18,3.401937046,-0.0263459364878,0.00649168475301,8,3.401937046,0.337756790945,0.0,0.0263459364878,6.59846042332,1.88683635263,1.71750596981
830,16,0,-1.11290009913e-16,3.51807228916,-0.0312965749421,0.00984700094325,8,3.51807228916,0.381813347726,1.54217800692e-20,0.0312965749421,6.33578711373,1.84621405447,1.64910670074
829,17,0,1.6755989677e-18,3.54885404101,-0.026700269434,0.00647801919011,8,3.54885404101,0.401225221851,-3.70258660929e-21,0.026700269434,5.98361398154,1.78902473016,1.62358648231
817,18,0,1.2404850505e-17,3.67931456548,-0.0252526510004,0.00648774125212,8,3.67931456548,0.396759649516,0.0,0.0252526510004,5.718327148,1.74367630598,1.63348544015
813,19,0,8.17971509152e-17,3.70971709717,-0.0313039656743,0.00984379663997,8,3.70971709717,0.40172383166,0.0,0.0313039656743,5.53348407237,1.71081764832,1.67077963658
804,20,0,-6.90852887713e-17,3.79228855721,-0.0318640272972,0.0099756399505,8,3.79228855721,0.410699950508,4.20558448932e-22,0.0318640272972,5.35092105311,1.67726870555,1.60391009671
812,21,0,-1.06061093905e-16,3.85344827586,-0.0253256533642,0.00643758975215,8,3.85344827586,0.419895491053,-1.72399028147e-20,0.0253256533642,5.03336026391,1.61608780558,1.63985173877
797,22,0,-6.44470385675e-17,3.9661229611,-0.0324241413818,0.00993312099445,9,3.9661229611,0.429518739886,0.0,0.0324241413818,4.84265373656,1.57746286315,1.64628981745
806,23,0,-2.61569598786e-17,4.03722084367,-0.0240224649706,0.00650414947649,9,4.03722084367,0.432055941279,1.81856203673e-20,0.0240224649706,4.56176382613,1.51770935271,1.64644265546
790,24,0,1.16459676596e-17,4.08987341772,-0.0246330236326,0.00642381482999,9,4.08987341772,0.461908293473,-7.06002145759e-21,0.0246330236326,4.47134230021,1.49768865442,1.55678140354
794,25,0,-4.12434755636e-17,4.16750629723,-0.0310182255977,0.0099717052393,8,4.16750629723,0.441591754414,0.0,0.0310182255977,4.34256188332,1.46846446965,1.6496399357
799,26,0,-9.81044735874e-18,4.06633291615,-0.0293425491249,0.00998390757182,8,4.06633291615,0.445192220564,0.0,0.0293425491249,4.15578574259,1.42450151815,1.56681974057
793,27,1,-6.45957017075e-17,4.26860025221,-0.0292191426453,0.00992643909238,9,4.26860025221,0.446866652012,3.27014245191e-21,0.0292191426453,3.92163421368,1.36650845817,1.62258187384
794,28,0,-9.27255786248e-17,4.24685138539,-0.0285004965812,0.00988247854346,9,4.24685138539,0.458504311429,0.0,0.0285004965812,3.81794072617,1.33971120035,1.58932883846
