Iteration,ExplainedVariance,StdReturn,MeanKLBefore,MeanKL,LossBefore,MaxReturn,dLoss,Perplexity,LossAfter,Entropy,AverageReturn,MinReturn,AverageDiscountedReturn,NumTrajs
30,0.408172900345,1.60263384807,1.19411829712e-20,0.0064357246776,-3.54905085852e-17,7,0.0393861513281,5.36542031478,-0.0393861513281,1.67997471687,3.62613981763,0,3.62613981763,329
31,0.392378447627,1.63967132213,4.46126929706e-20,0.00999381060575,-1.88037274562e-17,8,0.0493255443101,5.26932150632,-0.0493255443101,1.66190160783,3.79127725857,0,3.79127725857,321
32,0.345331633514,1.72668902358,3.25165235262e-20,0.006463681457,9.03702137398e-18,8,0.0391488153213,5.05357105532,-0.0391488153213,1.62009513305,3.75229357798,0,3.75229357798,327
33,0.345105684845,1.70901197975,-3.2459106537e-20,0.0064118147509,1.45112712622e-17,9,0.0367767721084,5.00597820383,-0.0367767721084,1.61063283899,3.78018575851,0,3.78018575851,323
34,0.365388066427,1.61136601123,0.0,0.0064266622757,-8.57723424012e-17,9,0.0385546047004,4.85061087754,-0.0385546047004,1.57910465115,3.76635514019,0,3.76635514019,321
35,0.419882408156,1.66891857924,6.88533200268e-21,0.00644039572895,5.38340353014e-17,8,0.0374716532243,4.7353575791,-0.0374716532243,1.55505724208,3.97444089457,0,3.97444089457,313
36,0.374975547429,1.69055291485,0.0,0.00648640919932,-6.54505543694e-17,8,0.0387338478334,4.72778808065,-0.0387338478334,1.5534574569,3.80996884735,0,3.80996884735,321
37,0.403677295634,1.5995326604,0.0,0.0099527683932,2.19327275844e-17,8,0.047362289162,4.52573115461,-0.047362289162,1.50977914523,3.84326018809,0,3.84326018809,319
38,0.41163674846,1.70654535445,0.0,0.00982963752005,-3.19744231092e-17,9,0.0462998212958,4.30514074953,-0.0462998212958,1.45980983178,3.97819314642,0,3.97819314642,321
39,0.398267373076,1.67358747223,0.0,0.00645169232617,-4.02358992474e-17,8,0.0370545021154,4.20846909268,-0.0370545021154,1.43709894562,4.01863354037,0,4.01863354037,322
40,0.398580666283,1.60318933672,0.0,0.00642669292574,-5.55111512313e-18,8,0.0384115143162,4.10301749435,-0.0384115143162,1.41172267725,4.02777777778,0,4.02777777778,324
41,0.415775835974,1.68557471189,5.2587516324e-20,0.00976042218965,-6.74254275504e-18,8,0.0456503018232,4.09785222624,-0.0456503018232,1.4104629892,4.109375,0,4.109375,320
42,0.450564384345,1.61014387281,0.0,0.00990767373767,2.45178863364e-17,8,0.0462411274655,3.9875349575,-0.0462411274655,1.38317323484,4.25,0,4.25,316
43,0.387160714597,1.64788868234,0.0,0.00642177173571,1.68605075538e-16,8,0.0396428115175,3.94104068991,-0.0396428115175,1.37144482293,3.990625,0,3.990625,320
44,0.460509600119,1.51276618764,4.14991232444e-20,0.00984181072685,1.21457457792e-16,8,0.0474814960504,3.91285984702,-0.0474814960504,1.36426852532,4.0,1,4.0,312
45,0.460075905695,1.60597052318,0.0,0.00653655508803,6.06231090062e-17,8,0.037998417086,3.75497924688,-0.037998417086,1.3230827584,4.02821316614,0,4.02821316614,319
46,0.434294172498,1.59263172893,-4.46438957386e-21,0.00979359869557,-4.28005245143e-17,8,0.0457349415674,3.71094473634,-0.0457349415674,1.31128649012,4.27156549521,0,4.27156549521,313
47,0.439910635622,1.62537116549,0.0,0.00996612617927,-2.26197558882e-17,9,0.0480441595096,3.69124682367,-0.0480441595096,1.30596429357,4.35483870968,0,4.35483870968,310
48,0.443907195257,1.57214990659,0.0,0.00644657908508,9.2656879235e-18,8,0.0356306475806,3.59491995498,-0.0356306475806,1.27952172527,4.19047619048,0,4.19047619048,315
49,0.451035785776,1.56485423082,0.0,0.00981494628487,-3.49545480017e-17,8,0.0442412624404,3.46906598614,-0.0442412624404,1.24388538947,4.33116883117,0,4.33116883117,308
