Iteration,MeanKL,LossAfter,ExplainedVariance,MeanKLBefore,dLoss,MaxReturn,AverageReturn,Perplexity,AverageDiscountedReturn,StdReturn,LossBefore,NumTrajs,MinReturn,Entropy
32,0.00644566835258,-0.025764101861,0.629914465003,3.18049003621e-21,0.025764101861,9,5.18277680141,2.97194558752,5.18277680141,1.503943973,2.81468118609e-17,1138,0,1.08921681832
33,0.0064203591259,-0.0244634434913,0.613836821299,0.0,0.0244634434913,9,5.0774586597,2.91267840203,5.0774586597,1.51869870643,-4.51187538879e-17,1149,0,1.06907307093
34,0.00992025130242,-0.0298332024287,0.607314146559,2.05171548451e-21,0.0298332024287,8,5.08916083916,2.82938698421,5.08916083916,1.50142868862,-1.84389993697e-17,1144,0,1.04006007484
35,0.00998796891711,-0.0288187956483,0.631945342624,0.0,0.0288187956483,8,5.15729349736,2.78710257393,5.15729349736,1.46092769236,-1.51121702932e-17,1138,0,1.02500255225
36,0.00997432673253,-0.0299848077798,0.596900404149,0.0,0.0299848077798,9,5.16956521739,2.76712298283,5.16956521739,1.55309922486,5.73863030518e-17,1150,0,1.01780814609
37,0.00642125188883,-0.024330377882,0.630855073784,-2.0856717363e-21,0.024330377882,9,5.1519650655,2.69209717179,5.1519650655,1.46026200873,2.98338447485e-17,1145,0,0.990320507636
38,0.00642286389606,-0.0242409135736,0.634540073294,0.0,0.0242409135736,8,5.30647985989,2.62069281271,5.30647985989,1.48097451262,-9.29068528301e-18,1142,0,0.963438715149
39,0.00991275948055,-0.0322179350814,0.647815588713,0.0,0.0322179350814,8,5.26385224274,2.60550643315,5.26385224274,1.44401361134,-1.29130039994e-16,1137,0,0.95762706443
40,0.00993160321239,-0.0298766573009,0.632717583076,0.0,0.0298766573009,8,5.25240174672,2.59543748641,5.25240174672,1.49819568197,-7.7551364415e-17,1145,0,0.953755090621
41,0.00985254791602,-0.0328963644968,0.630629796907,2.2890042751e-20,0.0328963644968,9,5.28496042216,2.55388548626,5.28496042216,1.48509831153,2.71370592409e-17,1137,0,0.937615919587
42,0.00992323295106,-0.0300426067838,0.6281900034,0.0,0.0300426067838,8,5.34920634921,2.49102997526,5.34920634921,1.49062747512,-4.81684944547e-17,1134,0,0.912696269634
43,0.00980021466683,-0.0294425686304,0.641947050365,-2.35697180865e-20,0.0294425686304,8,5.32566371681,2.49436896092,5.32566371681,1.44643466221,-1.08741022275e-16,1130,0,0.914035775737
44,0.00640568463306,-0.0239101507062,0.641827348325,0.0,0.0239101507062,8,5.35883905013,2.44632486986,5.35883905013,1.48388993763,5.0873201758e-17,1137,0,0.894586845234
45,0.00979816762905,-0.0301126069444,0.64715384822,0.0,0.0301126069444,9,5.33628318584,2.40529595218,5.33628318584,1.45863689228,-1.25687718515e-17,1130,0,0.877672953025
46,0.00992758000752,-0.0275701013531,0.627600809959,0.0,0.0275701013531,9,5.32572431958,2.3699611532,5.32572431958,1.49865502401,3.33333307633e-17,1139,0,0.862873563959
47,0.00647087707728,-0.0249105523901,0.644514775413,-1.0317334178e-21,0.0249105523901,9,5.40633245383,2.34082056988,5.40633245383,1.48646026575,-4.32770594307e-19,1137,0,0.85050153879
48,0.00999719248681,-0.0285297629512,0.643028717574,-6.94028677248e-21,0.0285297629512,8,5.38318584071,2.31926966081,5.38318584071,1.45525612227,-9.94040765077e-17,1130,0,0.841252334745
49,0.00997618764933,-0.0292971492986,0.639219330565,0.0,0.0292971492986,8,5.37554969217,2.28433895964,5.37554969217,1.50011441412,-1.04628696562e-16,1137,0,0.826076686929
