Perplexity,Entropy,MinReturn,dLoss,ExplainedVariance,AverageReturn,MaxReturn,AverageDiscountedReturn,Iteration,NumTrajs,MeanKLBefore,MeanKL,LossBefore,LossAfter,StdReturn
11.0587154581,2.40321884632,0,0.0181652357897,5.37551236857e-09,0.989224137931,7,0.989224137931,0,464,0.0,0.000996178281062,3.64541730136e-16,-0.0181652357897,1.38413588808
11.0299133891,2.40061098093,0,0.0195414762549,0.119195234237,1.04496788009,6,1.04496788009,1,467,1.11452233998e-20,0.000973786874725,-4.04713891881e-17,-0.0195414762549,1.33800938349
10.9886830572,2.39686593023,0,0.0192543950913,0.155648278764,1.15417558887,6,1.15417558887,2,467,-7.64492082626e-21,0.000979303280714,1.87299916308e-17,-0.0192543950913,1.44632692689
10.9508813627,2.39341994276,0,0.0156415236063,0.134187629937,1.18763326226,7,1.18763326226,3,469,0.0,0.000642279964129,-5.6399329651e-17,-0.0156415236063,1.49018700113
10.9193409972,2.39053562025,0,0.0164482593658,0.0803221140333,1.27038626609,6,1.27038626609,4,466,4.88002698283e-21,0.000646957104068,2.00699493091e-17,-0.0164482593658,1.56403470928
10.8736490852,2.38634234721,0,0.0202542179155,0.134130546041,1.29501084599,7,1.29501084599,5,461,-3.47935960543e-20,0.00099452658795,4.53823392767e-18,-0.0202542179155,1.52198532075
10.8077020472,2.38025903248,0,0.0163959203036,0.093470064847,1.44469026549,6,1.44469026549,6,452,2.53908508294e-20,0.000658914353303,-8.19021527525e-17,-0.0163959203036,1.50780950582
10.7333314207,2.37335398569,0,0.0161685907556,0.0855172024995,1.45435244161,6,1.45435244161,7,471,0.0,0.000660977524067,-4.30551257926e-17,-0.0161685907556,1.52736439347
10.6958043264,2.36985154554,0,0.0167678679484,0.1077557782,1.39232409382,6,1.39232409382,8,469,0.0,0.000648803299104,-3.22358609349e-17,-0.0167678679484,1.60742703644
10.6167611404,2.36243399193,0,0.015860578819,0.0760740009964,1.77826086957,6,1.77826086957,9,460,0.0,0.00064847601864,2.59727255948e-17,-0.015860578819,1.59167850199
10.5658586587,2.35762792166,0,0.0162040985701,0.101350725003,1.74730021598,6,1.74730021598,10,463,0.0,0.000640237541985,-6.76641727979e-17,-0.0162040985701,1.57150251065
