AverageDiscountedReturn,Perplexity,Iteration,ExplainedVariance,MeanKLBefore,dLoss,LossBefore,MaxReturn,MeanKL,Entropy,AverageReturn,MinReturn,StdReturn,LossAfter,NumTrajs
0.775040142102,11.1370494457,0,7.37808414364e-09,0.0,0.051172773539,8.89397531581e-17,5,0.00656434104405,2.41027733817,0.777041942605,0,1.14941316845,-0.051172773539,453
0.931082280006,11.1646811383,1,0.120310539615,0.0,0.0522139602797,3.02636930327e-17,7,0.00654384288654,2.41275532584,0.933481152993,0,1.33019215272,-0.0522139602797,451
1.05931971659,11.080463819,2,0.109349805745,-6.9477236683e-20,0.0530984014971,9.81186986102e-17,6,0.00662583240056,2.40518354136,1.0625,0,1.4001355164,-0.0530984014971,448
1.34896710248,10.9631920102,3,0.052883703796,0.0,0.0655194450622,8.003804531e-17,6,0.00982712452732,2.39454348092,1.35426008969,0,1.4471457185,-0.0655194450622,446
1.5982315125,10.7487922943,4,0.0785173581153,-5.97646106813e-21,0.0513279561764,2.07352514961e-17,7,0.00642949071934,2.37479340355,1.60508083141,0,1.55979274262,-0.0513279561764,433
1.88565685492,10.5066356709,5,0.073347109599,-8.68672160227e-21,0.0504090661253,1.73913709021e-17,8,0.00669758149625,2.35200702621,1.89438202247,0,1.58506793181,-0.0504090661253,445
2.10681562449,10.1916943739,6,0.141885403633,0.0,0.0497094467702,-1.7390537892e-17,6,0.00657742795699,2.32157311152,2.11590909091,0,1.63699325009,-0.0497094467702,440
2.27150565543,9.89569793439,7,0.167886476587,0.0,0.0511240736748,-6.06936700931e-18,6,0.00673671805724,2.29210011061,2.28240740741,0,1.63691945908,-0.0511240736748,432
2.5733831617,9.46461163273,8,0.232389396312,0.0,0.0495631110018,4.24831654762e-17,7,0.00676013624068,2.24755975188,2.58503401361,0,1.57723402693,-0.0495631110018,441
2.73599506377,9.16299690494,9,0.229058359752,9.78840525832e-21,0.0512455460625,2.96336682478e-17,7,0.00667180827248,2.21517329821,2.74886877828,0,1.61660251692,-0.0512455460625,442
2.88303387803,8.7500716513,10,0.257137657427,7.69031459038e-21,0.0483836163685,1.27921223282e-17,8,0.00659591066493,2.16906188906,2.8963963964,0,1.64072209591,-0.0483836163685,444
3.11673869407,8.34731277472,11,0.311912102547,3.12947113714e-20,0.0479611225828,8.76258199616e-17,7,0.00691339870164,2.12193966368,3.13122171946,0,1.57496616373,-0.0479611225828,442
3.3475938863,8.0244988791,12,0.380697957002,7.6790829567e-21,0.0450632576135,-8.48684100763e-18,8,0.00644822427982,2.08249922209,3.36301369863,0,1.56829374019,-0.0450632576135,438
3.43895566551,7.76603697765,13,0.348764058704,0.0,0.0445681516971,3.47256633483e-17,7,0.00675701730968,2.04975999278,3.45474613687,0,1.61691001728,-0.0445681516971,453
3.53895084628,7.39892507369,14,0.375073204324,0.0,0.0444793380108,7.65862421386e-18,8,0.00664598544127,2.00133472935,3.55458515284,0,1.61403192772,-0.0444793380108,458
3.65985875173,7.1100541792,15,0.41582527558,3.32640663639e-20,0.055589362311,1.90633146193e-17,7,0.00999877280829,1.96150986393,3.67640449438,0,1.56894170815,-0.055589362311,445
3.75757648022,6.79862916807,16,0.377259999158,3.85367991919e-21,0.0428655149493,9.89576755399e-17,8,0.00647788259931,1.91672099893,3.77433628319,0,1.62051443602,-0.0428655149493,452
3.85447291884,6.51416500229,17,0.428268427984,0.0,0.0422069714576,-4.28842701397e-17,8,0.00650830076553,1.87397903694,3.87168141593,0,1.54902018855,-0.0422069714576,452
4.02813385751,6.22500622634,18,0.466786979905,0.0,0.0432091496628,3.41457966915e-17,8,0.00655519967088,1.82857444257,4.04646017699,0,1.58115585612,-0.0432091496628,452
4.07959273829,6.08869522676,19,0.468558103339,0.0,0.044379506471,1.55120981485e-17,8,0.0065231048199,1.80643381029,4.09843400447,0,1.54258629961,-0.044379506471,447
4.04787204063,5.85463367565,20,0.437033945622,0.0,0.0410687599901,3.92153165213e-18,8,0.00654828281475,1.76723342902,4.06607929515,0,1.58045441881,-0.0410687599901,454
4.20459843764,5.5605253911,21,0.48840221511,1.20914495645e-20,0.0518201860657,3.41863225778e-17,8,0.00999264442659,1.7156925986,4.22345132743,0,1.52300312896,-0.0518201860657,452
4.277748711,5.37936728855,22,0.483839683338,0.0,0.0423764081985,-5.2130042669e-17,8,0.00648897493938,1.6825707629,4.2967032967,0,1.55128097011,-0.0423764081985,455
4.30575250183,5.10716022525,23,0.546830703647,-3.35792905881e-20,0.0407451686861,1.00405188394e-16,8,0.00646713129979,1.63064352083,4.32516703786,0,1.48228260478,-0.0407451686861,449
4.38960866428,5.01604458995,24,0.535717532812,0.0,0.0399053133148,-1.04651262152e-16,8,0.00653836624003,1.61264169284,4.4092920354,0,1.51634237198,-0.0399053133148,452
4.50438160162,4.88364793745,25,0.527547132611,-2.54772114155e-21,0.0388788404366,-2.57933403173e-18,8,0.00645057333299,1.58589246877,4.52422907489,0,1.49980430454,-0.0388788404366,454
4.48852243836,4.65047395915,26,0.519957729092,0.0,0.039511775425,3.88092942441e-17,8,0.00653798891723,1.5369691411,4.50888888889,0,1.51764762741,-0.039511775425,450
4.53265924811,4.60021159159,27,0.503381783033,0.0,0.0381754403505,-3.38826189328e-17,8,0.00651480936696,1.52610230061,4.55309734513,0,1.58234567655,-0.0381754403505,452
4.42303136332,4.42763351492,28,0.522771144537,-3.25279702659e-20,0.0405854274424,-4.48193956481e-17,8,0.00651735890422,1.48786524605,4.44273127753,0,1.52801375004,-0.0405854274424,454
