MinReturn,AverageDiscountedReturn,Entropy,Iteration,LossBefore,NumTrajs,MeanKLBefore,AverageReturn,LossAfter,StdReturn,dLoss,MaxReturn,Perplexity,MeanKL,ExplainedVariance
0,0.858407079646,2.3459105482,0,2.07849216003e-16,113,0.0,0.858407079646,-0.0788227477792,1.26817586674,0.0788227477792,6,10.4427770517,0.00675719136151,6.75912148473e-09
0,0.884955752212,2.34697793119,1,1.93901226856e-17,113,0.0,0.884955752212,-0.114720578088,1.30181773794,0.114720578088,5,10.4539294451,0.00932664618478,-0.102111437062
0,1.05309734513,2.33471329375,2,8.9689334002e-17,113,0.0,1.05309734513,-0.0857484422191,1.40063644171,0.0857484422191,6,10.3264988331,0.00657309301281,-0.0233978381761
0,1.06194690265,2.32678622299,3,-6.9874176375e-17,113,-2.21103388372e-20,1.06194690265,-0.0824447318052,1.32560345811,0.0824447318052,4,10.2449635412,0.00657920371333,-0.143928496825
0,1.40366972477,2.32759199481,4,-1.88173394004e-17,109,3.71497734621e-20,1.40366972477,-0.0800236994141,1.45336853933,0.0800236994141,6,10.2532219708,0.00656691590793,-0.0737851757362
0,1.27272727273,2.31832092173,5,4.85584623096e-17,110,0.0,1.27272727273,-0.0956204661308,1.4948948939,0.0956204661308,7,10.1586028886,0.00970152423143,0.0194516034159
0,1.625,2.30812889345,6,1.72084568817e-17,112,0.0,1.625,-0.0848304687805,1.48879745336,0.0848304687805,6,10.0555919576,0.00678509279635,0.00218516100412
0,1.38738738739,2.30166673163,7,-5.30255772955e-18,111,0.0,1.38738738739,-0.0810622000075,1.51966788199,0.0810622000075,6,9.990820602,0.00661661566036,-0.0247860640187
0,1.65178571429,2.28524045228,8,6.89065928889e-17,112,1.74477855088e-19,1.65178571429,-0.0807073224945,1.48028605723,0.0807073224945,6,9.82804911676,0.00650613879188,0.0266305548959
0,1.62037037037,2.27888926503,9,-1.75896112933e-16,108,0.0,1.62037037037,-0.0796561751844,1.37246461597,0.0796561751844,5,9.76582713735,0.00650088579931,-0.1222871504
0,1.93577981651,2.25922514245,10,-3.14047150392e-17,109,0.0,1.93577981651,-0.0944051889298,1.58128521273,0.0944051889298,7,9.57566651387,0.00934970825536,0.028819956702
0,2.08333333333,2.24227235929,11,3.59027346272e-18,108,-4.40840921809e-20,2.08333333333,-0.080263241284,1.55828134197,0.080263241284,5,9.41470058121,0.00644103929324,-0.055765544384
0,2.18918918919,2.21480671926,12,1.92487255075e-17,111,1.67708834311e-19,2.18918918919,-0.0829349335787,1.6522630591,0.0829349335787,7,9.15963855877,0.00664031206523,0.122003872893
0,2.36111111111,2.20980033566,13,4.04917812747e-17,108,0.0,2.36111111111,-0.0809184435554,1.53030094676,0.0809184435554,6,9.11389649126,0.00650619107359,0.138912252538
0,2.57407407407,2.1784884584,14,-6.46613409947e-17,108,0.0,2.57407407407,-0.0791748253895,1.55874892678,0.0791748253895,7,8.83294479954,0.00676442260223,0.0743645684514
0,2.50925925926,2.1763516759,15,-9.53837963214e-18,108,-2.10827637622e-19,2.50925925926,-0.0998593378972,1.58403709722,0.0998593378972,6,8.81409086823,0.00985144794762,0.105298701735
0,2.61818181818,2.1163217293,16,-8.31289136611e-17,110,-1.15191115207e-19,2.61818181818,-0.0803233632924,1.47698598616,0.0803233632924,6,8.30054959854,0.00651010493921,0.07267340224
0,2.76991150442,2.09811013367,17,-2.30465458206e-17,113,0.0,2.76991150442,-0.0788539892776,1.46950626563,0.0788539892776,7,8.15075151696,0.00673788739139,0.16460332493
0,2.91743119266,2.09279420696,18,7.02909952466e-17,109,0.0,2.91743119266,-0.0996074535449,1.40854821718,0.0996074535449,7,8.10753768182,0.00950265411213,0.0578054784648
0,3.04587155963,2.06833981483,19,9.37373930971e-17,109,0.0,3.04587155963,-0.0797410447745,1.67762020776,0.0797410447745,6,7.91167735923,0.00644370032398,0.124115763958
0,2.84545454545,2.08194973135,20,-1.24706960023e-17,110,0.0,2.84545454545,-0.0808025509874,1.49658012352,0.0808025509874,6,8.02009070248,0.00660574541624,0.128373886589
0,3.09821428571,2.04309973536,21,6.74063979237e-17,112,0.0,3.09821428571,-0.0963017039975,1.56387694431,0.0963017039975,7,7.71448503739,0.00979030914135,0.243131520955
0,3.26126126126,1.99049813115,22,-2.3885276227e-17,111,0.0,3.26126126126,-0.0817277926419,1.63140193793,0.0817277926419,7,7.3191787653,0.00648234276221,0.237785926709
0,3.04464285714,1.99237138066,23,-4.05231403988e-18,112,0.0,3.04464285714,-0.0805026427649,1.50824160186,0.0805026427649,7,7.33290226315,0.00647053902905,0.260330798237
0,3.27826086957,1.97162326094,24,3.99281007857e-17,115,6.01338468695e-20,3.27826086957,-0.0784413420332,1.56898098244,0.0784413420332,7,7.1823258198,0.00658591818986,0.22979428722
0,3.30357142857,1.97196419314,25,-3.19902399093e-17,112,0.0,3.30357142857,-0.080938105608,1.51090846439,0.080938105608,7,7.18477492341,0.00645698422253,0.257322608534
0,3.4128440367,1.93067081363,26,-4.82947015712e-17,109,0.0,3.4128440367,-0.0968626631391,1.54570140353,0.0968626631391,7,6.89413336939,0.00992436671622,0.352032464943
0,3.42105263158,1.92333077521,27,-1.49580946432e-17,114,0.0,3.42105263158,-0.0961912849638,1.68009365258,0.0961912849638,7,6.84371542675,0.00981227525868,0.208285506718
0,3.35964912281,1.89761001918,28,2.640768344e-18,114,3.08068225759e-20,3.35964912281,-0.0780416751511,1.38998417877,0.0780416751511,6,6.66993436253,0.00664712132568,0.124834884943
